#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_1
#IMAGE NAME: 3801.png
#LANGUAGE: FR
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: May 28, 2020
#TRANSCRIPTION TIME: 4H
#STATUS: complete 

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

90|9000 - A
11|13|170 - B 
80|88|160 - C
150|1500|079 - D
070|076|077 - E
078|75?|60 - F
61|62|63 - G
64|65|66 - H
67|68|69 - I
70|71|72 - K
73|74|75 - L
76|77|78 - M
79|81|82 - N
83|84|85 - O
86|87|89 - P
91|92|93 - Q
94|95|96 - R
97|98|99 - S
2|3|4 - T
5|6|7 - V
8|9|10 - X
12|14|15 - Y
16|17|18 - Z
19|20|21 - J
22|23|24 - U
25|26|27 - ai
28|29|30 - ay
31|32|33 - an
34|35|36 - ean
37|38|39 - aon
41|42|43 - oei
44|45|46 - oen
47|48|49 - one
50|51|52 - oni
53|54|55 - ei

111 - Ab
112 - abandonner
113 - abandonne
114 - ad
115 - ac
116 - af
117 - ag
118 - ak
119 - al
121 - am
122 - an
123 - ar
124 - as
125 - at
126 - ap
127 - az
128 - audeca
129 - audela
131 - alentour
132 - aupres
133 - alègard
134 - atrauers
135 - auxdnuirons?
136 - audedans
137 - audehors
138 - audessus
139 - audessous
141 - en Verta
142 - apres
143 - avec
144 - avaru

145 - Ba
146 - be
147 - bi
148 - by
149 - bo
151 - bu
152 - bö
153 - bü

154 - Ca
155 - ce
156 - ci
157 - cy
158 - co
159 - cu
161 - cö
162 - cü
163 - complet
164 - coup

165 - Da
166 - De
167 - Di
168 - Dy
169 - Do
171 - Du
172 - dö
173 - Dü
174 - deuant
175 - deca
176 - derriere
177 - des
178 - dehors

179 - Eb
181 - ed
182 - ec
183 - ef
184 - eg
185 - ek
186 - el
187 - em
188 - en
189 -  er
191 - es
192 - et
193 - ep
194 - ez

195 - fa
196 - fe
197 - fi
198 - fy
199 - fo
201 - fu
202 - fö
203 - fü
204 - faire
205 - frefaire 
206 - fait
207 - fin
208 - finesse

209 - Ga
211 - ge
212 - gi
213 - go
214 - gu
215 - gö
216 - gü

217 - Ha
218 - he
218 - he 
219 - hi
221 - hi
221 - ho
222 - hu
223 - hö
224 - hü

225 - Ib
226 - ic
227 - if
228 - ig
229 - ik
231 - il
232 - im
233 - in
234 - ip
235 - ir
236 - is
237 - it
238 - iz

239 - Ka
241 - ke
242 - ki
243 - ko
244 - ku
245 - kö
246 - kü

247 - La
248 - le
249 - li
251 - ly
252 - lo
253 - lu
254 - lö
255 - lü
256 - la main
257 - la paiagle
258 - la mienne
259 - le mien
261 - la vostre
262 - le vostre
263 - la nostre
264 - les nostre
265 - la lettre
266 - lettres
267 - lendemain
268 - lentement
269 - la dessus
271 - la dessous
272 - lon adil
273 - lon

274 - Ma
275 - me
276 - mi
277 - mu
278 - mo
279 - mu
281 - mö
282 - mü
283 - moy
284 - moru
285 - mesme
286 - mais
287 - mot

288 - Na
289 - ne
291 - ni
292 - ny
293 - no
294 - nu
295 - nö
296 - nü
297 - non
298 - non pas
299 - non fait
301 - nostre

302 - Ob
303 - oc
