#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_4-3
#IMAGE NAME: 3806.png
#LANGUAGE: HU LA
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: May 26, 2020
#TRANSCRIPTION TIME: 15min-->0,25
#STATUS: complete 

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1706-01-01 - 1706-12-31

<CLEARTEXT HU LA Szauhmarino Pralis a Rökesperg Clavis cum Bellico Consilio>

25|46|50 - A
27 - b
29 - c
26 - d
30|46 - e
28 - f
32 - g
34 - h
36 - i
38 - k
40 - l
31 - m
33 - n
37 - o
41|46 - r
43 - s
45 - t
47 - u
49 - w
51 - x
52 - y

<CLEARTEXT HU p q z>

106 - dt
112 - fi
116 - den?

137 - mi
141 - me
145 - ra
146 - re

151 - se
152 - si
154 - su
156 - sab

215 - nomen potus vel victualium
126 - rebellu
231 - Nomen alicujus boci
