#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_8
#IMAGE NAME: 3814.png
#LANGUAGE: DE
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: October 2, 2020
#TRANSCRIPTION TIME: 45min
#STATUS: complete

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

2|? - a
4 - b
6 - c
8 - d
11 - e
13 - f
15 - g
17 - h
19 - i
22 - k
24 - l
26 - m
27 - n
25 - o
23 - p
21 - q
18 - r
16 - s
14 - t
12|Vinegar - u
9 - w
7 - x
5 - y
3 - z

<CLEARTEXT DE tz>

28 - ß
32 - po
34 - de
35 - fe
36 - ge
37 - he
39 - le 
41 - me
42 - ne
43 - bi
45 - di
46 - fi
47 - gi 
51 - li
52 - mi
53|128 - ni
54 - ba
55 - co
56|101 - to
57 - fu
63 - mo
64 - no
66 - bu
67 - ne
68 - fu
72 - ku
73 - lu
77 - re
78 - fe
79 - te
82 - Wa
84 - zi
87 - ri?
88 - <IL>
89 - ti
91 - fe
92 - vi
93|95 - tz?
97 - po
98 - ru
99 - ßo 
102 - vi
103|48 - ve
106 - zu
109 - ru
111 - su
113 - fo
115 - nn
116 - ma
117 - la
119 - sa|ha
122 - fa
123 - da
124 - ca 
126 - ta
127 - sa 
159 - ru 

62 - ko
66 - cu
86 - ?
38 - ke
76 - pe
32 - be
93 - tzr?
98 - rv

29|31|33|38|44|48|49|58|59|61|62|65|69|71|74|75|76|81|83|85|86|94|96|101|104|105|107|108|112|114|118|121|125|128|129|131|132|133|134|135|136|137|138|139|140|141|142|143|144|145|146|147|148|149|151|152|153|154|155|156|157|158|161|162|163|164|165|166|167|168|169|170|171|172|173|174|175|176|177|178|179|180|181|182|183|184|185|186|187|188|189 - <EMPTY>

