#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_34
#IMAGE NAME: 3828.png
#LANGUAGE: HU
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: May 25, 2020
#TRANSCRIPTION TIME: 75min-->1,25H
#STATUS: complete 

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

10|20|30 - A
40|50 - B
60|70 - C
80|90 - D
100|110|120 - E
130|140 - F
150|160 - G
170|180 - H
190|200|210 - I
220|230 - K
240|250 - L
260|270 - M
280|290 - N
300|310|320 - O
330|340 - P
350|360 - Q
370|380 - R
390|400 - S
410|420 - T
430|440|450 - U
460|470 - V
480|490 - X
500|510 - Y
520|530 - Z

11 - AB
21 - ac
31 - ad
41 - am
51 - an
61 - af
71 - as
81 - az
91 - Antiochus
111 - Augustus
121 - Anglus
131 - Austria
141 - Abrugy
151 - Aranyas
161 - Arad
171 - Algyu
181 - Aprilis

191 - BA
211 - be
221 - bi
231 - bo
241 - bu
251 - bö
261 - bü
271 - bza 
281 - Bavarrus
291 - Bercsényi
311 - Besztercze
321 - Bassa
331 - Babadak
341 - Brasso
351 - Barcsai
361 - Boer
371 - Bomba
381 - Buza
391 - Bukurest
411 - Bekesség

421 - CA
431 - ce
441 - ci
12 - co
22 - cu
32 - cö
42 - cü
52 - cz
62 - Császár
72 - Csaki
82 - Czár
92 - Csik
112 - Colosvár
122 - Constantzinapoly
132 - Confoederatio
142 - Cusányi

152 - DA
162 - de
172 - di
182 - do
192 - du
212 - dö
222 - dü
232 - Deva
242 - Duna
252 - Debreczen
262 - Draguly
272 - December
282 - Datum

292 - EB
312 - ed
322 - el
332 - en
342 - es
352 - és
362 - eo
372 - ep
382 - ez
392 - eort
412 - ent
422 - er
432 - Erdely
442 - Erösség
13 - Eszterház

23 - FA
33 - fe
43 - fi
53 - fo
63 - fu
73 - fö
83 - fü
93 - Franczia
113 - Flandria
123 - Fejervár
133 - Fegyoer
143 - Fogaras
153 - Felség
163 - fizet
173 - Februarius
183 - Fejedelem

193 - GA
213 - ge
223 - gi
233 - go
243 - gu
253 - gö
263 - gü
273 - gy
283 - Gorgeny
293 - Groff
313 - Generalis
323 - Gyergyo
333 - grana
343 - Gyula
353 - Grabaries
363 - Gyalog
373 - Golyobis
383 - gabona
393 - Görög
413 - Grafen
423 - Gyulés

433 - HA
443 - he
14 - hi
24 - ho
34 - hu
44 - hö
54 - hü
64 - hogy
74 - határ
84 - három
94 - Havasalfölde
114 - Had
124 - Hábomságb
134 - Hunyad
144 - Huszt
154 - havas
164 - harcz
174 - Hollandus
184 - Hemer

214 - JA
224 - je
234 - ji
244 - ho
254 - ju
264 - jö
274 - jü
294 - Jenö
314 - Januarius
324 - Illyvo
334 - Jászi 
344 - Junius
354 - Julius

364 - KA
374 - ke
384 - ki
394 - ko
414 - ku
424 - kö
434 - kü
454 - Kövár
15 - Küköllö
25 - Köroz
35 - Kraszna
45 - Károly
55 - Káránsebes
65 - Karzon
75 - Kemény
85 - Kalota
95 - Követ
115 - Kozák
125 - Király

135 - LA
145 - le
155 - li
165 - lo
175 - lu
185 - lö
195 - lü
215 - lyu
225 - lye
235 - ly
255 - Lugos
265 - Lengyel
275 - Lovas
285 - Lefelholez
295 - Lápos
315 - Lipova

325 - MA
335 - me
345 - mi
355 - mo
365 - mu
375 - mö
385 - mü
415 - Martius
425 - Majus
435 - Muszka
445 - Maramar
