#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_32
#IMAGE NAME: 3830.png
#LANGUAGE: HU
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: May 25, 2020
#TRANSCRIPTION TIME: 45min-->0,75
#STATUS: complete 

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

271|10 - A
261 - B
251 - C
241 - D
231|20 - E
221 - F
211 - G
201 - H
191|30 - I
181 - K
171|40 - L
161|50 - M
151|60 - N
141 - O
131 - P
121 - Q
111|70 - R
101|80 - S
91|90 - T
81|100 - U
71 - X
61|110 - Y
51 - Z
41 - J
31|120 - V
21|130 - Ö
11|140 - Ü

12 - AB
22 - ac
32 - ad
42 - af
52 - ag
62 - ak
72 - al
82 - am
92 - an
102 - ap
112 - ar
122 - as
132 - at
142 - az
152 - Austria
162 - Anglia
172 - Aprilis
182 - Augustus

192 - BA
202 - be
212 - bi
222 - bo
232 - bu
242 - bö
252 - bü
262 - Becs
272 - Bavarus
282 - Brandeburgus
292 - Császár
302 - Czár
312 - Constanzinapolly
322 - Csak
332 - Csal
342 - Cz
352 - Cs

362 - DA
372 - de
382 - di
392 - do
402 - du
412 - December

13 - EB
23 - ed
33 - ef
43 - eg
53 - ek
63 - el
73 - em
83 - en
93 - ep
103 - er
113 - es
123 - et
133 - ez
143 - edgyün
153 - ért
163 - Elector

173 - FA
183 - fe
193 - fi
203 - fo
213 - fu
223 - fö
233 - fü
243 - Francia
253 - Fejedelem
263 - Februarius

273 - GA
283 - ge
293 - gi
303 - go
313 - gu
323 - gö
333 - gü
343 - gy
353 - Groff
363 - gyözö

373 - HA
383 - he
393 - hi
403 - ho
413 - hu
14 - hö
24 - hü
34 - hejja
44 - hamar
54 - habo
64 - hüreg

74 - ID
84 - ig
94 - il
104 - ik
114 - im
124 - in
134 - ip
144 - ir
154 - is
164 - it
174 - iz
184 - Imperium
194 - inkáb

204 - KA
214 - ke
224 - ki
234 - ko
244 - ku
254 - kö
264 - kü
274 - Köver
284 - kár
294 - Királly
304 - Küld

314 - LA
324 - le
334 - li
344 - lo
354 - lu
364 - lö
374 - lü
384 - ly

394 - MA
404 - me
414 - mi
15 - mo
25 - mu
35 - mö
45 - mü
55 - Martius
65 - Majus
75 - Moria
85 - mivel
95 - mert
105 - meg
115 - mond
125 - ment
135 - mind
145 - Mosqua
155 - Ministr

165 - NA
175 - ne
185 - ni
195 - no
205 - nu
215 - nö
225 - nü
235 - nagy
245 - nem/nein?
255 - nines
265 - nolia/nofia?
275 - ny

285 - OF
295 - ok
305 - ol
315 - om
325 - on
335 - or
345 - os
355 - ot
365 - oz
375 - oszr
385 - Octob:
395 - Ország

405 - PA
415 - pe
16 - pi
26 - po
36 - pu
46 - pö
56 - pü
66 - Paris
76 - Papa
86 - Patin
96 - pénz

106 - RA
116 - re
126 - ri
136 - ro
146 - ru
156 - rö
166 - rü
176 - Roma
186 - relat

196 - SA
206 - se
216 - si
226 - so
236 - su
246 - sö
256 - sü
266 - sz
276 - Ségedel
286 - Szairs
296 - Szerént
306 - Sier

316 - TA
326 - te
336 - ti
346 - to
356 - tu
366 - tö
376 - tü
386 - Török
396 - Tolmais?
406 - Tabor
416 - ty

17 - Ugy
27 - udrar
37 - unt
47 - uk
57 - ur
67 - us
77 - ut
87 - uz

97 - ZA
137 - ze
147 - zi
157 - zo
167 - zu
177 - zö
187 - zü

197 - JA
207 - je
217 - ji
227 - jo
237 - ju
247 - jö
257 - jü
267 - Ignuarius
277 - Junius
287 - Julius
297 - jolleher?
307 - joven

317 - VA
327 - ve
337 - vi
347 - vo
357 - vu
367 - vö
377 - vü
387 - verz
397 - vagy
407 - vert
417 - <EMPTY>
