#KEY: original 
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_31
#IMAGE NAME: 3831.png 
#LANGUAGE: HU
#TRANSCRIBER NAME: AP
#DATE OF TRANSCRIPTION: May 25, 2020
#TRANSCRIPTION TIME: 2h
#STATUS: complete

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

10|110 - A
120 - B
20|130 - C
20|150 - D
160 - E
170 - F
180 - G
40|190 - H
90 - I
200 - K
210 - L
50|220 - M
60|230 - N
70|240 - O
250 - P
260 - Q
80|270 - R
90|280 - S
100|290 - T
300 - U
310 - X
320 - Y
330 - Z
340 - Ő
350 - Ű
360 - gy
370 - ly.
380 - ny
390|400 - sz
00 - ly

11 - AB
21 - ac
31 - ad
41 - af
51 - al
61 - am
71 - an
81 - ar
91 - as
101 - at
111 - av 
121 - ant
131 - Admiral
141 - Anglia
151 - Aprilis
161 - Armada
171 - Artilleria
181 - Assecura
191 - Augustus
201 - Austria
211 - BA
221 - be
231 - bi
241 - bo
251 - bu
261 - bő
271 - bű
281 - Baro
291 - Bavar
301 - Belsensis
311 - Berlin
321 - Brandebourg
331 - Braun
341 - Becs
351 - Brozaw
361 - Briscia
371 - Bohemia
381 - Bonac
391 - Bug

12 - Ca
22 - ce
32 - ci
42 - co
52 - cu
62 - cs
72 - ct
82 - cz
92 - Camp.
102 - Vancellar
112 - Com
122 - Consili
132 - Constantin.
142 - Csaszar
152 - Czar
162 - DA
172 - de
182 - di
192 - do
202 - du
212 - dő
222 - dű
232 - Dania
242 - Danczka
252 - Datum
262 - December
272 - Denhoff
282 - Drezda
292 - Duna
302 - Eb
312 - ed
322 - ef
332 - el
342 - em
352 - en
362 - er
372 - es
382 - et
392 - ez

13 - Elbiniga
23 - Elector
33 - Erdely
43 - Ersek
53 - Fa
63 - fe
73 - fi
83 - fo
93 - fu
103 - fő
113 - fű
123 - factio
133 - favorita
143 - Franczia
153 - Februarius
163 - Fejerrar
173 - Felseg
183 - Fejedelem
193 - Fortaliti
203 - Frigy
213 - Frisia
223 - Fűrstenberg
233 - Ga
243 - ge
253 - gi
263 - go
273 - gu
283 - Gallia
293 - gratia
303 - General
313 - Grodno
323 - Groff.
333 - Ha
343 - he
353 - hi
363 - ho
373 - hu
383 - hő
393 - hű

14 - Had
24 - Haga
34 - Hellemboveb
44 - Hermeliv
54 - hir
64 - Hispania
74 - hiv
84 - Holland.
94 - Id
104 - ig
114 - il
124 - im
134 - in
144 - ir
154 - is
164 - it
174 - Imperium
184 - Italia
194 - Istew
204 - Ja
214 - je
224 - ji
234 - jo
244 - ju
254 - jő
264 - jű
274 - Jablonovszki
284 - Januarius
294 - Jarorzlo
304 - Junius
314 - Julius
324 - Jőven
334 - Ka
344 - ke
354 - ki
364 - ko
374 - ku
384 - kő
394 - kű

15 - Kalmar
25 - Kegyelme
35 - Kel
45 - Kijovia
55 - Kirally
65 - Korona
75 - Krakko
85 - Kozak
95 - Kokenyerdi
105 - Kőlr
115 - La
125 - le
135 - li
145 - lo
155 - lu
165 - lő
175 - Leopol
185 - Lengyel
195 - Lipsia
205 - Lythuania
215 - Livonia
225 - Lublin
235 - Lubomirszki
245 - Luneburg
255 - Ma
265 - me
275 - mi
285 - mo
295 - mu
305 - mő
315 - mű
325 - Malmbourg
335 - Magyar
345 - Majus
355 - Martins
365 - Marienbourg
375 - Mareppa
385 - Marsovia
395 - Mediolanum


16 - Menscsikow
26 - midőw
36 - Minister
46 - Moldva
56 - Morva
66 - Moskwa
76 - Na
86 - ne
96 - ni
106 - no
116 - nu
126 - nő
136 - nű
146 - nandor
156 - Nario
166 - narew
176 - Nedeozki
186 - negociatio
196 - nelkűl
206 - new
216 - Normiberga
226 - Neoburg
236 - novella
246 - Novemeber
256 - Ob
266 - ol
276 - ok
286 - om
296 - on
306 - or
316 - os
326 - ot
336 - oz
346 - olab
356 - olorz
366 - olomuncz
376 - Ocotober
386 - Orszag
396 - olral

17 - Pa
27 - pe
37 - pi
47 - po
57 - pu
67 - pő
77 - pű
87 - Papa
97 - Palatin
107 - Paris
117 - Patkul
127 - Praga
137 - Pedemont
147 - Petersbourg
157 - Piper
167 - Podlachia
177 - Padolia
187 - Potnavia
197 - Prussia
207 - Praelar
217 - primas
227 - Propotino
237 - Portugal
247 - Pűspők
257 - qua
267 - que
277 - qui
287 - quo
297 - Quartely
307 - Ra
317 - re
327 - ri
337 - ro
347 - ru
357 - rő
367 - rű
377 - Racz
387 - Rang
397 - ratki

18 - ratio
28 - Ratirbona
38 - Regimen
48 - referendari
58 - Regiomontum
68 - Ranischild
78 - representa
88 - Riga
98 - Respublica
108 - Roma
118 - Russia
128 - Sa
138 - se
148 - si
158 - so
168 - su
178 - Sabandia
188 - Salisburg
198 - Sandomiria
208 - Sapia
218 - Saxo
228 - Secretar
238 - Szembek
248 - Senatirs
258 - September
268 - Silesia
278 - Szkolya
288 - Stanisla
298 - Status
308 - Storwberg
318 - Sveczia
328 - Ta
338 - te
348 - ti
358 - to
368 - tu
378 - tű
388 - Tabor
398 - tatar

19 - Toroni
29 - Tőrők
39 - Va
49 - ve
59 - vi
