#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_38
#IMAGE NAME: 3839.png
#LANGUAGE: DE
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: May 7, 2020
#TRANSCRIPTION TIME: 90min-->1,5H
#STATUS: complete
#COMMENT: The handwriting is quite ornate, especially in the case of the alphabet, which makes it more difficult to read


5|255|265 - A
15 - B
25 - C
35|275|285 - D
45 - E
55 - F
65 - G
75|295 - H
85 - I
95 - K
105 - L
115 - M
125 - N
135 - O
145 - P
155 - Q
165 - R
175 - S
185 - T/U?
195 - U/T?
205|305|315|325 - V
215 - W
225 - X
235 - Y
245 - Z


200 - Ab
201 - eb
202 - ib
203 - ob
204 - ůb

205 - Ba
206 - be
207 - bi
208 - bo
209 - bů

210 - Ca
211|212 - ce
213 - ci
214 - co
215 - ců

216 - Da
217 - de
218 - di
219 - do
220 - dů
221 - Duxes
222 - Donau
31|223 - die
32|224 - der
33|225 - das
226 - dessen
227 - Dieuen/Dieuer?
228 - Dieut

229 - Fa
230|231 - fe 
232 - fi
233 - fo
234 - fů

235 - Ga
236 - ge
237 - gi
238 - go
239 - gů

240 - Ha
241 - he
242 - hi
243 - ho
244 - hů

245 - Ka
246 - ke
247 - ki
248 - ko
249 - ků

250 - La
251 - le
252 - li
253 - lo
254 - lů

255 - Ma
256|257 - me 
258 - mi
259 - mo
260 - mů

261 - Na
262 - ne
263 - ni
264 - no
265 - nů

266 - Ra
267|268 - re 
269 - ri
270 - ro
271 - rů

272 - Sa
273 - se
274 - si
275 - so
276 - sů

277 - Ta
278 - te
279 - ti
280 - to
281 - tů

282 - Va
283|284 - ve
285 - vi
286 - vo
287 - vů

288 - Wa
289 - we
290 - wi
291 - wo
292 - wů

293 - Za
294 - ze
295 - zi
296 - zo
297 - zů
298 - Zipse

299 - Schweiset
300 - Walter dort
301 - Neůsiedal
302 - Loiberdort?
303 - Neügebay
304 - Altbůrg
305 - Mannerdorf
306 - Chanbord?
307 - Lagenbůrg
308 - Monb*erd
309 - Himberg
310 - die Soscherson
311 - die gůtte Freoindin
312 - Hündert
313 - Taůsendt
314|315 - Roslu 
316 - Die Laita?
317 - Neu Tadl
318 - Brůck

<CLEARTEXT DE M. Macrovski>
<CLEARTEXT DE M eter Schade>
#COMMENT: The last line looks like a signature.
