#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_41
#IMAGE NAME: 3845.png
#LANGUAGE: LA
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: May 9, 2020
#TRANSCRIPTION TIME: 75min-->1,25H
#STATUS: complete

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

10|290|403 - A
150|414 - B
20|300|404 - C
160|415 - D
30|310|405 - E
170|416 - F
40|320 - G
180|417 - H
50|330|406 - I
190 - K
60|340|418 - L
200|407 - M
70|350|419 - N
210|408 - O
80|360 - P
220 - Q
90|370|409 - R
230|420 - S
100|380 - T
240|410 - V
110|390 - X
250 - Y
120|400 - Z
260|411 - ns
130|401 - ps
270|412 - rt
140|413 - st
280|402 - str


11 - AB
21 - absque
31 - ac
41 - acce
51 - accid
61 - accommod
71 - accord
81 - accu
91 - act
101 - ad
111 - a
121 - adific
131 - affect
141 - affid
151 - aggre
161 - agn
171 - Al
181 - alexand
191 - amic
201 - ant
211 - ap
221 - arm
231 - armistici
241 - arroga
251 - Articul
261 - Artoller
271 - as
281 - at
291 - attend
301 - audien
311 - aula
321 - ang
331 - Austri
341 - authorit
351 - Angl

361 - BA
371 - be
381 - bi
391 - bo
12 - Bavar
22 - Bel
32 - Brandeburg
42 - Bon

52 - CA
62 - ce
72 - ci
82 - co
92 - cu
102 - campi-Dux
112 - campa
122 - card
132 - cav
142 - cavaller
152 - commiss
162 - conditio
172 - conduct
182 - confoederal
192 - conflier
202 - constant
212 - contra
222 - consili
232 - Coram
242 - corpus
252 - Graco
262 - croati
272 - cur
282 - correspon
292 - Czar

302 - DA
312 - de
322 - di
332 - do
342 - du
352 - Dan
362 - Danubi
372 - defe
382 - dign
392 - Domin

13 - donec
23 - duell
33 - dudum
43 - Dux

53 - EB
63 - ec
73 - ecclesi
83 - ed
93 - ef
103 - effect
113 - egre
123 - el
133 - elector
143 - em
153 - en
163 - ep
173 - Eperjes
183 - er
193 - erga
203 - error
213 - es
223 - er
233 - etiam
243 - eu
253 - ex
263 - ecact
273 - exempl

283 - FA
293 - fe
303 - fi
313 - fo
323 - fu
333 - Faust
343 - fac
353 - faculta
363 - fas
373 - Franc
383 - fer
393 - ford

14 - form
24 - for
34 - fin
44 - funest
54 - futur

64 - GA
74 - ge
84 - gi
94 - go
104 - gu
114 - Gall
124 - gener
134 - german
144 - glori
154 - gratia
164 - gros
174 - Gravant

184 - HA
194 - he
204 - hi
214 - ho
224 - hu
234 - Hell
244 - Hispan
254 - honest
264 - honor
274 - host
284 - Hungar

294 - IA
304 - je
314 - ji
324 - jo
334 - ju
344 - Jaraslav
354 - il
364 - Imper
374 - in
384 - induc
394 - Infanteria

15 - impos
25 - interes
35 - intim
45 - instrument
55 - Ital.
65 - is

75 - LA
85 - le
95 - li
105 - lo
115 - lu
125 - Legat
135 - Lench
145 - Liber
155 - Liter
165 - Lithuan
175 - long.

185 - MA
195 - me
205 - mi
215 - mo
225 - mu
235 - manifest
245 - majest
255 - mar
265 - magn
275 - mediat
285 - ment
295 - mod
305 - moravi
315 - Moldavi
325 - Moschovi
335 - munit

345 - NA
355 - ne
365 - ni
375 - no
385 - nu
395 - Nandor ALb.

16 - natio
26 - natur
36 - negoti
46 - nostr
56 - numer
66 - nunc

76 - Oblig
86 - oe
96 - offen
106 - offici
116 - on
126 - opposit
136 - or
146 - ord
156 - orig
166 - ost
176 - Ottoman

186 - PA
196 - pe
206 - pi
216 - po
226 - pu
236 - Palatin
246 - Pacificat
256 - pass
266 - par
276 - particul
286 - patri
296 - prase
306 - prasid
316 - pratext
326 - pecu
336 - preti
346 - pign
356 - Prime
366 - prim
376 - Polis/Polit?
386 - Polon
396 - Pontif

17 - Posnan
27 - Potentatu
37 - Prussi
47 - Punet

57 - QUA
67 - que
77 - qui
87 - quo
97 - quali
107 - quand
117 - quant
127 - quietant
137 - quoniam
147 - quastu

157 - RA
167 - re
177 - ri
187 - ro
197 - ru
207 - ratio
217 - Reg
227 - Religio
237 - Resident
247 - Respubl
257 - Rex
267 - Roma
277 - rum
287 - rupt
297 - Rust

307 - SA
317 - se
327 - si
337 - so
347 - su
357 - Saband/Sabaud?
367 - sac
377 - sape
387 - sanet
397 - secret


18 - Segreg.
28 - Sentent
38 - Sex
48 - Seren.
58 - Significa
68 - Silesia
78 - Soler
88 - summa
98 - Svec.
108 - supr
118 - suspen
128 - Stamislav
138 - Status

148 - TA
158 - te
168 - ti
178 - to
188 - tu
198 - tact
208 - tan
218 - tard
228 - Tartar
238 - Temesvar
248 - temp
258 - Tibysc
268 - Titul
278 - tor
288 - Transylvan
298 - Transalpin
308 - Turc

318 - VA
328 - ve
338 - vi
348 - vo
358 - vu
368 - Varsovi
378 - Venet
388 - Ver
398 - Vestr

19 - Vezir
29 - Vienna
39 - Vistula
49 - Vol
59 - Valach
69 - Vict
79 - ubi
89 - Ukrai
99 - unio
109 - util

119 - XA
129 - xe
139 - xi
149 - xo
159 - xu

169 - ZA
179 - ze
189 - zi
199 - zo
209 - zu

219 - SKA
229 - ske
239 - ski
249 - sko
259 - sku

269 - Januarius
279 - Februar
289 - Martius
299 - Aprilis
309 - Majus
319 - Junius
329 - Julius
339 - August
349 - Septemb
359 - Octob
369 - Novemb
379 - Decemb
389 - Mil.
399 - Cent.
