#KEY: original
#CATALOG NAME: TNA_SP106_7_Anne_(0043-0045)-1
#IMAGE NAME: 3848.png-3849.png
#LANGUAGE: FR
#TRANSCRIBER NAME: DK
#DATE OF TRANSCRIPTION: May 15, 2020
#TRANSCRIPTION TIME: 9h 50min
#STATUS:complete


#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1702-03-08 - 1837-06-20


#IMAGE NAME: 3848.png

513|648|731|869|983 - A
242 - ab
666 - ac
951 - ad
482 - ae
181 - af
386 - ag
617 - ah
931 - ai
571 - al
160 - am
422|508 - an
743 - ao
118 - ap
631 - aqu
263 - ar
528 - as
711 - at
830|911 - au
371 - av
765 - ax
148 - ay
552 - az
291 - afin
442|396 - affaire
914 - ainsi
139 - alli
357 - à l'avenir
734 - ailleurs
902 - altesse
310 - ambassad
435 - amiral
812 - ami
346 - antichambre
368 - angleterre
708|629 - année
724 - ance
246 - a present
534 - apres
907 - apparen
438 - arret
456 - argent
504 - armée
948 - artillerie
362 - ation
393 - attention
722 - attaque
119 - autre
460 - aussi
546 - autant
403 - aujourd'hui
111 - avoir
136 - avant
168 - avec
669 - avril
675 - able
577 - août
914 - ainsi
342 - audience

898|490 - B
274 - ba
401 - be
718 - bi
811 - bo
790 - bu
245 - bas
618 - baltique
659 - baron
695 - bataillon
816 - bataille
377 - Bernes
583|927 - Berlin
888 - Bestouchef Rumin
239 - bien
433 - bla
637 - ble
701 - bli
124 - blo
881 - blu
226 - bra
747 - bre
476 - bri
971 - bro
101 - bru
394 - bou
535 - bon
270|497 - Bulau

200|852|963 - C
326 - ca
836 - ce
759 - ci
506 - co
821 - cu
400 - Cavallerie
437 - Caractere
526 - car
132 - cet
505 - celle
556 - cependant
719 - cent
720 - ceux
543 - cinq
104|369 - Copenhague
114|130 - contre
149 - concert
177 - Convention
220 - consider
227|673 - com^_e
241 - conference
248 - Colonel
255 - conjoncture
286|531 - Comte
325 - conversation
429 - Congé
449 - com^_un
529 - contraire
589 - Com^_ence
619 - commiss
682 - Courlande
684 - Com^_erce
697 - conquete
807 - compagnie
818 - Coup
828 - contradiction
839 - College
994 - Cou
162 - Cour
376 - Cha
861 - che
487 - chi
806 - cho
367 - chu
980 - Chanceller
545 - charge
558 - change
664 - chacun
355|517 - Chemin
171 - cla
955 - cle
946 - cli
685 - clo
213 - clu
749 - Cheuse
511 - chiffre
453 - cra
256 - cre
901 - cri
154 - cro
864 - cru
608 - crédit
715 - croi
848 - crime
464 - Cernicheff

893 - D
102 - douze
109|170 - depeche
138 - dra
153 - dit
156 - donc
191|364 - de
205 - dro
206 - Decembre
212 - dans
222 - doit
240 - dire
247|776 - di
275|600 - de la
340 - demonstration
344 - deux
366 - Duc Newkastle
372 - diffic
383 - dru
407 - Danemarck
418 - depuis
434 - desir
450 - doute
468 - da
480 - Deserteur
500 - do
522|652|938 - de
542 - dri
549 - donn
632 - dix
737 - Duc
875|739 - du
741 - Dresde
835 - d l'
916 - droit
924 - dou
942 - dernier
947 - dre

847 - E
131 - Espion
159 - evenement
174 - eg
186|304|661 - en
208 - exact
225 - estime
229 - empeche
237 - entend
277|909 - et
283 - ed
305 - el
312 - estafette
314 - embaras
348 - Empire
351 - er
356 - ef
413 - ence
419 - eau
432 - etrange
466 - Espagne
503 - eur
512 - etat
519 - Envoyé
523 - etre
527|729 - est
568 - eu
601 - ete
657 - ey
671|998 - eé/ée?
677 - eh
693 - es
736 - em
750 - ev
791 - Esquadron
796|847|163 - e 
808 - ent
827 - ez
872 - ep
894 - ec
961 - ei
962 - extra
968 - eb
976 - equ
379 - etranger
106 - ex
871 - Excellence

461 - F
121 - fort
125 - flotte
137 - faut
268 - fli
293 - fi
329 - Finlande
334 - fo
341 - foi
345 - fau
444 - fru
457 - fle
496 - Fockerod
502 - fait
563 - fri
582 - fa
623 - flo
643 - fu
670 - Finckenstein
689 - fra
712 - faire
721 - fou
771 - facil
778 - ff
801 - France
844 - flu
887 - fro
918 - fre
941 - fla
958 - Forme de Regeance
990 - fe
996 - Fevrier

271|604 - G
116 - Greiffenheim
123 - General
143 - gli
146 - grand
167 - gu
216 - gri
243 - gouverne
262 - Gentil'hom^_e
280 - Guidikens
