#KEY: original 
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_18
#IMAGE NAME: 3884.png 
#LANGUAGE: LA 
#TRANSCRIBER NAME: AP
#DATE OF TRANSCRIPTION: May 11, 2020
#TRANSCRIPTION TIME: 2h
#STATUS: complete

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

100|250|260 - A
101 - B
90|110 - C
102 - D
80|120|209 - E
103 - F
104|208 - G
105 - H
70|130|207 - I
140|270|206 - L
60|150|280 - M
50|160|290 - N
40|170|205 - O
106|204 - P
107 - Q
30|180|203 - R
20|190|202 - S
10|200|300 - T
210|220 - U
108 - V
109 - X
5 - Y
6 - Z
7|230|201 - ae
8 - oe
9|240 - au

11 - ab
12 - ac
13 - ad
14 - af
15 - al
16 - am
17 - an
18 - ar
19 - as
111 - at
112 - absque
113 - aliter
114 - ante
115 - antem
116 - Admiral
117 - Angli
118 - Austria
119 - Ba
211 - be
212 - bi
213 - bo
214 - bu
215 - Baro
216 - Bavar
217 - Bohemi
218 - Buda
219 - Bug

21 - Ca
22 - ce
23 - ci
24 - co
25 - cu
26 - cl
27 - ct
28 - cum
29 - Campi Duz
121 - Cancellar
122 - Caesar
123 - Castellan
124 - Capitane
125 - Comes
126 - Commendan
127 - Consiliar
128 - Cosaci
129 - Da
221 - de
222 - di
223 - do
224 - du
225 - dum
226 - Dani
227 - Dambi
228 - Domin
229 - Dux

31 - Ec
32 - ef
33 - em
34 - en 
35 - er
36 - es
37 - et
38 - ex
39 - est
131 - enim
132 - etiam
133 - excellentissim
134 - elector
135 - Fa
136 - fe
137 - fi
138 - fo
139 - fu
231 - fl
232 - fr
233 - fere
234 - forte
235 - frustra
236 - Ga
237 - ge
238 - gi
239 - go

41 - gu 
42 - gr
43 - gratia
44 - generos
45 - General
46 - German
47 - Gedanum
48 - Ha
49 - he
141 - hi
142 - ho
143 - hu 
144 - haec
145 - hic
146 - hoc
147 - huc
148 - hinc
149 - hucusgr
241 - Hollandi
242 - Hungari
243 - Ic
244 - id
245 - il
246 - im
247 - in
248 - is
249 - iv|n?

51 - ideo
52 - ille
53 - inde
54 - intellig
55 - intellexi
56 - intra
57 - infanteria
58 - Itali
59 - La
151 - le
152 - li
153 - lo
154 - lu
155 - legat
156 - licet
157 - livoma
158 - Litvani
159 - Leopoli
251 - Lublin
252 - Ma
253 - me
254 - mi
255 - mo
256 - mu
257 - male
258 - mihi
259 - Mimistr

61 - Moldavia
62 - Moravia
63 - Moscovia
64 - Moscov Czar
65 - Na
66 - ne
67 - ni
68 - no
69 - nu
161 - nc
162 - nt
163 - nam
164 - neque
165 - nihil
166 - nimirum
167 - non
168 - nostr
169 - narev
261 - nunquam
262 - Ob
263 - oc
264 - om
265 - op
266 - or
267 - os
268 - official
269 - Ordines

71 - Pa 
72 - pe
73 - pi
74 - po
75 - po
76 - per
77 - prater
78 - proprer 
79 - pro
171 - pralat
172 - Princeps
173 - Princip
174 - Poloni
175 - Prusti
176 - Palatin Behe
177 - Palatin Vraccov
178 - Palatin Jiovi
179 - Palatin Masov
271 - Palatin Podlach
272 - Palatin Podol
273 - Palatin Pornani
274 - Palatin Russia
275 - Palatin Ukrain
276 - Palatin Volini
277 - Qua
278 - que
279 - quae

81 - qui
82 - quo
83 - quu
84 - quasi
85 - quatenus
86 - quidem
87 - Ra
88 - re
89 - ri
181 - ro
182 - ru
183 - rurtus
184 - Respublica
185 - Res
186 - Reg
187 - Sa
188 - se
189 - si
281 - so
282 - su 
283 - Serenissim
284 - Serenitat
285 - Sunt
286 - Ta
287 - te
288 - ti
289 - to

91 - tu
92 - tune
93 - Ul
94 - um
95 - un
96 - ur
97 - us
98 - ut
99 - Va
191 - ve
192 - vi
193 - vo
194 - vu
195 - verum
196 - vestr
197 - Ianuar
198 - Februar
199 - Mart
291 - April
292 - Maj
293 - Jun
294 - Jul
295 - August
296 - Septembr
297 - Octobr
298 - Novembr
299 - Decembr
