#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_65
#IMAGE NAME: 3909.png
#LANGUAGE: LA
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: June 22, 2020
#TRANSCRIPTION TIME: 30min-->0,5H
#STATUS: complete 

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

<CLEARTEXT LA REDUCIA>

Sun - a
LatinSmallLetterQWithStrokeThroughDescender - e
WhiteSquare - i
MaleSign - o
PlusSign - u
1 - za
2 - va
3 - ca
4 - fa
5 - ba
6 - ra
7 - pa
8 - da
9 - wa
10 - ka
11 - ta
12 - na
13 - la
14 - sa
15 - ma
16 - ha
17 - ga

21 - be
22 - ze
23 - ve
24 - se
25 - te
26 - fe
27 - ge
28 - le
29 - ne
30 - pe
31 - de
32 - me
33 - ce
34 - re
35 - we
36 - he
37 - ke

40 - di
41 - ci
42 - zi
43 - ti
44 - li
45 - mi
46 - ri
47 - si
48 - ni
49 - wi
50 - bi
51 - hi
52 - fi
53 - pi
54 - vi
55 - ki
56 - gi

59 - fo
60 - wo/vo?
61|69 - go
62 - co
63 - do
64 - lo
65 - mo
66 - po
67 - no
68 - ko
70 - ro
71 - to
72 - so
73 - ho|wo
75 - bo

81 - bu
82 - zu
83 - du
84 - vu
85 - wu
86 - tu
87 - ru
88 - hu
89 - fu
90 - gu
91 - su
92 - cu
93 - lu
94 - mu
100 - pu
101 - nu
102 - ku

104 - c
105 - b
106 - d
108 - h
109 - g
110 - f
200 - k
300 - m
400 - n
500 - l
700 - q
800 - r
900 - p
2000 - s
4000 - t
5000 - x
6000 - v
7000 - w
9000 - z


18|19|20|38|39|57|58|74|76|77|78|79|80|95|96|97|98|99|103|107|600|1000 - <EMPTY>
