#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_72
#IMAGE NAME: 3910.png
#LANGUAGE: HU
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: May 13, 2020
#TRANSCRIPTION TIME: 105min-->1,75H
#STATUS: complete

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

656|666 - A
636|646 - B
616|626 - C
596|606 - D
576|586 - E
556|566 - F
536|546 - G
516|526 - H
496|506 - I
476|486 - K
456|466 - L
436|446 - M
416|426 - N
396|406 - O
376|386 - P
356|366 - Q
336|346 - R
316|326 - S
295|306 - T
276|286 - U
256|266 - V
236|246 - X
216|226 - Y
196|206 - J
176|186 - Z
146|156 - Ö
126|136 - Ü
96|106|116 - Sz

<CLEARTEXT HU Dan. Pet.>

10 - Ab
20 - ad
30 - ae
40 - at
50 - ay
60 - ak
70 - al
80 - am
90 - an
110 - ap
120 - ar
130 - as
140 - at
150 - az

180 - Ba
190 - be
210 - bi
220 - bo
230 - bu
240 - bü
250 - bö
270 - Bveruse?
280 - Barcsai

11 - Boer
21 - Brasso
31 - Bukurat
41 - Bercsényi

71 - Ca
81 - ce
91 - ci
101 - co
111 - cu
121 - cö
131 - cü
141 - cs
151 - cz
161 - Csik
171 - Csar
181 - Csaszár
191 - Constantinopoly

221 - Da
231 - de
241 - di
251 - do
261 - du
271 - dö
12 - dü
22 - Datum
32 - Duna
42 - Draguly

62 - Eb
72 - ed
82 - ef
92 - eg
102 - ek
112 - el
122 - em
132 - en
142 - ep
152 - er
162 - es
172 - és
182 - et
192 - eu
202 - ez
212 - Erdély

232 - Fa
242 - fe
252 - fi
13 - fo
23 - fu
33 - fü
43 - Felség
53 - Fejedelem
63 - Fogaras
73 - Franczia

103 - Ga
113 - ge
123 - gi
133 - go
143 - gu
153 - gö
163 - gü
173 - gy
183 - Generalis
193 - Gyergyo
203 - György
213 - Gross
223 - Grassen

14 - Ha
24 - he
34 - hi
44 - ho
54 - hu
64 - hö
74 - hü
84 - hagy
94 - hanem
134 - Ib
144 - id
154 - if
164 - ig
174 - ik
184 - il
194 - im
204 - ip
214 - ir
224 - is
234 - it
244 - iz
254 - Isten
15 - Ka
25 - ke
35 - ki
45 - ko
55 - ku
65 - kö
75 - kü
85 - Karoli
95 - Krispau?
105 - Kolosvár
115 - Köver

155 - La
165 - le
175 - li
185 - lo
195 - lu
205 - lö
215 - lü
225 - Lugossi
235 - Lengyel
245 - Laboncz
255 - Ly

17 - Ma
27 - me
37 - mi
47 - mo
57 - mu
67 - mö
77 - mü
87 - már
97 - most
107 - magyar
117 - Maros
127 - Mara marus
137 - Muszka
147 - Moldva
197 - Na
207 - ne
217 - ni
227 - no
237 - nu
247 - nö
257 - nü
267 - ny

18 - Nagy
28 - nem
38 - Nemes
48 - nép
58 - német
68 - nincs?
108 - Ob
118 - od
128 - oe
138 - of
148 - og
158 - ok
168 - ol
178 - om
188 - on
198 - or
208 - os
218 - ot
228 - oz
238 - olly
248 - Olá
258 - Ország

49 - Pa
59 - pe
69 - pi
79 - po
89 - pu
99 - pö
119 - pü
129 - pénz
139 - Paszus/Passus?
149 - paripa


179 - Qua
189 - que
199 - qui
209 - quo
219 - quu
249 - Ra
259 - re
269 - ri
279 - ro
311 - ru
321 - rö
331 - rü
341 - rend
351 - rosz
361 - rácz
371 - rab
401 - Sa
411 - se
421 - si
431 - so
441 - su
451 - sö
461 - sü
471 - Szász
481 - Szamor
491 - szék
511 - szeben
521 - szpotár?
312 - Ta
322 - te
332 - ti
342 - to
352 - tu
362 - tö
372 - tü
382 - Török
392 - tabor
402 - tatár
412 - tanács
422 - Teleki
432 - Tömös

462 - Ub
472 - ud
482 - uf
492 - ug
502 - ugy
512 - uk
522 - ul
532 - um
542 - un
313 - ur
323 - us
333 - ut
343 - uz
353 - után
363 - Uram

393 - Va
403 - ve
413 - vi
423 - vo
433 - vu
443 - vö
453 - vü
463 - Vár
473 - Vayda
483 - Vay
493 - Viz
503 - Vasar

523 - Za
533 - ze
543 - zi

314 - zo
324 - zu
334 - zö
344 - zü
354 - Zibo
364 - Zaszlo

394 - Ja
404 - je
414 - ji
424 - jo
434 - ju
444 - jö
454 - jü
464 - Jászvásár
474 - Janos

160|170|260|51|61|201|211|52|222|262|83|93|233|243|253|104|114|124|264|274|125|135|145|265|157|167|78|88|98|19|29|39|159|169|229|239|381|391|531|541|551|442|452|552|373|383|513|374|384|484|494|504|514|524|534|54|455 - <EMPTY>
