#KEY: original
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_68
#IMAGE NAME: 3913.png
#LANGUAGE: LA
#TRANSCRIBER NAME: NM
#DATE OF TRANSCRIPTION: May 14, 2020
#TRANSCRIPTION TIME: 30min-->0,5H
#STATUS: complete

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

Sun - A
105 - B
104 - C
106 - D
q - E
110 - F
109 - G
108 - H
WhiteSquare - I
200 - K
500 - L
300 - M
400 - N
q - O
900 - P
700 - Q
800 - R
2000 - S
4000 - T
4 - U
6000 - V
5000 - X
7000 - Y
9000 - Z

<CLEARTEXT LA Errantes>

18|19|20|38|39|57|58|76|77|78|79|80|95|96|97|98|99|103|107|600|1000 - <NULL>

5 - Ba
21 - be
50 - bi
75 - bo
81 - bu

3 - Ca
33 - ce
41 - ci
62 - co
92 - cu

8 - Da
31 - de
40 - di
63 - do
83 - du

4 - Fa
26 - fe
52 - fi
59 - fo
89 - fu

17 - Ga
27 - ge
56 - gi
69 - go
90 - gu

16 - Ha
36 - he
51 - hi
73 - ho
88 - hu

10 - Ka
37 - ke
55 - ki
68 - ko
102 - ku

13 - La
28 - le
44 - li
64 - lo
93 - lu

15 - Ma
32 - me
45 - mi
65 - mo
94 - mu

12 - Na
29 - ne
48 - ni
67 - no
101 - nu

7 - Pa
30 - pe
53 - pi
66 - po
100 - pu

6 - Ra
34 - re
46 - ri
70 - ro
87 - ru

14 - Sa
24 - se
47 - si
72 - so
91 - su

11 - Ta
25 - te
43 - ti
71 - to
86 - tu

2 - Va
35 - ve
54 - vi
73 - vo
84 - vu

9 - Wa
23 - we
49 - wi
60 - wo
85 - wu

1 - Za
22 - ze
42 - zi
61 - zo
82 - zu
