#KEY: original 
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_61_2
#IMAGE NAME: 3918.png 
#LANGUAGE: LA
#TRANSCRIBER NAME: AP
#DATE OF TRANSCRIPTION: May 15, 2020
#TRANSCRIPTION TIME: 3h
#STATUS:complete

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

10|110|310 - A
120 - B
20|130|340 - C
140 - D
30|150|350 - E
160 - F
170 - G
180 - H
40|190|360 - I
200 - L
50|210|370 - M
60|220|380 - N
70|230 - O
240 - P
250 - Q
80|260|390 - R
90|270|400 - S
100[280 - T
290 - U
300 - V
310 - X
320 - Z

11 - ab
21 - ac
31 - ad
41 - af
51 - al
61 - am
71 - an
81 - ar
91 - as
101 - at
111 - au
121 - ae
131 - absque
141 - alioquin
151 - aliud
161 - aliter
171 - allinacia
181 - ante
191 - antea
201 - armada
211 - artillezia
221 - assecura
231 - atque
241 - autem
251 - ba
261 - be
271 - bi
281 - bo
291 - bu
301 - bene
311 - ca
321 - ce
331 - ci
341 - co
351 - cu
361 - cr
371 - cavalleria
381 - cito
391 - cum

12 - da
22 - de
32 - di
42 - do
52 - du
62 - demde
72 - dictur
82 - domin
92 - donec
102 - dum
112 - dudum
122 - ec
132 - ef
142 - em
152 - en
162 - er
172 - es
182 - et
192 - ex
202 - ecce
212 - enim
222 - erga
232 - est
242 - etiam
252 - excellentissim
262 - canide
272 - catra
282 - fa
292 - fe
302 - fi
312 - fo
322 - fu
332 - fl
342 - fr
352 - fere
362 - flotta
372 - fideli
382 - forte
392 - frustra

13 - ga
23 - ge
33 - gi
43 - go
53 - gu
63 - gra
73 - gasetta
83 - grattia
93 - ha
103 - he
113 - hi
123 - ho
133 - hu
143 - hac
153 - haec
163 - hic
173 - hinc
183 - hoc
193 - hostis
203 - huc
213 - hucusque
223 - ie
233 - id
243 - il
253 - im
263 - in
273 - ips
283 - is
293 - in
303 - idev
313 - ille
323 - imposterium
333 - inde
343 - insurrextiv
353 - intellig.
363 - intellexi
373 - indifferen
383 - infanteria
393 - intra

14 - la
24 - le
34 - li
44 - lo
54 - lu
64 - legat
74 - licet
84 - ma
94 - me
104 - mi
114 - mo
124 - mu
134 - magrs
144 - male
154 - multi
164 - militia
174 - multum
184 - na
194 - ne
204 - ni
214 - no
224 - nu
234 - nt
244 - nam
254 - neque
264 - nihil
274 - nimirum
284 - non
294 - nostr
304 - nunc
314 - ob
324 - oc
334 - om
344 - op
354 - or
364 - os
374 - offici
384 - ordines
394 - occurentia

15 - pa
25 - pe
35 - pi
45 - po
55 - pu
65 - pr
75 - pecinnia
85 - penitus
95 - per
105 - politic
115 - posta
125 - pugna
135 - praesestim
145 - praeter
155 - prius
165 - pro
175 - propter
185 - qua
195 - que
205 - quae
215 - qui
225 - quo
235 - quu
245 - quando
255 - quare
265 - quasi
275 - quatenus
285 - quicquid
295 - quidem
305 - ra
315 - re
325 - ri
335 - ro
345 - ru
355 - ratio
365 - repraesenta
375 - regimen
385 - resolutio
395 - rursus

16 - sa
26 - se
36 - si
46 - so
56 - su
66 - st
76 - satis
86 - semper
96 - serenit
106 - sicut
116 - sunt
126 - super
136 - ta
146 - te
156 - ti
166 - to
176 - tu
186 - tr
196 - tandem
206 - tantum
216 - toties
226 - totaliter
236 - tunc
246 - ul
256 - um
266 - un
276 - ur
286 - us
296 - ut
306 - unde
316 - undique
326 - usque
336 - va
346 - ve
356 - vi
366 - vo
376 - vu
386 - verum
396 - vester

17 - admiral
27 - baro
37 - campi dux
47 - cancellar
57 - caesar
67 - capitane
77 - Colonell
87 - comes
97 - commitat
107 - commissar
117 - commendant
127 - consiliar
137 - czar
147 - dux
157 - elector
167 - general
177 - mediator
187 - ministr
197 - palatin
207 - praelat
217 - princeps
227 - princip
237 - rex
247 - referendari
257 - Res publica
267 - secretar
277 - senatu
287 - status regni
297 - besaurari
307 - vajvoda
317 - Anglia
327 - Austria
337 - Bavar
347 - Bohemia
357 - Cosaci
367 - Dania
377 - Gallo
387 - Germani
397 - Hollandi

18 - Hungari
28 - Itali
38 - Livonia
48 - Moldavia
58 - Moravia
68 - Moschovia
78 - Moschovit
88 - Poloni
98 - Prussia
108 - Sabandia
118 - Silesia
128 - Sveci
138 - Tartari
148 - Turcia
158 - Litvani
168 - Tranbsylvania
178 - Talacbia
188 - Veneti
198 - Palatinat. Belsensis
208 - Palatinat. Craccovia
218 - Palatinat. Kiovice
228 - Palatinat. Masovia
238 - Palatinat. Podalachia
248 - Palatinat. Podolia
258 - Palatinat. Romanice
268 - Palatinat. Russia
278 - Palatinat. Ukrainia
288 - Palatinat. Volinia
298 - Constantinopol.
308 - Dantisc
318 - Tareslavia
328 - lepoli.
338 - Lublin
348 - Stanislovi.
358 - Boroni
368 - Varsavi
378 - Bug
388 - Dabnubiu
398 - Vistula

19 - Priscia
29 - Narev
39 - Brezan
49 - Dresda
59 - Elbinga
69 - Grodno
79 - Lipsia
89 - Mazeppa
99 - Patkul
109 - Regiomontum
119 - Szkolya
129 - Vratislavia
139 - Vilna
149 - Augustu.
159 - Bonak
169 - Brann
179 - Deshof
189 - Favorita
199 - Furstenberg
209 - Groffei
219 - Sembek
229 - Stronberg
239 - Statislans
249 - Vachesport
259 - Datum
269 - Januarÿ
279 - Februarÿ
289 - Marty
299 - Aprilis
309 - Maji
319 - Junÿ
329 - Julÿ
339 - Augusti
349 - Septembris
359 - Octobris
369 - Novembris
379 - Decembris
389 - Centum
399 - Mille
