#KEY: original 
#CATALOG NAME: NAH_G15_CAPS_C_FASC_44_10
#IMAGE NAME: 3929.png 
#LANGUAGE: FR
#TRANSCRIBER NAME: AP
#DATE OF TRANSCRIPTION: May 17, 2020
#TRANSCRIPTION TIME: 3h
#STATUS:complete

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

10|11|66|67 - A
12|13|68 - B
14|15|70|69 - C
16|17|72 - D
18|19|74|71 - E
20|21|76 - F
22|23|78 - G
24|25|80 - H
26|27|82|73 - I
28|29|84 - K
30|31|86|75 - L
32|33|88 - M
34|35|90|77 - N
36|37|92 - O
38|39|94|79 - P
40|41|96 - Q
42|43|98|81 - R
44|45|100|83 - S
46|47|102|85 - T
48|49|104|87 - V
50|51|106 - X
52|53|108 - Y
54|55|110 - Z
56|57|112|89 - et
58|59|114|91 - ns
60|61|116|93 - st
62|63|118|95 - es
64|65|120 - rt

121 - Ambassade
122 - argent
123 - affaire
124 - alli
125 - auei
126 - aussi
127 - arme
128 - assez
129 - au
130 - ani
131 - auis
132 - aurrei
133 - ay
134 - avantage
135 - asseur
136 - ayant
137 - archeueque
138 - assemble
139 - Ba
140 - be
141 - bi
142 - bo
143 - bu
144 - beaucoup
145 - besoin
146 - bien
147 - bon
148 - botaille
149 - Ca
150 - ce
151 - ci
152 - co
153 - cu
154 - camp
155 - conjocture
156 - ces
157 - cerouette
158 - conclu
159 - commande
160 - comme
161 - cond
162 - consul
163 - consequence

164 - conjointemt
165 - courier
166 - cour
167 - croi
168 - comte
169 - chose
170 - cher
171 - car
172 - Da
173|174|175 - de
176 - di
177 - do
178 - du
179 - dans
180 - demande
181 - des
182 - desir
183 - depeche
184 - devani
185 - dispos
186 - donne
187 - dessein
188 - doni
189 - directur
190 - diette
191 - ex
192 - eu
193 - entre
194 - eux
195 - elle
196 - en
197 - est
198 - estae
199 - effect
200 - empeche
201 - encore

202 - engage
203 - ennemi
204 - envoy
205 - er
206 - esper
207 - estre
208 - expres
209 - extraordinaire
210 - l'Evesque
211 - l'Enseigne
212 - Fa
213 - fe
214 - fi
215 - fo
216 - fu
217 - faire
218 - fair
219 - fin
220 - fort
221 - frontiere
222 - Ga
223 - ge
224 - gi
225 - go
226 - gu
227 - gar
228 - garde
229 - general
230 - govverne
231 - grand
232 - guerre
233 - gentil homme
234 - Ha
235 - he
236 - hi
237 - ho
238 - hu
239 - homme

240 - honneur
241 - heure
242 - ja
243|244 - je
245 - ji
246 - jo
247 - ju
248 - jt
249 - incessant
250 - inform
251 - intention 
252 - interest
253 - jour
254 - jusque
255 - in
256 - is
257 - La
258|259 - le 
260 - li
261 - lo
262 - lu
263 - laifse
264 - les
265 - letter
266 - leur
267 - luy
268 - lieu
269 - lors
270 - lorsque
271 - ligue
272 - liberte
273 - Ma
274|275 - me
276 - mi
277 - mo
278 - mu

279 - Mars
280 - maistre
281 - mande
282 - manque
283 - ministre
284 - marechal
285 - mediateur
286 - mediation
287 - moyen
288 - mon
289 - moins
290 - maison
291 - mettre
292 - mesme
293 - ment
294 - marque
295 - na
296|297 - ne
298 - ni
299 - no
300 - nu
301 - necessaire
302 - non
303 - nos
304 - nouvelle
305 - negociation
306 - nostre
307 - nonobstand
308 - nonce
309 - nous
310 - noblesse
311 - oir
312 - oit
313 - ois
314 - oient
315 - on

316 - Occasion
317 - ordre
318 - ordinair
319 - oblig
320 - ou
321 - ont
322 - or
323 - Pa
324 - pe
325 - pi
326 - po
327 - pu
328 - par
329 - pas
330 - paix
331 - parti
332 - particulier
333 - persuade
334 - personne
335 - plus
336 - plusieurs
337 - possible
338 - port
339 - pour
340 - puis
341 - pouvoir
342 - prendre
343 - present
344 - propos
345 - proposition
346 - petit
347 - Province
348 - qua
349|350 - que
351 - qui
352 - quo
353 - quu
354 - quand

355 - quartiers
356 - quelle
357 - quelque
358 - quil
359 - quoy
360 - Ra
361|362 - re
363 - ri
364 - ro
365 - ru
366 - raison
367 - ratiffi
368 - receu
369 - reunion
370 - regiment
371 - rend
372 - resolu
373 - rien
374 - royaume
375 - ressource
376 - rou
377 - religion
378 - rebublique
379 - sa
380|381|382 - se
383 - si
384 - so
385 - su
386 - sa majeste
387 - san
388 - scavoir
389 - seisurs
390 - sernice
391 - sicur
392 - soin
393 - sou
394 - somme
395 - son
396 - sous
397 - siege
398 - sui
399 - sur
400 - secret

401 - subsides
402 - sujet
403 - succession
404 - seruiteur
405 - ta
406|407 - te
408 - ti
409 - to
410 - tu
411 - tant
412 - temps 
413 - tenir
414 - temoins
415 - terre
416 - tion
417 - tost
418 - tont
419 - tous
420 - traitte
421 - troupes
422 - treue
423 - trouce
424 - tres
425 - va
426|427 - ve
428 - vi
429 - vo
430 - vu
431 - vaisseaux
432 - veri
433 - ville
434 - vos
435 - vostre
436 - vous
437 - voir
438 - vray
439 - vs
440 - venir
441 - ka
442 - ke
443 - ki
444 - ko
445 - ku

446 - ska
447 - ske
448 - ski
449 - sko
450 - sku
451 - xa
452 - xe
453 - xi
454 - xo
455 - xu
456 - za
457 - ze
458 - zi
459 - zo
460 - zu
461 - L'assaut
462 - la breche
463 - l'attaque
464 - la trenchee
465 - bastion
466 - batterie
467 - bombes
468 - boulets
469 - chemin couvert
470 - casemale
471 - commandant
472 - colonel
473 - deserte
474 - mortiers
475 - madriers
476 - moulin
477 - meche
478 - mineur
479 - mines
480 - sougades
481 - fusines
482 - fosse
483 - polissades

484 - parti
485 - patrouille
486 - batteau
487 - flane
488 - courtine
489 - parapet
490 - gabions
491 - sac a terre
492 - retirade
493 - redoule
494 - retraitte
495 - galerie
496 - poste amance
497 - le stravailleurs
498 - paysant
499 - la Danube
500 - la Kran
501 - la neutra
502 - la marck
503 - lipot?or
504 - la Jeys
505 - l'autre coste du Danube
506 - Karua
507 - Commore
508 - Kran
519 - Bude
510 - Raab
511 - Presbourg
512 - Vienne
513 - L'ysle Delschut
514 - La vaag
515 - seret
516 - neutra
517 - Leopolstadt
518 - Le villes des montagnes
519 - Ertau
520 - Cachau 

521 - la Pologne
522 - la silesie
523 - la morovie
524 - läautriche
525 - la Transylvanies
526 - l'Empereur
527 - le Royde
528 - le Prince
529 - le Czar
530 - le Comte
531 - les allemands
532 - les  anglois
533 - les hollandois
534 - les allies
535 - les francois
536 - les suedois
537 - Hongrie
538 - Danois
539 - le general Bercseny
540 - le general Kurolyi
541 - le general Esterhasyi
542 - le general Bouyanqi
543 - le general Heister
544 - le general Palfi
545 - le general L?equin
546 - le general Tolede
547 - le general Eberginyi

548 - le general Nadaski
549 - Canon
550 - mousquet
551 - armes a kroc
552 - grenades
553 - bales a feu
554 - la poudre
555 - le plomb
556 - les vuires
557 - les offieiers
558 - les Ducs
559 - les bourgeois
560 - les boussars

97|99|101|103|105|107|109|111|113|115 - <NULL>
