sign	value
11	m
12	f
13	a
14	h
15	e
16	n
17	p
18	g
19	b
20	z
21	d
22	a
23	t
24	u
25	o
26	Inglesi
27	Venetia
28	u
29	Consiglio
30	l
31	r
32	i
33	c
34	t
35	o
36	e
37	i
38	a
39	o
40	s
42	Mons. di
43	Gran Duca di
45	Papa
47	Re di
55	Cardinale di
58	Duca di
60	Legato
80	Francesi
81	Spagna
84	Francia
96	Spagnoli
97	Roma
overbarred 96	Mercoeur
overbarred 97	Nemours
● (dot with bar)	che
θ with bar	per
♀	non
Y	V. A.
⊡	S. Ecc.za
⊕	S. M.tà
⊙	S. S. Ill.ma
flagged Γ	S. A.
⌊	et
S-sign	quello
↓	quali
‡	quanti
T	mille
+	conto
※	lettere
Γ	di
7 (sign)	il
overbar on a letter figure	doubles the letter
