sign	letter	count	examples
w	a / d (two signs conflated?)	a~14 d~9	death, helped, undonne, christendome, thousand
24	b	6	be, broyle, Brulard, Balagny, publick
d	l / c (two signs conflated?)	l~6 c~5	publick, lettres, helped, League / prince, christendome, secretarye, Cambray, confessed
D	u/v	~10	publick, pryvat, quite, undon, uppon, League, Junius
Dd	w	~15	written, wyfe, wryte, wth, was, womans, away, yow
6	e (not a null; surplus final e common)	~50	her, she, be, the, sea
psi	f	4	wyfe, confessed
B	g (alone = code Villeroy)	6	League, doinge, Germany, against, Balagny
λ	h	~30	her, she, his, the, death
x	i/y	~20	written, his, pryvat, prince, Junius
M	k/ck	3	publick, Berwick, make
a	l	2-3	Balagny, League (f71v L30b)
oo	m	~5	him, christendome, womans
h	n	~20	written, not, undonne, prince, ten
n	o	~15	not, or, to, yow, thousand
E	p	5	publick, pryvat, helped, prince, uppon
Δ	q (? l)	1-2	quite; f71v L30b conflicting
O+	r (alone = code Duchess of Nemours)	~20	her, wryte, prince, Brulard
Oo	r? (inconsistent)	4	secretarye, Cambray; Germany/crownes do not fit
II	s	~20	she, his, sea, christendome, thousand
#	s	2	she (f71r L4, L14)
I	s	2	lettres?, confessed
H	y (s? c?)	y~5	broyle, yow, away, Cambray, Balagny; 'was' f71r L17b; hence? f71r L20
u	t	~15	to, not, the, quite, ten thousand
A	t	1	written (tt = u A)
rho	u	1	undonne (f71r L17b)
c	a?	1	make (f71v L32)
