line	glyphs	latin	unread	total
00	∂9xrθ. rrr. ρdηc <rx<d ωxdρ ηoηdρ <oηSSθrroηcρ ωd8Srl. Xrc Scηcxrl.	Aprilis iii. mane circa horam nonam convulsionem habuit. die Veneris.	0	10
01	∂9xrθ. ξξrrr. 9oρ. 8r2 <oηSSθ2roηcl ωd8Sr/. Xrηo[S]r2. <Sρ 9θcηd θSηd.	Aprilis xxiii. pom. bis convulsiones habuit. di[e] Iovis. cum plena luna.	0	11
02	ρdy ξrrrr. ∂X φrηcρ r/cxdρ /xrSρ 2c9/rρdηdxSρ rξ. <oηSS θ2roηcl. θSηd <Sρ ρS/d/d.	Maii xiiii. ad finem iteram[=iterum] trium septimanarum ix[?]. convulsiones. luna tum[?] mutata.	0	12
03	ρdyr ξξrrr. Xrc 2d/Sxηr φθSξro d9cx/d.	Maii xxiii. die Saturni fluxio aperta.	0	6
04	ρdyr ξξS. rη/cx ωoxd2 ξrr. c/ r <oηSSθ2roηcρ ωd8Sr/. <Sρ co Xrc 9θcηd θSηd.	Maii xxv. inter horas xii et i convulsionem habuit. cum eo die plena luna.	0	14
05	ʒSηr. ξrr. Xc<xc2<cη/c θSηd ż. 9xrρdρ <oηSSθ2roηcρ 2cη2r/.	Iunii. xii. decrescente luna s[?]. primam convulsionem sensit.	0	9
06	ʒSηc ξrrr. 2S<<c22r/ ∂θ[r]∂ ρr/r2 <oηSSθ2ro. c/ ʒSη. ξrrrr. ∂θr∂.	Iunii xiii. successit alia mitis[?] convulsio. et Iun. xiiii. alia	0	11
07	ʒSθ. ξSrr. <dη/c θSηdc 9θcηrθSηrSρ 6Sdc rη Xrcρ ξrξ. 2c[β]Scη-	Iul. xvii. ante lunae plenilunium quae in diem xix. sequen-	0	10
08	/cρ rη<rXr/ XSdc <oηSSθ2roηc2 ρr/c2.	-tem incidit duae convulsiones mites.	0	5
09	ʒSθ. ξSrrr. ∂θr∂ <oηSSθ2ro Xrφφr<rθr2.	Iul. xxiii. alia convulsio difficilis.	0	6
10	∂S9S2/. rr. θSηâ ISη ηoSâ Xrφφr<rθr2 [struck word] <oηSSθ2ro.	Augusti. ii. luna tum[?] nova difficilis [struck] convulsio.	0	8
11	∂S9S2/. rrr. ρr/r2 <oηSSθ2ro ρdηc. <rx<d ωoxdρ 9xrρdρ <Sρ rη-	Augusti. iii. mitis convulsio mane. circa horam primam cum in-	0	10
12	/cx ρcoθ φSr/ ∂ρ9θcξS2 ∂θr∂ /cxxr8rθr2 <oηSSθ2ro 6S∂ρ ∂ 9x∂η-	-ter meos fuit amplexus alia terribilis convulsio quam a pran-	0	11
13	-Xro ηoη θcSc ρ∂9ηo /xcρoxc Sξrr. 9oρcxrX∂ηo r/cxSρ 9oθS∂-	-dio non leve magno tremore vexit[?]. pomeridiano iterum postea[?]-	1	10
14	∂θ∂ Xrφφr<rθr2 <oηSSθ2ro.	alia difficilis convulsio.	0	3
15	∂S9. ξξrrrr. ρ∂ηc ∂θr∂ Xrφφr<rθr2 <oηSSθ2ro.	Aug. xxiiii. mane alia difficilis convulsio.	0	6
