record	token_no	decode_token	image_reading	value	kind	grade	note
R1013	23	167	167	suecia	new-code	C	167 = Suecia (homophone of 163); in NOTES but not in dec.py K.update; margin 'de la Suecia'
R1013	107	167	167	suecia	new-code	C	as above; margin 'celos a la Suecia'
R1013	109	d+v+	d+ v	qua	new-code	C	struck d + small v/x sign; v = abbreviation mark, d+ v 8 = q~l = qual; margin 'lo qual'
R1013	123	g	y	n	misread	H	line-initial y with long tail read as g; 16 65 y nu 24 45 dan 8 = gran fundamento el; margin 'gran fundam.to'
R1013	134	f	y	n	misread	H	ag xe y 184 = hacen sobre; margin 'hacen sobre'
R1013	158	d/f	d+	que	misread	H	struck d at line end; margin 'que dello'; note DECODE's following '13 e' is 13 C+ (e ll) = dello
R1013	192	Y+	✝	xe	new-code	M	cross-shaped sign after 13 (= e): 13 ✝ 31 xi 73 = e-xe-r-ci-to = exercito; margin 'Ex.to' (DECODE 'Ry.le'); same-looking sign = e in R1014 (C+ ✝ = lle), so value uncertain
R1013	217	bof	bof	guerra	new-code	C	code word; margin 'la ultima guerra'
R1013	219	xoy	xo y	con	misread	H	two groups written close; margin 'que con ella'
R1013	221	C+	C+	ll	new-code	C	struck C = ll (13 C+ = ell-a; also lleva, lleve, hallo, ellos, dello in R1013-14); vowel a not written
R1013	232	d+v+	d+ v	qua	new-code	C	d+ v 8 = qual (v = abbreviation mark); margin 'lo qual ha producido'
R1013	266	on	on	electo	new-code	C	on 31 = Elector; margin 'del Elec.r de Brandem-bourg'
R1013	270	E	Ɛ.		null	M	small reversed-epsilon with dot after 105 (bourg); nothing in margin; punctuation/abbreviation mark
R1013	282	g	g+	de	misread	H	line-final g with cross stroke = g+ (key: de); margin 'produzca el de que'
R1013	311	atad	at ad	chapa	misread	H	two groups, clearly spaced on image; uc at ad 31 71 = mucha parte; margin 'mucha parte'
R1013	324	C+	C+	ll	new-code	C	13 C+ § 28 = e-ll-o-s; margin 'sobre ellos'; DECODE's following '8' is the § sign = o (same as R1014 '5')
R1013	328	76/1+1+	76‡	enen	new-code	C	76 with double cross above; preceding group is 72 (ti), DECODE read 71; 72 76‡ = tienen; margin 'tienen'
R1013	331	x+	x	a	misread	C	same small v/x abbreviation sign as tok 109/232; d+ x 8 = qual; margin 'lo qual es cierto'
R1013	368	500	500		null	M	after end of cipher (Dinamarqueses); flourish/null number, no margin text
R1013	369	=	=		null	H	end-of-passage double stroke
R1014	11	ii	ic	mi	misread	H	76 ic 28 = en mis precedentes; margin 'en mis precedentes'
R1014	36	C+	C+	ll	new-code	C	C+ ✝ 40 = lle-va; margin 'lleva'
R1014	37	r+	✝	e	new-code	C	cross-shaped sign after C+; margin 'lleva'
R1014	71	187	187	tiempo	new-code	C	code word; margin 'el tomar tiempo'
R1014	117	xoy	xo y	con	misread	H	margin 'con el socorro'
R1014	123	f	d+	que	misread	H	line-final struck d; margin 'socorro que pretende'
R1014	137	v+	v	a	new-code	C	small v = abbreviation mark: 188 v 48 = tr~do = tratado; margin 'tratado'
R1014	149	C+	C+	ll	new-code	C	C+ ✝ 41 = lle-ve; margin 'lleve'
R1014	150	r+	✝	e	new-code	C	as tok 37; margin 'lleve'
R1014	160	nc	ne	fe	misread	H	46 13 ne 9 74 80 = de e-fe-c-tu-ar (13 = e here); margin 'efectuar'
R1014	206	149	149	quanto	new-code	C	code word (cf. 148 = quando); margin 'en quanto al tratado'
R1014	229	cuf	cuf	inglaterra	new-code	C	code word; margin 'y la Inglaterra'
R1014	257	yu	yu	us	new-code	C	y+vowel = vowel+s series (ya as, ye es, yo os); u u+ yu 73 = a-j-us-to; margin 'ajusto'
R1014	290	21/1+1+	21‡	a	new-code	C	21 with double cross above; copia 21‡ N 76 24 = copia a V.S. en 24; margin 'a VS en 24'
R1014	295	17	17	oc	new-code	C	17 with small c above: 17 74 10 66 = octubre; margin 'Ott.'
R1014	312	C+	C+	ll	new-code	C	ag C+ S = ha-ll-o (DECODE read 'ad'); margin 'hallo'
R1014	313	5	S	o	new-code	C	small S/§ written after C+ (same sign read '8' in R1013 tok 324); margin 'hallo'
R1014	314	xaif	xa if	casi	misread	H	two groups; margin 'casi privado'
R1014	321	111	111	comercio	new-code	C	code word; margin 'del comercio de las gentes'
R1014	338	F_	F_	todo	new-code	C	underlined F = code word; margin 'en todo'
R1014	371	v+	v	stra	new-code	C	abbreviation mark: fe v = nue~ = nuestra; margin 'en nra union'
R1014	408	167	167	suecia	new-code	C	margin 'la Suecia'
R1014	419	1+1+	u‡	j	misread	C	u+ (key: j) with double cross; 21 u‡ yu 70 ef 21 = a-j-us-ta-se-a; margin 'asufrasse' = ajustasse
R1014	420	fu	yu	us	misread	M	read as xu/fu by eye; value from yu = us (tok 257); margin 'ajustasse'
R1014	448	32	32	x	new-code	C	30 66 71 32 73 = pre-te-x-to; margin 'pretexto' (DECODE 'pre tesoro')
R1014	450	xoy	xo y	con	misread	H	margin 'con que'
R1014	453	yexuafxoy	ye xu af xo y	escusacon	misread	H	five groups run together; ef ye xu af xo y = se escusa con (la Francia)
R1014	463	co	10	b	misread	H	10 (key: b) read as co; od if 10 56 = posible; margin 'imposible'
R1014	469	ci	ci	xa	illegible	M	sign like 'ci'; de ? se = dexase; margin 'defasse' = dexasse; value from context
R1015	8	cin	cin	haviendo	new-code	C	code word; cin ec 41 62 48 = haviendo me venido; margin 'haviendome venido'
R1015	13	21/1+1+	21‡	a	new-code	M	21 with double cross, followed by small a: venido a (a)dvertir; margin 'venido adverir'; the small a may carry 'ad'
R1015	78	1+3+	‡	h	new-code	C	standalone double cross before 21 48 28 = (h)a dos; margin 'ha dos dias'; could be a sentence mark with 21 alone = a
R1015	90	138	13 8	el	misread	H	two groups (13 = e, 8 = l); margin 'en el remedio'
R1015	126	d+ay	d+ v y	quan	misread	C	struck d + abbreviation v + y(n): d+ v y 73 = quanto; margin 'quanto antes'
R1015	133	cel	cel	hacer	new-code	C	code word; margin 'a hacer las diligencias'
R1015	225	yer	ye	es	misread	C	ye with a trailing flourish; margin 'es mayor mal'
