# Source: https://github.com/mayig/indus-valley-script-corpus (MIT licence, commit ad2f1e2), a digitisation
# of Parpola et al., Corpus of Indus Seals and Inscriptions. Signs are Parpola numbers in reading order.
side	description	line	signs	damage	uncertainty	features
M-1A	unicorn I seal	1	P108 P073 P385 P202 P121	0 0 0 0 0	0 0 0 0 0	0,1,0 2,1 1 0,3 1
M-3A	unicorn I seal	1	P094 P145 P320	0 0 0	0 0 0	- - 3
M-4A	unicorn I seal	1	P147 P268 P268 P237 P122 P056 P316 P147 P186 P205	0 0 0 0 0 0 0 0 0 1410	0 0 0 0 0 0 0 0 10 10	- 2,4 2,4 - 0 1 1,1,1,0 - 0,0,0,0,0 3,4,0,2,0
M-5A	unicorn I seal	1	P256 P120 P060 P062 P096 P324	10 0 10 10 20 80	10 0 20 0 10 50	1 1,0 - 2,0 5,3,1 2,0,2,1,0
M-6A	unicorn I seal	1	P065 P201 P384 P378	0 0 0 0	0 0 0 0	- 0 - 0
M-7A	unicorn I seal	1	P385 P122 P062 P175 P154 P009 P154 P324 P011 P352 P086	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	1 0 2,0 - 0 1 0 0,0,1,1,0 0 1,0 2,4,2,1
M-8A	unicorn I seal	1	P270 P011 P316	0 0 0	0 0 0	3,0 0 1,0,0,2
M-9A	unicorn I seal	1	P327 P205 P144	0 0 0	0 0 0	1,2,1,1,0,0 3,3,1,0,1 -
M-10A	unicorn I seal	1	P221 P067 P122 P364 P060 P316 P151 P114 P204 P086	20 0 0 0 0 0 0 0 0 0	30 0 0 0 0 0 0 0 0 0	0 0,1,1,1 0 2,0 - 1,0,0,2 - 1 0,1 2,3,2,0
M-12A	unicorn II seal	1	P108 P182 P386 P202 P122 P058 P276 P086 P324	0 0 0 0 0 0 0 0 20	0 0 0 0 0 0 0 0 30	0,1,0 1,1 0 1,2 0 1 - 3,1,0,0 0,0,1,1,0
M-13A	unicorn II seal	1	P035 P205 P202	0 0 0	0 0 0	1,1 3,5,1,13,0 0,3
M-14A	unicorn II seal	1	P385 P122 P210 P117 P324	0 0 0 0 10	0 0 0 0 10	0 0 6 0 1,0,0,1,0
M-15A	unicorn II seal	1	P385 P122 P194 P324 P013	0 0 0 0 10	0 0 0 0 10	1 0 4,0,0 1,0,2,1,0 -
M-16A	unicorn II seal	1	P346 P151 P026 P378	0 0 0 0	0 0 0 0	- - 5 0
M-17A	unicorn II seal	1	P232 P369 P122 P126 P086	0 0 0 0 10	0 0 0 0 10	0 2 0 0,0 3,1,0,0
M-18A	unicorn II seal	1	P142 P324 P341	0 0 0	0 0 0	- 1,0,0,1,0 1
M-19A	unicorn II seal	1	P385 P122 P000	0 50 0	0 40 0	1 0 75
M-20A	unicorn II seal	1	P275 P215 P147 P147 P385 P122 P125 P086	0 0 10 10 0 0 20 30	0 0 10 10 0 0 10 20	0,0,2 1,0 - - 1 0 2,1 3,1,0,0
M-21A	unicorn II seal	1	P385 P122 P145 P256 P272 P324 P121 P091	0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0	1 0 - 0 0 1,0,0,1,0 1 3,0,0
M-22A	unicorn II seal	1	P000 P230 P145 P050 P194 P172 P324	0 20 10 10 0 0 30	0 10 10 10 0 0 10	15 0,0,0,1 - - 4,0,0 0 1,0,2,1,0
M-23A	unicorn II seal	1	P160 P121 P060 P050 P217 P256 P120 P197 P324	50 0 0 0 0 0 0 0 10	40 0 0 0 0 0 0 0 10	- 1 - - 0 0 0,1 - 1,0,0,1,0
M-23A	unicorn II seal	2	P202 P076 P390 P350	0 0 10 0	0 0 20 0	1,3 0,1,8 1,1 0
M-24A	unicorn II seal	1	P011 P174 P122 P060 P062 P324 P013	30 0 0 0 0 0 0	70 0 0 0 0 0 0	0 - 0 - 1,0 1,0,1,1,0 -
M-25A	unicorn II seal	1	P276 P316 P050 P268 P268	0 0 0 20 10	0 0 50 10 0	- 0,0,1,2 - 2,7 2,7
M-26A	unicorn II seal	1	P256 P120 P228 P324 P013	0 0 0 0 0	0 0 0 0 0	1 0,1 1,0 1,0,2,1,0 -
M-27A	unicorn II seal	1	P123 P154 P311 P325 P364 P060 P238	80 0 0 0 0 0 0	50 0 0 0 0 0 0	0 0 0,0 1,0,0,1,0 3,0 - -
M-28A	unicorn II seal	1	P385 P122 P095 P349 P332 P324 P103 P000	0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0	1 0 5 - 2,0,3,0 1,0,0,1,0 - 10
M-29A	unicorn II seal	1	P210 P221 P050 P122 P364 P060 P062 P142 P324	20 0 0 0 0 0 0 0 10	20 0 0 0 0 0 0 0 0	3 0 - 0 3,1 - 1,0 - 0,0,1,1,0
M-30A	unicorn II seal	1	P364 P060 P062 P210 P127 P332 P324	0 0 0 0 0 0 0	0 0 0 0 0 0 0	3,1 - 1,0 4 0,0 2,1,2,1 0,0,1,1,0
M-31A	unicorn III seal	1	P378 P120 P058 P275 P067 P324	0 0 0 0 0 40	0 0 0 0 0 50	0 0,1 1 1,1,1 0,1,1,0 1,0,0,1,0
M-32A	unicorn III seal	1	P385 P122 P123 P086	0 0 0 0	0 0 0 0	0 0 2 3,1,0,0
M-33A	unicorn III seal	1	P041 P122 P058 P111 P175 P145 P324	0 0 0 0 0 0 20	0 0 0 0 0 0 10	- 0 1 1 - - 1,0,0,1,0
M-34A	unicorn III seal	1	P103 P108 P086 P122 P194 P309 P324	0 0 0 0 0 0 0	0 0 0 0 0 0 0	- 0,0,0 2,3,2,0 0 4,0,0 1,2,1,1 1,0,1,1,0
