# Source: https://github.com/mayig/indus-valley-script-corpus (MIT licence, commit ad2f1e2), a digitisation
# of Parpola et al., Corpus of Indus Seals and Inscriptions. Signs are Parpola numbers in reading order.
parpola	description	mahadevan
P000	Represents a section of significant damage or lost material	
P001	Person carrying two burdens, 	M012
P002	Person carrying two burdens, small vertical stroke between legs	M013
P003	Person carrying two burdens, triangle or diamond for a head	M011,M014
P004	Person carrying two burdens, jar handles for a head	M015
P005	Person carrying two burdens, jar handles for a head. Pitchfork off shoulder	
P006	Two people, each carrying two burdens, carrying a tall hatched triangle between them	M016
P007	Person with flag for a head	M004
P008	Person with two flags for a head	M005
P009	Person with three heads	M008
P010	Person with three heads, bracketed by right parentheses	M009
P011	Person with round breasts and one raised arm	M017
P012	Person with an extra raised arm	M007
P013	Person with two arms and two legs, 	M001
P014	Person with two arms and two legs, small vertical stroke between legs	M003
P015	Person with two arms and two legs, bracketed by tall vertical lines	M002
P016	Two simple persons standing side by side	M002
P017	Person with two arms and two legs, standing on a long horizontal stroke	M043
P018	Person with two arms and two legs, standing on a long horizontal stroke, bracketed by tall vertical strokes	
P019	Person with two arms and two legs, small leaf almost like a phallus on right thigh	M040
P020	Person with a half-height caret coming off the right foot	M041
P021	Person standing on two wagon wheels	M042
P022	Person with pitchfork head across waist	M038
P023	Person with short stick	M018
P024	Person with large animal leg	M037
P025	Person holding tree with branches	M021
P026	Person with pitchfork	M019
P027	Person with pitchfork, small vertical stroke between feet	M020
P028	Person with antenna	M023
P029	Person with two antennae	M024
P030	Person with short stick, several small vertical strokes coming away from stick	
P031	Person with staff	M025
P032	Person with staff, caged by four small vertical strokes	M026
P033	Person with two staves	
P034	Person with bow and arrow, but no bowstring	M027
P035	Person with bow and arrow	M028
P036	Person with two bows and arrows	M029
P037	Person with triangular 'pincer'	M036
P038	Person with diamond connected to the right	M030
P039	Person with large leaf, dot in leaf	M031
P040	Person with U	M032
P041	Person with U with vertical stroke inserted, stroke has a small dot at the bottom	M034
P042	Person with cat's paw	M035
