sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
1	Agr-1	Alamgirpur	POT:T:g	Y	L/R	410 17	17 410	
2	Agr-2	Alamgirpur	POT:T:g	Y	L/R	410 17	17 410	
3	Agr-3	Alamgirpur	POT:T:g	Y	L/R	405 17	17 405	
5		Allahdino	TAG	Y	R/L	740 235	235 740	Bull
6	Ad-1	Allahdino	SEAL:S	Y	R/L	740 390 590	590 390 740	Bull1
7	Ad-2	Allahdino	SEAL:S	Y	R/L	368 390 125 33	33 125 390 368	Bull1:J
8	Ad-3	Allahdino	SEAL:S	Y	R/L	740 904 33 705 235	235 705 33 904 740	Bull1:II
9	Ad-4	Allahdino	SEAL:S	Y	R/L	740 17 495 235 741 66	66 741 235 495 17 740	Bull1:II
10	Ad-5	Allahdino	SEAL:S	Y	R/L	156 460 510	510 460 156	Bull1
11	Ad-6	Allahdino	SEAL:S	Y	R/L	72 170 740 840 13	13 840 740 170 72	Rhin
16		Altyn Depe	SEAL:S	Y	L/R	390 415	415 390	
17	Ai-7	Amri	POT:T:g	Y	L/R	390 34	34 390	
18		Bakkar Buthi	POT:T:g	Y	R/L	405 844 32 840 2 861	861 2 840 32 844 405	
19	Blk-1	Bala-kot	SEAL:S	Y	R/L	226 3 2 297 350 125 413	413 125 350 297 2 3 226	Bull1
20	Blk-2	Bala-kot	SEAL:S	Y	R/L	390 717 61 2 368 634	634 368 2 61 717 390	Bull1
22	Blk-4	Bala-kot	SEAL:S	Y	R/L	527 554 298 368 634	634 368 298 554 527	Bull1:II
26		Banawali	SEAL:S	Y	R/L	520 1	1 520	Goat:1
27	B-1	Banawali	SEAL:S	Y	R/L	90 740 220 2 368 550 821	821 550 368 2 220 740 90	Bull1:O
28	B-3	Banawali	SEAL:S	Y	R/L	220 14	14 220	Bull1
29	B-4	Banawali	SEAL:S	Y	R/L	740 797	797 740	Bull3
30	B-5	Banawali	SEAL:S	Y	R/L	2 817	817 2	Bull3
31	B-7	Banawali	SEAL:S	Y	R/L	2 817	817 2	Buff
32	B-8	Banawali	SEAL:S	Y	R/L	740 61	61 740	Goat:4
33	B-9	Banawali	SEAL:S	Y	R/L	390 4	4 390	Goat:3
36	B-15	Banawali	SEAL:S	Y	R/L	2 817	817 2	Rhin
37	B-17	Banawali	SEAL:S	Y	R/L	236 2 308 90	90 308 2 236	Htgr
39	B-19	Banawali	SEAL:S	Y	R/L	740 803	803 740	
40	B-21	Banawali	SEAL:R	Y	R/L	426 3 60 692	692 60 3 426	
50		Bhirrana	SEAL:S	Y	L/R	390 3 3	3 3 390	Buff
52		Bhirrana	SEAL:S	Y	R/L	236 2 820	820 2 236	Bull1
54	Ch-2	Chandigarh	POT:T:g	Y	R/L	740 50 705	705 50 740	
57	C-87	Chanhujo-daro	TAG:P	Y	R/L	740 405	405 740	
58	C-72	Chanhujo-daro	SEAL:S	Y	L/R	740 386	386 740	Bull3
60	C-80	Chanhujo-daro	SEAL:S	Y	R/L	892 700	700 892	Bull1:W
61	C-66	Chanhujo-daro	SEAL:S	Y	R/L	390 3 2 817	817 2 3 390	Bull1:W
64	C-54	Chanhujo-daro	SEAL:S	Y	R/L	842 32 31 592 31 60 920	920 60 31 592 31 32 842	Bull1:W
65	C-59	Chanhujo-daro	SEAL:S	Y	R/L	740 482 235	235 482 740	Bull1:V
66	C-69	Chanhujo-daro	SEAL:S	Y	R/L	390 844 60 575 717	717 575 60 844 390	Bull1:J
67	C-75	Chanhujo-daro	SEAL:S	Y	R/L	740 531 60 692	692 60 531 740	Elep
68	C-55	Chanhujo-daro	SEAL:S	Y	R/L	740 67 741 647 892	892 647 741 67 740	Bull1
69	C-60	Chanhujo-daro	SEAL:S	Y	R/L	740 176 32 2 861	861 2 32 176 740	Bull1:W
70	C-70	Chanhujo-daro	SEAL:S	Y	R/L	32 31 0 151 740 240 235	235 240 740 151 0 31 32	Bull1:II
71	C-53	Chanhujo-daro	SEAL:S	Y	R/L	32 31 0 740 222 235 2 861	861 2 235 222 740 0 31 32	Bull1
72	C-76	Chanhujo-daro	SEAL:S	Y	R/L	32 31 0 850 32 530 740 741 456	456 741 740 530 32 850 0 31 32	Gaur
73	C-68	Chanhujo-daro	SEAL:S	Y	R/L	32 31 0 740 791 713	713 791 740 0 31 32	Bull1
74	C-58	Chanhujo-daro	SEAL:S	Y	R/L	32 31 0 740 222 235 2 861	861 2 235 222 740 0 31 32	Bull1
75	C-79	Chanhujo-daro	SEAL:S	Y	L/R	32 0 226 32 817	817 32 226 0 32	
76	C-74	Chanhujo-daro	SEAL:S	Y	R/L	125 2 861	861 2 125	Gaur
77	C-51	Chanhujo-daro	SEAL:S	Y	R/L	151 740 100 240	240 100 740 151	Bull1:W
79	C-56	Chanhujo-daro	SEAL:S	Y	R/L	1 368 767	767 368 1	Bull1:I
80	C-61	Chanhujo-daro	SEAL:S	Y	R/L	526 388	388 526	Bull1
81	C-78	Chanhujo-daro	SEAL:S	Y	R/L	740 636 240 0 2 817	817 2 0 240 636 740	
85	C-63	Chanhujo-daro	SEAL:S	Y	R/L	161 55	55 161	Bull1:S
87	C-67	Chanhujo-daro	SEAL:S	Y	R/L	520 233 803 2 817	817 2 803 233 520	Bull1:S
88	C-77	Chanhujo-daro	SEAL:S	Y	R/L	151 690 0 32 31	31 32 0 690 151	T-A-T
89	C-1	Chanhujo-daro	SEAL:S	Y	R/L	31 840 140 740 101 2 365 287 34	34 287 365 2 101 740 140 840 31	Bull1
90	C-2	Chanhujo-daro	SEAL:S	Y	R/L	740 390 590	590 390 740	Bull1:L
91	C-3	Chanhujo-daro	SEAL:S	Y	R/L	740 16 2 920 317	317 920 2 16 740	Bull1:W
92	C-4	Chanhujo-daro	SEAL:S	Y	R/L	520 235 803 2 817	817 2 803 235 520	Bull1:L
93	C-5	Chanhujo-daro	SEAL:S	Y	R/L	740 140 717 2 298 741	741 298 2 717 140 740	Bull1:I
94	C-6	Chanhujo-daro	SEAL:S	Y	R/L	817 521 521 0 90 740 221 2 31 500	500 31 2 221 740 90 0 521 521 817	Bull1:J
96	C-8	Chanhujo-daro	SEAL:S	Y	R/L	740 803 233 741 250 579	579 250 741 233 803 740	Bull1:J
97	C-9	Chanhujo-daro	SEAL:S	Y	R/L	151 233 803 33 705 240	240 705 33 803 233 151	Bull1:J
98	C-10	Chanhujo-daro	SEAL:S	Y	R/L	740 231 220 32 2 817	817 2 32 220 231 740	Bull1:W
99	C-11	Chanhujo-daro	SEAL:S	Y	R/L	590 615 140 0 232 240 1 60 920	920 60 1 240 232 0 140 615 590	Bull1:I
100	C-12	Chanhujo-daro	SEAL:S	Y	R/L	161 390 590 31 740 60 920	920 60 740 31 590 390 161	Bull1:L
103	C-15	Chanhujo-daro	SEAL:S	Y	R/L	740 400 920 31	31 920 400 740	Bull1:W
104	C-16	Chanhujo-daro	SEAL:S	Y	R/L	429 3 741 60 920	920 60 741 3 429	Bull1:L
105	C-17	Chanhujo-daro	SEAL:S	Y	R/L	740 100	100 740	Bull1:I
107	C-20	Chanhujo-daro	SEAL:S	Y	R/L	151 790 31 790 495	495 790 31 790 151	Bull1:I
108	C-21	Chanhujo-daro	SEAL:S	Y	R/L	156 230	230 156	Bull1:II
111	C-24	Chanhujo-daro	SEAL:S	Y	R/L	390 128 702 2 0 226 32 2 1 480 850	850 480 1 2 32 226 0 2 702 128 390	Tigr
113	C-30	Chanhujo-daro	SEAL:S	Y	R/L	822 140 15	15 140 822	
114	C-32	Chanhujo-daro	SEAL:C	Y	R/L	375 400 390 632	632 390 400 375	Bull1:W
123	Dlp-1	Desalpur	SEAL:R	Y	R/L	740 920 320 233 240 1 2 817	817 2 1 240 233 320 920 740	
127		Dholavira	SEAL:S	Y	R/L	151 892 32	32 892 151	Bull1:W
128		Dholavira	SEAL:S	Y	R/L	156 19	19 156	Bull1:S
129		Dholavira	SEAL:S	Y	R/L	93 808	808 93	Bull1:J
130		Dholavira	SEAL:S	Y	R/L	244 165 0 740 879 220 416 803 2 856	856 2 803 416 220 879 740 0 165 244	Bull1:W
131		Dholavira	SEAL:S	Y	R/L	520 460 495	495 460 520	Bull1:S
132		Dholavira	SEAL:S	Y	R/L	740 416 2 861	861 2 416 740	Tigr
133		Dholavira	SEAL:S	Y	R/L	520 460	460 520	
134		Dholavira	SEAL:R	Y	R/L	154 388 717 705	705 717 388 154	
135		Dholavira	SEAL:R	Y	R/L	590 407 790 32	32 790 407 590	
136		Dholavira	SEAL:R	Y	R/L	390 16 2 861	861 2 16 390	
137		Dholavira	SEAL:R	Y	L/R	617 142	142 617	
138		Dholavira	SEAL:R	Y	R/L	520 33 706 233	233 706 33 520	
139		Dholavira	SEAL:R	Y	R/L	740 100 407 590	590 407 100 740	
144		Dholavira	MISC	Y	R/L	798 821 1 480 850 820 388 611 820	820 611 388 820 850 480 1 821 798	
145	Dlv-1	Dholavira	SEAL:S	Y	R/L	151 382 31 2 861	861 2 31 382 151	Bull1:J
149		Farmana	SEAL:S	Y	L/R	240 220	220 240	Bull1
150		Farmana	TAG	Y	R/L	740 760 445	445 760 740	Bull1
151		Farmana	SEAL:S	Y	R/L	220 32	32 220	Buff
153		Farmana	SEAL:S	Y	R/L	390 371	371 390	Bull1:J
157	Grb-1	Gharo Bhiro	SEAL:R	Y	R/L	740 923 838	838 923 740	
158		SI20	SEAL:S	Y	R/L	236 140 893 861	861 893 140 236	Bull1:I
160		Hajar	TAB:I	Y	R/L	617 117	117 617	Gaur
162	H-1189	Harappa	TAB:I	Y	R/L	33 0 0	0 0 33	
170	H-1397	Harappa	MISC	Y	R/L	527 740 914	914 740 527	
173	H-1086	Harappa	POT:T:s	Y	R/L	220 16	16 220	
176	H-1085	Harappa	POT:T:s	Y	R/L	235 33	33 235	
181	H-1422	Harappa	POT:T:g	Y	R/L	740 142	142 740	
198	H-1138	Harappa	TAB:B	Y	R/L	740 603 240 60 692	692 60 240 603 740	
199	H-423	Harappa	SEAL:S	Y	R/L	520 220 240 798 60 692	692 60 798 240 220 520	Bull1
205	H-661	Harappa	SEAL:R	Y	R/L	740 55 806	806 55 740	
212		Harappa	TAB:B	Y	R/L	0 0 0 0	0 0 0 0	
217	H-294	Harappa	TAB:I	Y	R/L	90 740 240 220	220 240 740 90	S590
