sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
M77-1001		Mohenjo-daro	M77	Y	M77	240 233 100 740 0 930	240 233 100 740 0 930	
M77-1002		Mohenjo-daro	M77	Y	M77	790 632	790 632	
M77-1003		Mohenjo-daro	M77	Y	M77	31 194 861 2 55 233 705 33 520	31 194 861 2 55 233 705 33 520	
M77-1016		Mohenjo-daro	M77	Y	M77	615 615 745 235 ? 405 0 930	615 615 745 235 ? 405 0 930	
M77-1017		Mohenjo-daro	M77	Y	M77	556 440 745 798 415 220 371	556 440 745 798 415 220 371	
M77-1018		Mohenjo-daro	M77	Y	M77	705 0 140 705 420 595	705 0 140 705 420 595	
M77-1020		Mohenjo-daro	M77	Y	M77	350 460 741 705 585 176 740	350 460 741 705 585 176 740	
M77-1023		Mohenjo-daro	M77	Y	M77	861 2 798 32 220 176 904 740	861 2 798 32 220 176 904 740	
M77-1026		Mohenjo-daro	M77	Y	M77	32 575 32 2 705 760 740	32 575 32 2 705 760 740	
M77-1027		Mohenjo-daro	M77	Y	M77	550 60 255 435 740 176 740	550 60 255 435 740 176 740	
M77-1031		Mohenjo-daro	M77	Y	M77	603 861 2 4 405	603 861 2 4 405	
M77-1032		Mohenjo-daro	M77	Y	M77	861 2 ? ? 415 220 520	861 2 ? ? 415 220 520	
M77-1034		Mohenjo-daro	M77	Y	M77	632 740	632 740	
M77-1038		Mohenjo-daro	M77	Y	M77	632 140 705	632 140 705	
M77-1039		Mohenjo-daro	M77	Y	M77	861 2 ? 70 3	861 2 ? 70 3	
M77-1043		Mohenjo-daro	M77	Y	M77	? 924 151	? 924 151	
M77-1047		Mohenjo-daro	M77	Y	M77	190 ? 350 298 2 32 220 240 550	190 ? 350 298 2 32 220 240 550	
M77-1051		Mohenjo-daro	M77	Y	M77	5 467 527 2 ?	5 467 527 2 ?	
M77-1052		Mohenjo-daro	M77	Y	M77	350 ? 374 2 235 590 390 0 740	350 ? 374 2 235 590 390 0 740	
M77-1054		Mohenjo-daro	M77	Y	M77	510 460 33 33 861 2 5 405	510 460 33 33 861 2 5 405	
M77-1056		Mohenjo-daro	M77	Y	M77	590 705 243 615 615	590 705 243 615 615	
M77-1059		Mohenjo-daro	M77	Y	M77	877 2 101	877 2 101	
M77-1060		Mohenjo-daro	M77	Y	M77	190 125 390 ? 235 760 740	190 125 390 ? 235 760 740	
M77-1061		Mohenjo-daro	M77	Y	M77	820 ? 705 390	820 ? 705 390	
M77-1069		Mohenjo-daro	M77	Y	M77	125 298 368	125 298 368	
M77-1073		Mohenjo-daro	M77	Y	M77	4	4	
M77-1082		Mohenjo-daro	M77	Y	M77	861 2 32 220 923 740 32	861 2 32 220 923 740 32	
M77-1084		Mohenjo-daro	M77	Y	M77	90 90 831 585	90 90 831 585	
M77-1085		Mohenjo-daro	M77	Y	M77	861 2	861 2	
M77-1090		Mohenjo-daro	M77	Y	M77	575 705 740 495 226	575 705 740 495 226	
M77-1093		Mohenjo-daro	M77	Y	M77	240 0 740 952 740 0 760 740	240 0 740 952 740 0 760 740	
M77-1099		Mohenjo-daro	M77	Y	M77	345 840 741 585 100 740 0 ?	345 840 741 585 100 740 0 ?	
M77-1101		Mohenjo-daro	M77	Y	M77	140 255 615 615 0 315 690	140 255 615 615 0 315 690	
M77-1102		Mohenjo-daro	M77	Y	M77	? 692	? 692	
M77-1111		Mohenjo-daro	M77	Y	M77	803 140 850 679	803 140 850 679	
M77-1112		Mohenjo-daro	M77	Y	M77	220 740 90 0 705 ?	220 740 90 0 705 ?	
M77-1113		Mohenjo-daro	M77	Y	M77	? 60 61 17 575 740	? 60 61 17 575 740	
M77-1119		Mohenjo-daro	M77	Y	M77	176 740 235 740 565	176 740 235 740 565	
M77-1132		Mohenjo-daro	M77	Y	M77	595 803 156	595 803 156	
M77-1138		Mohenjo-daro	M77	Y	M77	269 400	269 400	
M77-1139		Mohenjo-daro	M77	Y	M77	575 374 2 350 460 798 741 0 632 740 ?	575 374 2 350 460 798 741 0 632 740 ?	
M77-1141		Mohenjo-daro	M77	Y	M77	31	31	
M77-1144		Mohenjo-daro	M77	Y	M77	1 264 861	1 264 861	
M77-1154		Mohenjo-daro	M77	Y	M77	220 798 740	220 798 740	
M77-1162		Mohenjo-daro	M77	Y	M77	861 2 ? 760 740	861 2 ? 760 740	
M77-1165		Mohenjo-daro	M77	Y	M77	700 111 2 233	700 111 2 233	
M77-1166		Mohenjo-daro	M77	Y	M77	803	803	
M77-1167		Mohenjo-daro	M77	Y	M77	350 0 705 740	350 0 705 740	
M77-1169		Mohenjo-daro	M77	Y	M77	?	?	
M77-1177		Mohenjo-daro	M77	Y	M77	415 226	415 226	
M77-1182		Mohenjo-daro	M77	Y	M77	207 500 741 ?	207 500 741 ?	
M77-1185		Mohenjo-daro	M77	Y	M77	31 467 900 368	31 467 900 368	
M77-1191		Mohenjo-daro	M77	Y	M77	545 140 920 315 33	545 140 920 315 33	
M77-1194		Mohenjo-daro	M77	Y	M77	255 ? 244	255 ? 244	
M77-1195		Mohenjo-daro	M77	Y	M77	176 740 435	176 740 435	
M77-1196		Mohenjo-daro	M77	Y	M77	520	520	
M77-1203		unknown	M77	Y	M77	861 368 1 645 287	861 368 1 645 287	
M77-1204		unknown	M77	Y	M77	806 806 400	806 806 400	
M77-1205		unknown	M77	Y	M77	32 840 32 156	32 840 32 156	
M77-1207		unknown	M77	Y	M77	260 4 405	260 4 405	
M77-1219		unknown	M77	Y	M77	575 413 269	575 413 269	
M77-1227		unknown	M77	Y	M77	853 16 390 400 400 0 840 32 740 90 400	853 16 390 400 400 0 840 32 740 90 400	
M77-1231		unknown	M77	Y	M77	? 740	? 740	
M77-1239		unknown	M77	Y	M77	861 2	861 2	
M77-1240		unknown	M77	Y	M77	632 705	632 705	
M77-1242		unknown	M77	Y	M77	? 615 65 220	? 615 65 220	
M77-1245		unknown	M77	Y	M77	556 861 740	556 861 740	
M77-1247		unknown	M77	Y	M77	32 705 742 350 460 0 798 740	32 705 742 350 460 0 798 740	
M77-1252		unknown	M77	Y	M77	215 740 0 215 740	215 740 0 215 740	
M77-1255		unknown	M77	Y	M77	820	820	
M77-1260		unknown	M77	Y	M77	?	?	
