glyph	codepoints
0	
1	E2C9
2	E2D7
3	E2DE
4	E2E3
5	E2EC
6	E2EF
7	E2F2
13	E305
14	E2EA
15	E2EE
16	E2F0
17	E2F3
18	E2F6
19	E2F8
26	E310
27	E311
28	E30D
29	E30A
31	E31A
32	E31C
33	E321
34	E31C E31C
35	E329
36	E321 E321
37	E329 E31C
39	E321 E321 E321
41	E31A E31B E31A
42	E33E
44	E328
45	E325
46	E327
47	E34E E321 E339
48	E2FF
49	E2FD
50	E2FE
51	E301
55	E315
56	E315 E315
57	E319
58	E31A E429 E31A
59	E313
60	E2CB
61	E440
62	E440
63	E440
64	E200
65	E41A
66	E3EA
67	E450
69	E2B5 E2B5
70	E2B5
71	E2B3
72	E2AE
73	E2B6
75	E2B2
80	E4D8
81	E4DA
82	E4DD
83	E4E0
84	E4E0
85	E34E E4D8 E34E
90	E06C
91	E073
92	E264
93	E06F
94	E041
95	E085
96	E062
97	E071
98	E063
99	E06A
100	E046
101	E339 E046 E339
102	E34E E046 E34E
103	E36A E046 E36A
104	E080
105	E062
107	E062
110	E5AB E06D
111	E0AD
112	E0B3
113	E0B4
115	E699 E0AD
116	E0B1
117	E0B7
118	E083
119	E0B6
121	E088
122	E0AC
123	E010 E3B3 E010
125	E0A1
126	E38E E06D
127	E0AA
128	E0A8
129	E0AB
130	E08E
131	E092
132	E089
133	E093
134	E094
135	E094
136	E03A
137	E078
138	E07F
139	E07C
140	E055
141	E34E E055 E339
142	E099
143	E09E
144	E09D
145	E095
146	E0A0
147	E09F
148	E053
150	E013
151	E008
152	E028
153	E028
154	E020
155	E026
156	E023
157	E020
158	E037
159	E016
160	E018
161	E018
165	E66B
166	E676
167	E678
168	E67B
169	E680
170	E681
171	E67E
172	E67D
173	E697 E31A E697
175	E190
176	E19B
177	E1B1
178	E1AD
179	E1B1
180	E1A6
190	E1D1
191	E1D1 E1D1
192	E1CB
193	E1BA
194	E1CC
195	E1C8
200	E69C
201	E389
202	E70C
203	E69D
204	E384
205	E1D6
206	E1D7
207	E1D7
208	E1D5
209	E1D3
215	E69E
216	E6A2
217	E6A1
219	E10A E10A
220	E10A
221	E34E E10A
222	E10E
223	E31A E10E E31A
224	E10F
225	E31C E10A E31C
226	E11C
227	E12D
228	E137
229	E133
230	E12B
231	E115
232	E116
233	E118
234	E11C
235	E122
236	E126
237	E134
240	E12F
241	E134
242	E133
243	E102
244	E138
250	E356
251	E359
252	E35D
253	E354
255	E165
256	E189
257	E0E2
260	E159
261	E159 E159
262	E150
263	E15E
264	E140
265	E149
266	E140
267	E149
268	E140
269	E149
270	E144
271	E147
272	E152
275	E0F6
276	E0F6
277	E0F8
278	E0F6
279	E0F2
280	E0F3
281	E0FB
285	E209
286	E20B
287	E20D
290	E461
291	E461
292	E461
293	E461
294	E461
295	E461
296	E461
297	E461
298	E461
299	E461
300	E461
301	E461
302	E461
303	E461
304	E461
305	E461
306	E461
307	E451
308	E451
309	E46C
310	E456
311	E45A
315	E58E
317	E598
318	E0CC
319	E0DC
320	E0D5
321	E0D7
322	E0CF
323	E0CD
324	E0D2
325	E0CE
326	E0D8
