# Grambank (Skirgard et al. 2023), CLDF release grambank/grambank, CC-BY 4.0; features GB024 GB065 GB193 GB051 GB052 GB053 GB054 GB192 GB321 GB430 GB431; indo_aryan = Glottolog lineage contains Indo-Aryan
id	name	family	indo_aryan	macroarea	GB024	GB065	GB193	GB051	GB052	GB053	GB054	GB192	GB321	GB430	GB431
abad1241	Abadi	Austronesian	0	Papunesia	2	1	2	0	0	0	0	0	0	0	0
abar1238	Mungbam	Atlantic-Congo	0	Africa	2	2	2	0	1	1	0	0	1	?	?
abau1245	Abau	Sepik	0	Papunesia	2	1		1	1	0	0				
abee1242	Abé	Atlantic-Congo	0	Africa	2	1	2	0	0	0	0	0	0	0	0
aben1249	Abenlen Ayta	Austronesian	0	Papunesia	1	?	?	0	0	0	0	0	0	?	?
abip1241	Abipon	Guaicuruan	0	South America	?	2	3	1	0	0	0	?	?	0	1
abkh1244	Abkhaz	Abkhaz-Adyge	0	Eurasia	3	1	3	1	0	1	0	0	0	0	1
abua1245	Abu' Arapesh	Nuclear Torricelli	0	Papunesia	2	1	2	1	1	0	0	1	0	0	0
abui1241	Abui	Timor-Alor-Pantar	0	Papunesia	2	1		0	0	0	0				
abun1252	Abun	Abun	0	Papunesia	2	1	2	0	0	0	0	0	0	0	0
acha1249	Longchuan Achang	Sino-Tibetan	0	Eurasia	3	1	2	0	0	0	0	0	0	0	0
acha1250	Achagua	Arawakan	0	South America	1	1	2	1	0	1	0			0	0
ache1245	Acheron	Narrow Talodi	0	Africa	2	2	2	0	1	0	1	0	1	0	0
ache1246	Aché	Tupian	0	South America	?	1	2	1	?	?	?	?	0	0	0
achi1256	Achi	Mayan	0	North America	1	2	3	0	0	0	0	0	0	0	1
achi1257	Acehnese	Austronesian	0	Papunesia	1	2	2	0	0	0	0	0	0	0	0
achu1247	Achumawi	Palaihnihan	0	North America	?	1	1	0	0	0	0	0	0	0	0
achu1248	Achuar-Shiwiar	Chicham	0	South America	3	1	3	0	0	0	0	0	0	0	0
acol1236	Acoli	Nilotic	0	Africa	2	2	2	0	0	0	0	0	0	0	0
adan1251	Adang	Timor-Alor-Pantar	0	Papunesia	2	1	2	0	0	0	0	0	0	0	1
adny1235	Adnyamathanha	Pama-Nyungan	0	Australia	?	?	1	0	0	0	0	0	0	0	1
adon1237	Adonara	Austronesian	0	Papunesia	2	1	2	0	0	0	0	0	0	0	0
adze1240	Adzera	Austronesian	0	Papunesia	2	1	2	?	?	?	?	?	?	0	0
aeky1238	Aekyom	Kamula-Elevala	0	Papunesia	?	1	2	0	0	0	0	0	0	?	?
afad1236	Afade	Afro-Asiatic	0	Africa	2	3	1	1	0	0	?	0	?	0	0
afar1241	Afar	Afro-Asiatic	0	Africa	1	3	1	0	0	0	0	1	0	0	0
aghe1239	Aghem	Atlantic-Congo	0	Africa	2	3	2	0	0	1	1	1	1	0	0
aghu1254	Aghu Tharnggalu	Pama-Nyungan	0	Australia	2	2	2		0					0	0
aghu1255	Aghu	Nuclear Trans New Guinea	0	Papunesia	2	1	2	0	0	0	0	0	0	0	1
aghw1237	Aghwan	Nakh-Daghestanian	0	Eurasia	1	3	1	1	0	0	0	0	0		
agob1244	Agob-Ende-Kawam	Pahoturi	0	Papunesia	3	1	3	0	0	0	0	0	0	0	0
agua1253	Aguaruna	Chicham	0	South America	3	1	2	0	0		0	0	0	0	0
agus1235	Agusan Manobo	Austronesian	0	Papunesia	?	2	3	0	0	0	0	0	0	0	0
agut1237	Agutaynen	Austronesian	0	Papunesia	1	3	3	0	0	0	0	0	0	0	0
aheu1239	Thavung	Austroasiatic	0	Eurasia	2	2	2	0	0	0	0	0	0	0	0
ahin1234	Ahin-Kayapa Kalanguya	Austronesian	0	Papunesia	?	2	?	?	?	?	?	?	?	0	0
ahom1240	Ahom	Tai-Kadai	0	Eurasia	2	2	3	0	0	0	0	0	0	0	0
aika1237	Aikanã	Aikanã	0	South America	1	3	3	0	0	0	0	0	0		
aime1238	Aimele	Bosavi	0	Papunesia	2	1	2	0	0	0	0	0	0	0	0
ainu1240	Hokkaido Ainu	Ainu	0	Eurasia	1	1	1	0	0	0	0	0	0	0	1
aito1238	Aiton	Tai-Kadai	0	Eurasia	3	2		0	0	0	0				
ajab1235	Aja (Benin)	Atlantic-Congo	0	Africa	2	3	2	0	0	0	0	0	0	0	0
ajas1235	Aja (South Sudan)	Kresh-Aja	0	Africa	1	2	1	0	0	0	0	0	0		
ajie1238	Ajië	Austronesian	0	Papunesia	1	2	2	0	0	0	0	0	0	0	0
ajyi1238	Ajyíninka Apurucayali	Arawakan	0	South America	1	2	1		1					0	0
akab1249	Akabea	Great Andamanese	0	Eurasia	2	1	2	0	0	0	0	0	0	0	1
akaj1239	Akajeru	Great Andamanese	0	Eurasia	2	1		0	0	1	0				
akan1250	Akan	Atlantic-Congo	0	Africa				0	0	1	0	0			
akei1237	Akei	Austronesian	0	Papunesia	2	1	2	0	0	0	0	0	0	0	0
akha1245	Akha	Sino-Tibetan	0	Eurasia	2	1	2	0	0	0	0	0	0	0	0
akka1240	Akkadian	Afro-Asiatic	0	Eurasia	1	2	2	1	0	0	0	1	1	0	0
akla1241	Kailibo Aklanon	Austronesian	0	Papunesia	1	2	1	0	0	0	0	0	0	1	0
akoo1248	Akoose	Atlantic-Congo	0	Africa	2	3	3	0	?	1	?	0	?	0	0
akun1241	Akuntsu	Tupian	0	South America	1	1	2	0	0	0	0	0	0	0	0
alab1237	Alabama	Muskogean	0	North America	2	1	2	0	0	0	0	0	0	0	1
alab1254	Alaba-K'abeena	Afro-Asiatic	0	Africa	1	1	1	1	0	0	0	1	0	0	0
alac1244	Alacatlatzala Mixtec	Otomanguean	0	North America	1	2	2	1	1	1	0	0	?	0	0
alag1248	Alagwa	Afro-Asiatic	0	Africa	2	2	2	1	0	0	0	0	?	0	0
alam1246	Alamblak	Sepik	0	Papunesia	1	1		1	1	0	0				
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	0	Papunesia	1	1	1	0	0	0	0	0	0	0	0
aleu1260	Aleut	Eskimo-Aleut	0	North America	1	1	2	0	0	0	0	0	0	0	0
alor1247	Alorese	Austronesian	0	Papunesia	2	1	2	0	0	0	0	0	0	0	0
alse1251	Alsea-Yaquina	Alsea-Yaquina	0	North America	1	1	1	0	0	0	0	0	0	0	0
aluk1238	Alu Kurumba	Dravidian	0	Eurasia	1	1	1	1	0	0	0	0	0	0	0
alya1239	Alyawarr	Pama-Nyungan	0	Australia	2	2	2		0		0	0		0	0
amah1246	Amahuaca	Pano-Tacanan	0	South America	2	1	2	0	0	0	0	0	0	0	1
amam1246	Amam	Goilalan	0	Papunesia	2	1	2	0	0	1	1	0	0	0	0
amap1240	Ama (Papua New Guinea)	Left May	0	Papunesia	2	1	3	1	0	1	0	0	0	0	0
amar1272	Amara	Austronesian	0	Papunesia	2	1	2	0	0	0	0	0	0	0	0
amar1274	Amarakaeri	Harakmbut	0	South America	1	1	1	0	0	0	0	0	0	0	0
amas1236	Ama (Sudan)	Nyimang	0	Africa	2	1	2	0	0	0	0	0	0	0	0
ambo1250	Ambonese Malay	Austronesian	0	Papunesia	2	1	2	0	0	0	0	0	0	0	0
ambu1247	Ambulas	Ndu	0	Papunesia	2	1		1	0	0	0				
amdo1237	Amdo Tibetan	Sino-Tibetan	0	Eurasia	2	1	3	0	0	0	0	0	0	0	0
amha1245	Amharic	Afro-Asiatic	0	Africa	1	1		1	0	0	0	0			
amii1238	Ami	Western Daly	0	Australia	2	3	2	1	0	0	0	0	0	0	1
amis1246	Amis	Austronesian	0	Papunesia	1	2	1	0	0	0	0	0	0	0	0
amri1238	Amri Karbi	Sino-Tibetan	0	Eurasia	2	1	2	0	0	0	0	0	0	0	1
anci1242	Ancient Greek	Indo-European	0	Eurasia	3	3	3	1	0	1	0	0	1	0	0
anci1244	Ancient Hebrew	Afro-Asiatic	0	Eurasia	3	2	2	1	0	0	0	?	0	0	0
ando1256	Andoque	Andoque	0	South America		2			1					0	1
anei1239	Aneityum	Austronesian	0	Papunesia	2	2	2	0	0	1	0	0	0	1	0
anem1249	Anem	Anem	0	Papunesia	2	2		1	0	0	0				
anfi1235	Anfillo	Ta-Ne-Omotic	0	Africa	2	1	1	0	0	0	0	0	0	0	0
anga1288	Angami Naga	Sino-Tibetan	0	Eurasia	2	1	3	0	0	0	0	0	0	0	1
anga1290	Angaataha	Angan	0	Papunesia	2	1	2	?	?	?	?	?	?	0	0
ango1257	Angosturas Tunebo	Chibchan	0	South America	2	1	2	0	0	0	0	0	0	0	0
anin1240	Anindilyakwa	Gunwinyguan	0	Australia	3	3		1	0	1	0				
anta1255	Antankarana Malagasy	Austronesian	0	Africa	2	2	1	?	?	?	?	?	?	0	0
anua1242	Anuak	Nilotic	0	Africa	2	2	2	0	0	0	0	0			
anuf1239	Anufo	Atlantic-Congo	0	Africa	2	1	2	0	0	0	0	0	0	0	0
anut1237	Anuta	Austronesian	0	Papunesia	2	3	2	0	0	0	0	0	0	0	0
anuu1241	Anu-Hkongso	Sino-Tibetan	0	Eurasia	2	1	2	0	0	0	0	0	0	0	0
aona1235	Ao Naga	Sino-Tibetan	0	Eurasia	2	1	?	0	0	0	0	0	0	0	1
aoua1234	A'ou	Tai-Kadai	0	Eurasia	1	3	3	0	0	0	0	0	0	0	0
apat1240	Apatani	Sino-Tibetan	0	Eurasia	2	1	2	0	0	0	0	0	0	0	0
apin1244	Apinayé	Nuclear-Macro-Je	0	South America	?	1	2	0	0	0	0	0	0	0	1
apma1240	Apma	Austronesian	0	Papunesia	2	2	1	0	0	0	0	0	0	0	0
apma1241	Ap Ma	Keram	0	Papunesia	2	2	2	0	0	0	0	0	0	?	?
apol1242	Apolista	Arawakan	0	South America	?	?		?	?	?	?				
apur1254	Apurinã	Arawakan	0	South America	1	1	?	1	1	0	1	0	0	0	1
arab1267	Arabana	Pama-Nyungan	0	Australia	1	1	2		0		0	0		0	0
arak1252	Araki	Austronesian	0	Papunesia	2	2	2	0	0	0	0	0	0	1	0
aram1253	Arammba	Yam	0	Papunesia	3	1		?	?	?	?				
arao1248	Araona	Pano-Tacanan	0	South America	2	1	2	0	0	0	0	0	0	0	0
arap1274	Arapaho	Algic	0	North America	1	1	1	0	0	1	0	0	0	0	1
araw1273	Araweté	Tupian	0	South America	?	1	2	0	0	0	0	0	0	0	1
araw1276	Lokono	Arawakan	0	South America	1	1	1	1	0	1	0	0	0		
arbo1245	Arbore	Afro-Asiatic	0	Africa	2	2	2	1	0	0	0	0	0	0	0
arch1244	Archi	Nakh-Daghestanian	0	Eurasia	1	1	1	1	0	1	0	0	0		
area1240	'Are'are	Austronesian	0	Papunesia	1	3	2	0	0	0	0	0	0	0	0
aree1239	Are	Austronesian	0	Papunesia	2	1	2	0	0	0	0	0	0	0	0
argo1244	Argobba	Afro-Asiatic	0	Africa	1	1	1	1	0	1	0	0	0	1	0
arhu1242	Arhuaco	Chibchan	0	South America	3	3	2	0	0	0	0	0	0		
arib1241	Aribwatsa	Austronesian	0	Papunesia	?	3	?	0	0	0	0	0	0	0	0
arig1246	Arigidi	Atlantic-Congo	0	Africa	1	2	1	0	0	0	0	0	0	?	?
arik1265	Arikapú	Nuclear-Macro-Je	0	South America	?	1	?	0	0	0	0	0	0	0	1
arom1237	Aromanian	Indo-European	0	Eurasia	1	2	3	1	0	0	0	1	0	0	0
arop1242	Arop-Sissano	Austronesian	0	Papunesia	2	3	2	0	0	0	0	0	0	0	0
arop1243	Arop-Lokep	Austronesian	0	Papunesia	2	3	2	0	0	0	0	0	0	1	0
aros1241	Arosi	Austronesian	0	Papunesia	1	3	2	0	0	0	0	0	0	0	0
arta1239	Arta	Austronesian	0	Papunesia	1	2	3	0	0	1	0	0	0	0	0
asha1243	Asháninka	Arawakan	0	South America	1	1		1	?	1	?				
ashe1272	Ashéninka Perené	Arawakan	0	South America	1	2	3	1	0	1	0	0	0	0	1
asoa1238	Asoa	Central Sudanic	0	Africa	2	2	2	0	0	0	0	0	0		
assi1247	Assiniboine	Siouan	0	North America	2	1	2	0	0	1	0	0	0	0	1
asur1254	Asuri	Austroasiatic	0	Eurasia	1	1	1	0	0	0	0	0	0	0	0
asut1235	Asu (Tanzania)	Atlantic-Congo	0	Africa	2	2	2	?	?	?	?	?	?	0	0
atak1252	Atakapa	Atakapa	0	North America	2	1	2	0	0	0	0	0	0	0	0
atam1239	Atampaya	Pama-Nyungan	0	Australia	?	3		?	?	?	?				
atam1240	Ata Manobo	Austronesian	0	Papunesia	2	2	1	0	0	0	0	0	0	0	0
atay1247	Atayal	Austronesian	0	Papunesia	1	2	3	0	0	0	0	?	?	0	0
athp1241	Athpariya	Sino-Tibetan	0	Eurasia	1	1	1	0	0	0	0	0	0	0	1
atii1237	Ati	Austronesian	0	Papunesia	1	3	?	0	0	0	0	0	0	0	0
aton1241	Atong (India)	Sino-Tibetan	0	Eurasia	3	1	2	0	0	0	0	0	0	0	0
aulu1238	Aulua	Austronesian	0	Papunesia	2	2	2	0	0	0	0	0	0	0	0
auuu1241	Au	Nuclear Torricelli	0	Papunesia	2	2	2	1	0	1	0	0	?	0	0
auye1238	Auye	Nuclear Trans New Guinea	0	Papunesia	2	1	3	0	1	0	1	0	0	0	0
avac1239	Avá-Canoeiro	Tupian	0	South America	1	1	2	0	0	0	0	0	0	0	1
avat1244	Avatime	Atlantic-Congo	0	Africa	2	1	2	0	0	1	0	0			
avok1242	Avokaya	Central Sudanic	0	Africa	2	3	2	0	0	0	0	0	0	0	0
awab1243	Awabakal	Pama-Nyungan	0	Australia	2	1	3		0	0	0	0		0	0
awac1239	Awa-Cuaiquer	Barbacoan	0	South America	1	1	3	0	0	0	0	0	0		
awad1243	Awadhi	Indo-European	1	Eurasia	1	1	1	1	0	0	0	0	1	0	0
awad1244	Awad Bing	Austronesian	0	Papunesia	2	1	2	0	0	1	0	0	0	0	0
awap1236	Awa (Papua New Guinea)	Nuclear Trans New Guinea	0	Papunesia	1	1	1	0	0	0	0	0	0	0	0
