icit	m77	pairs	share	icit_count
740	MSg342	574	0.99	1166
2	MSg99	319	0.96	572
220	MSg59	146	0.92	274
240	MSg67	126	0.93	246
32	MSg87	117	0.96	232
60	MSg123	112	0.99	171
820	MSg391	111	0.99	169
390	MSg162	101	0.93	174
520	MSg211	104	1.00	205
741	MSg343	90	0.87	152
235	MSg65	98	1.00	181
233	MSg72	88	0.93	134
400	MSg176	93	0.98	303
861	MSg267	88	0.98	164
33	MSg89	86	0.99	175
817	MSg267	74	0.95	135
920	MSg293	72	0.99	112
1	MSg97	40	0.55	151
590	MSg249	68	0.97	148
31	MSg86	63	0.94	122
705	MSg336	66	1.00	117
803	MSg387	57	0.93	98
615	MSg245	59	0.98	172
176	MSg48	58	0.98	135
798	MSg53	59	1.00	100
90	MSg1	59	1.00	104
100	MSg8	47	0.96	87
760	MSg347	47	0.98	86
3	MSg102	47	1.00	110
806	MSg389	46	0.98	101
415	MSg171	46	0.98	108
368	MSg402	43	0.96	68
140	MSg17	41	1.00	68
231	MSg70	35	0.95	57
900	MSg287	34	0.92	71
550	MSg216	33	0.89	75
706	MSg336	35	1.00	60
255	MSg51	35	1.00	79
151	MSg12	32	0.97	46
125	MSg28	31	1.00	42
527	MSg254	30	1.00	38
692	MSg150	28	1.00	51
17	MSg112	28	1.00	48
503	MSg204	27	1.00	66
575	MSg197	25	1.00	47
840	MSg403	25	1.00	78
717	MSg341	22	0.92	33
55	MSg121	23	0.96	40
405	MSg169	23	1.00	79
61	MSg124	23	1.00	63
460	MSg230	23	1.00	37
440	MSg127	22	1.00	36
350	MSg175	22	1.00	32
407	MSg169	21	1.00	97
416	MSg173	19	0.95	30
4	MSg104	20	1.00	55
70	MSg155	17	0.89	28
742	MSg344	16	0.84	25
923	MSg296	18	1.00	35
435	MSg130	18	1.00	46
156	MSg15	17	1.00	29
904	MSg294	14	0.88	34
388	MSg327	15	0.94	28
690	MSg149	16	1.00	64
226	MSg60	12	0.80	22
585	MSg194	15	1.00	33
455	MSg233	13	0.93	27
142	MSg25	13	0.93	47
595	MSg252	13	0.93	28
892	MSg307	13	1.00	48
154	MSg15	12	1.00	31
482	MSg135	11	0.92	20
16	MSg109	10	0.91	30
790	MSg373	11	1.00	35
632	MSg244	11	1.00	17
5	MSg106	11	1.00	24
700	MSg328	9	0.82	41
320	MSg182	10	1.00	14
745	MSg345	10	1.00	16
165	MSg319	10	1.00	17
555	MSg222	10	1.00	16
752	MSg358	10	1.00	43
621	MSg242	10	1.00	13
832	MSg375	9	0.90	16
679	MSg139	10	1.00	13
190	MSg54	10	1.00	14
236	MSg66	8	0.89	19
171	MSg409	9	1.00	17
809	MSg375	9	1.00	17
921	MSg301	7	0.88	12
335	MSg192	8	1.00	24
347	MSg18	8	1.00	9
384	MSg326	8	1.00	15
243	MSg75	8	1.00	9
72	MSg155	8	1.00	11
630	MSg244	8	1.00	14
812	MSg381	8	1.00	8
35	MSg96	8	1.00	11
853	MSg264	8	1.00	10
850	MSg261	5	0.71	28
315	MSg186	7	1.00	8
222	MSg62	5	0.71	16
406	MSg169	7	1.00	8
845	MSg407	6	0.86	40
773	MSg348	7	1.00	8
877	MSg284	7	1.00	14
565	MSg224	7	1.00	9
65	MSg125	7	1.00	10
545	MSg215	7	1.00	8
374	MSg400	7	1.00	9
844	MSg406	6	1.00	7
317	MSg186	6	1.00	7
495	MSg205	6	1.00	16
838	MSg387	4	0.67	12
175	MSg47	5	0.83	13
794	MSg58	6	1.00	7
504	MSg206	6	1.00	9
484	MSg136	6	1.00	10
260	MSg76	6	1.00	8
104	MSg41	6	1.00	17
605	MSg258	6	1.00	12
269	MSg81	6	1.00	8
130	MSg19	6	1.00	7
906	MSg303	5	0.83	7
510	MSg253	6	1.00	8
880	MSg286	6	1.00	7
298	MSg180	5	1.00	7
521	MSg212	5	1.00	6
232	MSg71	4	0.80	8
382	MSg325	5	1.00	11
201	MSg412	4	0.80	5
554	MSg226	5	1.00	8
804	MSg388	5	1.00	6
626	MSg247	5	1.00	6
831	MSg379	5	1.00	13
158	MSg15	5	1.00	25
467	MSg178	5	1.00	7
336	MSg193	5	1.00	8
241	MSg68	3	0.60	9
371	MSg397	5	1.00	7
337	MSg193	5	1.00	11
297	MSg180	5	1.00	12
456	MSg234	4	1.00	4
250	MSg302	4	1.00	7
161	MSg14	4	1.00	7
413	MSg177	4	1.00	23
526	MSg254	4	1.00	11
645	MSg137	4	1.00	14
540	MSg214	4	1.00	7
776	MSg367	4	1.00	5
354	MSg174	4	1.00	6
101	MSg9	4	1.00	6
491	MSg205	4	1.00	14
518	MSg398	4	1.00	5
443	MSg128	4	1.00	4
267	MSg81	4	1.00	4
64	MSg161	4	1.00	6
202	MSg268	4	1.00	4
702	MSg329	4	1.00	6
95	MSg18	4	1.00	13
500	MSg209	4	1.00	16
111	MSg32	4	1.00	8
572	MSg195	4	1.00	4
772	MSg348	4	1.00	8
502	MSg210	4	1.00	4
903	MSg290	3	0.75	4
927	MSg294	4	1.00	6
531	MSg228	3	1.00	3
530	MSg225	2	0.67	8
480	MSg134	3	1.00	19
703	MSg330	3	1.00	7
611	MSg256	3	1.00	4
625	MSg261	3	1.00	4
890	MSg304	2	0.67	11
132	MSg22	3	1.00	4
556	MSg221	2	0.67	4
204	MSg56	3	1.00	4
263	MSg76	3	1.00	5
808	MSg375	3	1.00	4
13	MSg103	3	1.00	21
7	MSg110	3	1.00	3
137	MSg40	3	1.00	5
18	MSg114	3	1.00	5
746	MSg345	3	1.00	4
93	MSg3	3	1.00	6
215	MSg415	3	1.00	6
252	MSg302	3	1.00	6
353	MSg175	3	1.00	4
564	MSg223	3	1.00	4
704	MSg336	3	1.00	3
345	MSg50	3	1.00	3
360	MSg202	3	1.00	6
603	MSg238	3	1.00	6
370	MSg397	3	1.00	5
426	MSg190	2	1.00	4
905	MSg295	2	1.00	10
193	MSg54	2	1.00	3
610	MSg257	2	1.00	2
244	MSg83	2	1.00	3
409	MSg169	2	1.00	3
216	MSg417	2	1.00	2
367	MSg402	2	1.00	2
472	MSg178	2	1.00	5
97	MSg2	2	1.00	10
636	MSg244	2	1.00	19
420	MSg189	2	1.00	3
940	MSg64	2	1.00	2
770	MSg359	2	1.00	2
304	MSg180	2	1.00	2
257	MSg187	2	1.00	4
436	MSg130	2	1.00	14
195	MSg54	2	1.00	2
836	MSg373	1	0.50	2
543	MSg214	2	1.00	3
392	MSg162	2	1.00	3
825	MSg380	2	1.00	2
423	MSg190	2	1.00	6
519	MSg386	1	0.50	7
908	MSg298	2	1.00	2
155	MSg15	2	1.00	4
501	MSg210	2	1.00	31
600	MSg87	2	1.00	3
683	MSg146	2	1.00	2
322	MSg182	2	1.00	3
891	MSg305	2	1.00	2
924	MSg297	2	1.00	5
278	MSg84	2	1.00	3
450	MSg132	2	1.00	2
63	MSg125	2	1.00	9
560	MSg219	2	1.00	2
814	MSg381	2	1.00	2
112	MSg34	2	1.00	2
279	MSg84	2	1.00	3
272	MSg80	2	1.00	4
81	MSg160	2	1.00	3
168	MSg322	2	1.00	3
879	MSg247	2	1.00	3
301	MSg180	2	1.00	2
346	MSg50	2	1.00	3
136	MSg38	2	1.00	3
786	MSg371	2	1.00	2
150	MSg10	2	1.00	3
710	MSg331	2	1.00	2
380	MSg323	2	1.00	8
324	MSg182	2	1.00	2
71	MSg141	2	1.00	2
483	MSg259	2	1.00	3
579	MSg198	1	1.00	2
429	MSg190	1	1.00	1
375	MSg401	1	1.00	1
914	MSg298	1	1.00	1
103	MSg9	1	1.00	3
221	MSg70	1	1.00	4
902	MSg300	1	1.00	1
542	MSg214	1	1.00	1
321	MSg183	1	1.00	13
146	MSg47	1	1.00	3
468	MSg178	1	1.00	8
950	MSg170	1	1.00	2
253	MSg302	1	1.00	1
870	MSg281	1	1.00	1
471	MSg178	1	1.00	1
811	MSg385	1	1.00	1
167	MSg321	1	1.00	1
48	MSg169	1	1.00	14
305	MSg180	1	1.00	1
930	MSg393	1	1.00	1
863	MSg270	1	1.00	1
830	MSg375	1	1.00	1
728	MSg335	1	1.00	1
172	MSg322	1	1.00	1
294	MSg180	1	1.00	1
795	MSg305	1	1.00	2
365	MSg402	1	1.00	5
561	MSg219	1	1.00	3
785	MSg370	1	1.00	2
895	MSg308	1	1.00	1
866	MSg274	1	1.00	1
82	MSg160	1	1.00	2
166	MSg320	1	1.00	1
952	MSg82	1	1.00	1
810	MSg381	1	1.00	1
194	MSg55	1	1.00	1
604	MSg176	1	1.00	3
856	MSg267	1	1.00	3
323	MSg182	1	1.00	3
768	MSg372	1	1.00	1
761	MSg357	1	1.00	1
958	MSg160	1	1.00	1
296	MSg180	1	1.00	1
121	MSg37	1	1.00	1
83	MSg159	1	1.00	1
859	MSg265	1	1.00	1
474	MSg178	1	1.00	1
762	MSg355	1	1.00	1
393	MSg164	1	1.00	1
262	MSg79	1	1.00	2
465	MSg178	1	1.00	6
932	MSg318	1	1.00	1
362	MSg201	1	1.00	1
511	MSg253	1	1.00	4
372	MSg396	1	1.00	1
107	MSg4	1	1.00	1
329	MSg191	1	1.00	1
373	MSg399	1	1.00	2
693	MSg152	1	1.00	1
897	MSg311	1	1.00	1
344	MSg50	1	1.00	1
207	MSg57	1	1.00	1
796	MSg306	1	1.00	1
765	MSg349	1	1.00	1
734	MSg332	1	1.00	1
84	MSg159	1	1.00	1
119	MSg30	1	1.00	1
287	MSg395	1	1.00	2
684	MSg147	1	1.00	1
563	MSg214	1	1.00	1
144	MSg26	1	1.00	1
94	MSg38	1	1.00	1
872	MSg277	1	1.00	1
205	MSg57	1	1.00	2
122	MSg36	1	1.00	1
295	MSg180	1	1.00	1
428	MSg190	1	1.00	1
721	MSg338	1	1.00	2
894	MSg310	1	1.00	1
14	MSg105	1	1.00	2
694	MSg151	1	1.00	1
264	MSg78	1	1.00	1
944	MSg61	1	1.00	1
123	MSg16	1	1.00	1
849	MSg263	1	1.00	1
727	MSg333	1	1.00	1
466	MSg179	1	1.00	1
308	MSg180	1	1.00	2
953	MSg51	1	1.00	1
228	MSg74	1	1.00	1
34	MSg104	1	1.00	6
729	MSg334	1	1.00	1
385	MSg326	1	1.00	1
444	MSg128	1	1.00	1
338	MSg193	1	1.00	1
533	MSg309	1	1.00	2
383	MSg136	1	1.00	1
45	MSg91	1	1.00	1
744	MSg344	1	1.00	3
343	MSg184	1	1.00	1
842	MSg404	1	1.00	4
291	MSg180	1	1.00	1
361	MSg203	1	1.00	2
689	MSg143	1	1.00	1
62	MSg124	1	1.00	2
6	MSg108	1	1.00	2
764	MSg350	1	1.00	1
307	MSg180	1	1.00	1
912	MSg292	1	1.00	1
824	MSg267	1	1.00	6
878	MSg285	1	1.00	1
732	MSg332	1	1.00	2
412	MSg291	1	1.00	1
105	MSg4	1	1.00	1
208	MSg57	1	1.00	1
805	MSg389	1	1.00	3
481	MSg316	1	1.00	1
577	MSg291	1	1.00	1
286	MSg395	1	1.00	2
133	MSg23	1	1.00	1
292	MSg180	1	1.00	3
635	MSg244	1	1.00	1
720	MSg340	1	1.00	2
525	MSg254	1	1.00	4
922	MSg180	1	1.00	2
127	MSg29	1	1.00	2
157	MSg15	1	1.00	1
570	MSg199	1	1.00	1
153	MSg71	1	1.00	4
281	MSg372	1	1.00	1
29	MSg403	1	1.00	1
