# Source: ORACC epsd2/admin/ur3 JSON export (CC0), seal surfaces only; tokens are citation form|POS.
text	provenience	seal	line	tokens
P113959	Umma	1	1	Urŋiparak|PN
P113959	Umma	1	2	dubsar|N
P113959	Umma	1	3	dumu|N Ayakala|PN
P204230	Girsu	1	1	Gududu|PN
P204230	Girsu	1	2	lungak|N
P204230	Girsu	1	3	dumu|N Ka.ku₃|PN
P380417	Umma	1	1	Lukala|PN
P380417	Umma	1	2	dubsar|N
P380417	Umma	1	3	dumu|N Ureʾe|PN kuš|N
P106258	Puzriš-Dagan	1	1	Urmes|PN
P106258	Puzriš-Dagan	1	2	dumu|N Lana|PN kurušda|N
P322430	Garšana	1	1	An.na.ah.i₃.li₂|PN ašgab|N
P322430	Garšana	1	2	dumu|N Sa₂.ba|PN
P291164	Umma	1	1	Urmes|PN
P291164	Umma	1	2	dubsar|N
P291164	Umma	1	3	dumu|N UrAšnanak|PN
P104265	Puzriš-Dagan	1	1	Šusuen|RN UrKugnunak|PN
P104265	Puzriš-Dagan	1	2	lugal|N kalag|V/i dubsar|N
P104265	Puzriš-Dagan	1	3	lugal|N Urim|SN dumu|N LuNinŋirsukak|PN kurušda|N
P104265	Puzriš-Dagan	1	4	lugal|N an|N anubda|N limmu|NU arad|N
P134329	Nippur	1	1	Šeškala|PN
P134329	Nippur	1	2	dumu|N Lugalengardug|PN
P136314	unknown	1	1	Lugal.lu₂.eb|PN
P136314	unknown	1	2	dubsar|N
P136314	unknown	1	3	dumu|N x-x-x|u
P121828	Umma	1	1	Niŋirane|PN
P121828	Umma	1	2	dubsar|N
P121828	Umma	1	3	dumu|N Inimšara|PN
P387628	Umma	1	1	Lugalezem|PN
P387628	Umma	1	2	dubsar|N
P387628	Umma	1	3	dumu|N Lugalemahe|PN
P387628	Umma	1	4	šabra|N
P117449	Umma	1	1	Luninšubur|PN kuš|N
P117449	Umma	1	2	arad|N Šara|DN
P121982	Umma	1	1	Šusuen|RN Ayakala|PN
P121982	Umma	1	2	lugal|N kalag|V/i ensik|N
P121982	Umma	1	3	lugal|N Urim|SN Umma|SN
P121982	Umma	1	4	lugal|N an|N anubda|N limmu|NU arad|N
P127155	Umma	1	1	Lušara|PN
P127155	Umma	1	2	dubsar|N
P127155	Umma	1	3	dumu|N Iri.bar|PN
P201198	Umma	1	1	Urutu|PN
P201198	Umma	1	2	dumu|N Alla|PN sukkal|N
P120690	Puzriš-Dagan	1	1	Šulgir|RN Lugal-X|PN
P120690	Puzriš-Dagan	1	2	nita|N kalag|V/i dubsar|N
P120690	Puzriš-Dagan	1	3	lugal|N Urim|SN dumu|N Ur.X|PN
P120690	Puzriš-Dagan	1	4	lugal|N an|N anubda|N limmu|NU arad|N
P119904	Umma	1	1	Aradŋu|PN
P119904	Umma	1	2	dubsar|N
P119904	Umma	1	3	dumu|N Urniŋarak|PN kuš|N
P291534	Umma	1	1	La.a.mu|PN
P291534	Umma	1	2	dumu|N Lugal-X|PN
P291534	Umma	1	3	simug|N
P104635	Umma	1	1	Lugalazida|PN
P104635	Umma	1	2	dubsar|N
