# WALS Online (Dryer & Haspelmath eds., 2013), CLDF release cldf-datasets/wals, CC-BY 4.0; features 26A 30A 31A 32A 51A 86A 87A 89A 81A
id	name	family	genus	macroarea	26A	30A	31A	32A	51A	86A	87A	89A	81A
aab	Arapesh (Abu)	Torricelli	Kombio-Arapesh	Papunesia							2	2	2
aar	Aari	Afro-Asiatic	South Omotic	Africa	2				1	1	2	2	
aba	Abau	Sepik	Abau	Papunesia						1		2	1
abi	Abipón	Guaicuruan	Abipon	South America	2				9	3	3		2
abk	Abkhaz	Northwest Caucasian	Northwest Caucasian	Eurasia	4	3	2	2	9	1	2	3	1
abn	Arabana	Pama-Nyungan	Central Pama-Nyungan	Australia	2	1	1	1	1	3	2		1
abo	Arbore	Afro-Asiatic	Lowland East Cushitic	Africa		2	2	3		2	2	2	1
abu	Abun	Abun	Abun	Papunesia	1				9	1	2	2	2
abv	Abui	Greater West Bomberai	Alor-Pantar	Papunesia	4				9	1	2	2	1
ace	Acehnese	Austronesian	Malayo-Sumbawan	Eurasia	1				9	2	2	1	7
acg	Achagua	Arawakan	Japura-Colombia	South America	4				9	1	2		2
acl	Acholi	Eastern Sudanic	Western Nilotic	Africa	4				9	2	2	2	2
acm	Achumawi	Hokan	Achumawi	North America					1				2
acn	Achang	Sino-Tibetan	Burmese-Lolo	Eurasia						1	3	2	
aco	Acoma	Keresan	Keresan	North America	4	1	1	1		1	3	3	7
acu	Achuar	Jivaroan	Jivaroan	South America	2				1	1			
adg	Adang	Greater West Bomberai	Alor-Pantar	Papunesia	1				9	1	2	2	1
adi	Adioukrou	Niger-Congo	Agneby	Africa	5				9	1	2	2	2
adk	Andoke	Andoke	Andoke	South America					1	1			
adn	Adynyamathanha	Pama-Nyungan	Central Pama-Nyungan	Australia	2				1	1	1		7
ady	Adyghe (Abzakh)	Northwest Caucasian	Northwest Caucasian	Eurasia					1		2		1
adz	Adzera	Austronesian	Oceanic	Papunesia						1	2	2	2
aeg	Arabic (Egyptian)	Afro-Asiatic	Semitic	Africa	3	2	2	3	9	2	2	3	2
aga	Agarabi	Trans-New Guinea	Gauwa	Papunesia	3				1	1	1	1	1
agb	Leggbó	Niger-Congo	Upper Cross	Africa						2	2	2	2
agc	Agta (Central)	Austronesian	Greater Central Philippine	Papunesia	2				9	2	1	1	3
agd	Agta (Dupaningan)	Austronesian	Greater Central Philippine	Papunesia						2	1	1	3
agh	Aghem	Niger-Congo	Wide Grassfields	Africa						2	2	2	2
agm	Angami	Sino-Tibetan	Angami-Pochuri	Eurasia	1					1	2	2	1
agt	Anguthimri	Pama-Nyungan	Northern Pama-Nyungan	Australia	2				1		2	2	1
agw	Alagwa	Afro-Asiatic	Southern Cushitic	Africa		2	2	3					
ain	Ainu	Ainu	Ainu	Eurasia	4	1	1	1	9	1	1	1	1
aja	Aja	Central Sudanic	Kresh	Africa						2	1	3	2
ajg	Ajagbe	Niger-Congo	Gbe	Africa					9	3	2	2	7
akh	Akha	Sino-Tibetan	Burmese-Lolo	Eurasia	1				9	1	2	2	1
akn	Akan	Niger-Congo	Tano	Africa	6				9	1	2	2	2
ala	Alamblak	Sepik	Sepik Hill	Papunesia	2	2	2	2	6	1	1	1	1
alb	Albanian	Indo-European	Albanian	Eurasia	2				1	2	2	1	2
ale	Aleut	Eskimo-Aleut	Aleut	North America	2	1	1	1	1				1
alk	Arop-Lokep	Austronesian	Oceanic	Papunesia						3	2	2	2
all	Ala'ala	Austronesian	Oceanic	Papunesia	4				1	1	2	2	1
aln	Alune	Austronesian	Central Malayo-Polynesian	Papunesia	4				9	1	2	2	2
als	Alsea	Oregon Coast	Alsea	North America						1	1	1	
alw	Alawa	Mangarrayi-Maran	Mara	Australia	2				1		3		7
aly	Alyawarra	Pama-Nyungan	Central Pama-Nyungan	Australia	2				1	2	2	2	1
ama	Amara	Austronesian	Oceanic	Papunesia							2	2	2
amb	Ambulas	Sepik	Ndu	Papunesia					6	1	1	2	1
amc	Amahuaca	Pano-Tacanan	Panoan	South America	2				9	1	2		7
ame	Amele	Trans-New Guinea	Mabuso	Papunesia	2	1	1	1	9	1	2	2	1
amh	Amharic	Afro-Asiatic	Semitic	Africa	3	2	2	3	1	1	1	1	1
ami	Amis	Austronesian	East Formosan	Papunesia						2	1	1	7
amk	Amarakaeri	Harakmbet	Harakmbet	South America							1	1	
aml	Ambae (Lolovoli Northeast)	Austronesian	Oceanic	Papunesia	1				9	2	2	2	2
amm	Ama	Left May	Left May	Papunesia						1	3		
amn	Amanab	Border	Border	Papunesia	2				1	1	2		1
amo	Amo	Niger-Congo	Central Kainji	Africa	5						2	2	
amp	Arrernte (Mparntwe)	Pama-Nyungan	Central Pama-Nyungan	Australia	2				6		2	2	1
amq	Ambai	Austronesian	South Halmahera - West New Guinea	Papunesia	5					1	2	2	2
amr	Arabic (Moroccan)	Afro-Asiatic	Semitic	Africa	3				9	2	2	1	
ams	Arabic (Modern Standard)	Afro-Asiatic	Semitic	Eurasia	2				1	2	2	1	3
amt	Amdo (Themchen)	Sino-Tibetan	Bodic	Eurasia						1	3	2	
amx	Anamuxra	Trans-New Guinea	Josephstaal	Papunesia	3					1	2	2	
ana	Araona	Pano-Tacanan	Tacanan	South America	2				1	1	2	3	
anc	Angas	Afro-Asiatic	West Chadic	Africa	1				9	2	2	2	2
ane	Anêm	Anêm	Anêm	Papunesia						3	2	2	2
ang	Anggor	Senagi	Senagi	Papunesia	2				9	1	2	2	1
ani	//Ani	Khoe-Kwadi	Khoe-Kwadi	Africa						1	1	1	7
anj	Anejom	Austronesian	Oceanic	Papunesia	4				9	2	2	2	4
ann	Anindilyakwa	Gunwinyguan	Anindilyakwa	Australia	4				8	3			7
ano	Anong	Sino-Tibetan	Nungish	Eurasia						1	2	2	1
anu	Anufo	Niger-Congo	Tano	Africa	1				9	1	2	2	2
any	Anywa	Eastern Sudanic	Western Nilotic	Africa	4				9	2	2	2	7
