# Fairservis 1992, The Harappan Civilization and its Writing, Appendix A
# language: dra. Built by build_fairservis.py from keys/fairservis1992_raw.tsv (sure/likely matches); value = his Dravidian equivalent, first alternative.
# sign	value	gloss
1	*ā	P-1 genitive possessive affix (short stroke) => also occurs as an independent sign t
2	*il	P-2 locative case (two short strokes) => regular pairing with F-2, N-5, E-5, N-6, N-
13	il-ā	P-13 combination of P-2 and P-10 (two short strokes over one) => a proper name, house
17	in	O-11 number 7 (another form of O-10?, 4 over 3) => bright, light, day (see F-16, F-17
18	eṭṭu	O-12 number 8 (as adjectival form) => count, number; pair, couple
19	*toḷ	O-14 number 9 (as adjectival form, 5 over 4) =>
31	daṇḍi	H-8 (possibly ?) staff, rod, spear => eminence (confusion with O-1 suggests these me
51	kāntoḷ	F-10 rain (carrying pole; rain as 9-toḷ) => rain (if the bar is sky; but tal-head? se
55	paṉir	F-11 rain (twelve strokes) => (rain)
64	kavar	I-16 forked pole => to seize
66	ambu	H-4 arrow => nominative case ending?; water in calendric ref.?; calendar designation
90	āḷ-āṇ	A-1 a man => rule, ruler
93	peṇ	A-2 a woman (man sign with ribbed hat) => take care of
97	iraḍaṇḍiyaṉ	A-14 a man with two staffs => a proper name where ira, an honorific quality
100	margh-āṇ	A-4 a man with horns => possibly a shaman, priest, name of a deity?
111	aḷavaṉ	A-18 a man with a container, but U as pot => recorder; potter (one who records/measur
112	nūṟuvaṉ	A-19 a man with a mortar and pestle => miller
122	koṟatuvaṉ	A-21 a man with a pair of tongs or pincers => shepherd
123	tūkāyār	A-11 two men with carrying pole with conical weight suspended => "One who Assembles" 
125	velaṉ	A-15 a man with a bow and arrow => (hunter ?) archer (warrior ?); a calendrical desig
127	iravilaṉ	A-17 a man with two bows => an honorific title (combination ira- 'two' and velaṉ A-15
142	daṇḍiyaṉ	A-13 a man with a staff => eminent person (elder ?)
146	villaṉ	A-16a (a) a man with a bow => merchant ? variant of Q-15 ?
151	kā	A-7 a man with a carrying pole with looped cords => watchman
154	kāvaḍiyāṉ	A-8 a combination of A-7 + J-5 => an honorific title like "Great Guardian" or "High 
165	suraaḷi	K-17 spiral curl, (also) *assemble => assemble; curl; brave
171	takkaḍi	K-10 weighing scales => worthy (also see K-9)
215	malaku	L-10 beads => chief, important, great
216	māle	L-11 beads on string, necklace (drawing from summary chart p. 151: stacked beads) => 
220	pir	Q-1 the twist L-3 affixed by P-11 (the drawing is the ICIT 'fish' shape) => great ma
231	pir-ā	Q-2 Q-1 (the "fish" shape) with genitive affix P-1 inside => of the chief
235	talpir	Q-6 Q-1 with P-4 (caret over the "fish") => head or high chief
240	maru-pir	Q-5 Q-1 with horn affix (see A-4), the cattle horns => (a) shaman, priest, shamanist
244	pira	C-4a bee (?) => meaning in combination honey (note shape of body, see L-3)
315	aṅkaṇa	G-6 space between two poles => bazaar (?) courtyard (as different from G-7); see Mah
335	guḍḍe	L-2 cloth (in general) => heap, pile, large quantity
337	javaḷi	L-1 cloth sewn, or prepared => (cloth)
367	ambara	Q-9 half of E-6 combined with H-4 => court, open area by a "temple" or "temple" grou
371	tāli	L-12 a bead, or bead on a necklace (drawing from summary chart p. 151: bead on a stri
380	muccu	F-12 cover, roof => covered bazaar (with H sign; see G-6)
382	araC	E-6b pipal leaf (presumed to be a variant of E-6a) => head, chief (as E-6a)
384	araC	E-6a pipal leaf => head or high superior as in Chief or God ((not) royal in Harappan 
390	nela	E-3 stalk of grain (abbreviated form) => lunar month (see E-2)
400	cīppu	L-9 comb => write "this mark"; scratch; kī-dative of person (?); as terminal in text
405	nela	E-2 stalk of grain => lunar month; order, line, row
413	mara	E-1 tree ((?) Acacia arabica) => cow (associated with cow-anthropomorph)
415	kiṟ-a	Q-11 L-9 turned to horizontal with affix P-1 (comb on post) => of below, downriver, s
416	irukiṟā	Q-12 Q-11 doubled stylistically => a proper name (?) Irukiṟā
420	bēli	G-19 a fence of poles => marriage (offerings); husband (paired with G-9 variant toṉ)
440	koy	I-3 sickle => to reap, or reaping (in context)
455	kuṟ	N-1 mountain (s) => (mountain); universal sign
460	muṟyāl	G-21 three conical structures => dairy, storage, liquid measure, buttermilk; dairy or
465	kuṟu	I-4 ploughshare => dig (plough) (combine with īr (461) drag plough)
480	talV	P-4 head, an affix; an independent sign also (caret) => head, superior, top, etc., a
482	maṭṭa,	K-1 carpenter's (?) square or rule => measure (linear); to unite, join (pairing indi
484	maṭṭa	K-2 measuring rule (hatched) => measure; pairing indicates (linear) measure for clot
495	kam,	D-5 a tusk (?) (rhinoceros horn) => horn; bull
501	tūṅku	K-7 (hatched cone) => ninth month (regularly pairs with E-2); corpus: 501+405 adjace
503	neṟa	K-6a a heap or pile, "fullness, abundance" => (heap of) grain (see E-2, E-3)
504	tūga	K-6b suspended conical weight => "sky high" heap (see I-19)
510	toṟu	G-10 enclosure with two pillars or poles => cowpen or fold (also 3526 DEDR toṟtu)
520	ār	H-5 a point or spear => be powerful; 3rd person singular suffix, honorific
540	paṟai	M-3 drum => communicate; trade
545	muracu	M-4 a triple drum => all, whole
550	koṟaḍu	I-11 tongs (also short forms; see A-21, Q-10, Q-14) => shepherd, herder, sheep (with 
570	nel-māḍa	G-4 platform or building with grain => granary
575	aṭṭa	G-1 (on a platform) => platform (upper room, upper story)
590	tūṉ	G-9 enclosure with pillar or pole => number 9, cow(s) (see N-10, O-15; Zvelebil 1977
605	meṭṭu	G-22 stairway or stairs => heap, accumulation of a commodity
611	tāṟi	I-9 winnowing fan => the seal-tablet as tāli marriage token
615	kūṭi	G-16 enclosure divided into compartments => collect, store, storehouse or work area; 
