# Fairservis 1992, The Harappan Civilization and its Writing, Appendix A; archive.org identifier fairservis-the-harappan-civilization-and-its-writing-1992 (leaves n158-n197; also the-harappan-civilization-and-its-writing)
# language: dra. Read from the page images of the Appendix A tables (Sign No. / Identification / Dravidian Equivalent / DED No. / Homophone / DED No. / Meaning).
# value = Dravidian equivalent as printed (alternatives separated by ' / '; 'hom:' = the homophone column). dedr = Fairservis's DED/DEDR numbers (first = equivalent, after ';' = homophone).
# gloss = his identification of the drawing, then '=>' his meaning. icit = ICIT glyph id matched by drawing against the ICIT render sheets; confidence sure/likely/unsure; unsure rows give candidates as a|b.
# page = printed page number (archive.org leaf in brackets). Fairservis cites seals by Marshall 1931 / Mackay 1937 (MD) numbers, not CISI numbers, so seal confirmation through corpus.tsv was not possible.
fcode	icit	confidence	value	gloss	dedr	page
A-1	90	sure	āḷ-āṇ / aṉ; hom: āḷ	a man => rule, ruler	342; 341	153 [n162]
A-2	93	likely	peṇ; hom: peṇ ?	a woman (man sign with ribbed hat) => take care of	3608a; 3633	153 [n162]
A-3	96|95	unsure	peṇ	a woman (variant, head with pointed hood) => (woman)	3608a	153 [n162]
A-4	100	sure	margh-āṇ / maruḷ-āḷ; hom: maru(k)aṉ	a man with horns => possibly a shaman, priest, name of a deity?	3864; 3866	153 [n162]
A-5	137|98	unsure	amb-āṇ / am-āṉ; hom: mother	a man with arrow => mother as a deity (?)	see H-4; 154	153 [n162]
A-6	150|71	unsure	kā(v)āḷ; hom: kā	a man with carrying pole or yoke => guard, guardian	1193; 1192	153 [n162]
A-7	151	likely	kā + vaḍi(y) āḷ / kāvaḍi (y)āḷ	a man with a carrying pole with looped cords => watchman	1193; 4272	153 [n162]
A-8	154	likely	kāvaḍi(y)āṉ	a combination of A-7 + J-5 => an honorific title like "Great Guardian" or "High Guardian" (administrator in context)		154 [n163]
A-9	156|155|159	unsure	kāvaḍi(y)ār	a combination of A-7 + H-5 => an honorific title like A-8 (?) related to a different guardian role		154 [n163]
A-10	150|107|71	unsure	kā(v)āḷ / kāvaṉ	a man with carrying pole on shoulders => guard (see A-6); probably a variant of A-6		154 [n163]
A-11	123	likely	tūkā(y)ār or tūkevāḷār	two men with carrying pole with conical weight suspended => "One who Assembles" / "Those who Assemble" (if tūka-tūgu relates to toku DED 2861, to collect)	2777	154 [n163]
A-12	105|96	unsure	-aṉ; hom: (as in) paṇikkaṉ, kolaṉ	a man with his arm in a holding position, an occupational suffix => carpenter (Tamil) "One who", blacksmith (Tamil)	; 3209, 1773	154 [n163]
A-13	142	likely	daṇḍi(y)aṉ; hom: daṇḍi	a man with a staff => eminent person (elder ?)	2459; 2449	154 [n163]
A-14	97	sure	iraḍaṇḍiyaṉ	a man with two staffs => a proper name where ira, an honorific quality	see 438, 448	155 [n164]
