# Fairservis 1992, The Harappan Civilization and its Writing, Appendix A (with unsure matches)
# language: dra. Built by build_fairservis.py from keys/fairservis1992_raw.tsv (sure/likely/unsure matches); value = his Dravidian equivalent, first alternative.
# sign	value	gloss
1	*ā	P-1 genitive possessive affix (short stroke) => also occurs as an independent sign t
2	*il	P-2 locative case (two short strokes) => regular pairing with F-2, N-5, E-5, N-6, N-
5	*cayN	O-6 number 5 (as adjectival form) => honest; 2747 DEDR accuracy; to collect, choose,
6	*caṟu	O-8 number 6 (as adjectival form) => merchandise; continuous or straight furrow (whe
13	il-ā	P-13 combination of P-2 and P-10 (two short strokes over one) => a proper name, house
17	in	O-11 number 7 (another form of O-10?, 4 over 3) => bright, light, day (see F-16, F-17
18	eṭṭu	O-12 number 8 (as adjectival form) => count, number; pair, couple
19	*toḷ	O-14 number 9 (as adjectival form, 5 over 4) =>
29	nīr	N-2 river, stream (rows of short wavy strokes) => water (see F-10, F-11)
31	daṇḍi	H-8 (possibly ?) staff, rod, spear => eminence (confusion with O-1 suggests these me
32	*iru	O-2 number 2 (as adjectival form) => prefix in proper names, second, two; as place, 
33	*mun	O-3 number 3 (as adjectival form) => foremost
34	*nāl	O-4 number 4 (as adjectival form) => good; 3656 DEDR naḷ-day, time?
51	kāntoḷ	F-10 rain (carrying pole; rain as 9-toḷ) => rain (if the bar is sky; but tal-head? se
55	paṉir	F-11 rain (twelve strokes) => (rain)
60	kāl-ā	P-15 leg sign D-1 with affix inflection (see P-1) => lineage (?) or "group of" (see F
61	irukāl	D-2a two legs and body (of a man) => combined sign, a proper name (?), doubtful readi
64	kavar	I-16 forked pole => to seize
65	uṟu	I-12 plough => to plough, ploughing, ploughed (see G-7 for a misidentification, Mahad
66	kāl	D-1 a leg (of a man) => lineage (?); terminal syllable in astronomical & lineage ety
81	gāḷaṭṭūga	I-15 wind pole with conical weight affix => an affixed form of I-14 (see A-11, K-6); 
90	āḷ-āṇ	A-1 a man => rule, ruler
93	peṇ	A-2 a woman (man sign with ribbed hat) => take care of
96	peṇ	A-3 a woman (variant, head with pointed hood) => (woman)
97	iraḍaṇḍiyaṉ	A-14 a man with two staffs => a proper name where ira, an honorific quality
98	irakoḷagaṉ	A-25 a man with two marked sticks => see A-24 (see A-17, A-11)
100	margh-āṇ	A-4 a man with horns => possibly a shaman, priest, name of a deity?
105	-aṉ	A-12 a man with his arm in a holding position, an occupational suffix => carpenter (T
110	kōvaṉ	A-20 a man with a crucible => smith
111	aḷavaṉ	A-18 a man with a container, but U as pot => recorder; potter (one who records/measur
112	nūṟuvaṉ	A-19 a man with a mortar and pestle => miller
122	koṟatuvaṉ	A-21 a man with a pair of tongs or pincers => shepherd
123	tūkāyār	A-11 two men with carrying pole with conical weight suspended => "One who Assembles" 
125	velaṉ	A-15 a man with a bow and arrow => (hunter ?) archer (warrior ?); a calendrical desig
127	iravilaṉ	A-17 a man with two bows => an honorific title (combination ira- 'two' and velaṉ A-15
130	kiriyaṉ	A-22 a man with a comb => scribe
132	niryaṉ	A-23 a man holding fire (a brand?) => fire-maker? (see DED 2384, 2390; Possehl & Rava
137	amb-āṇ	A-5 a man with arrow => mother as a deity (?)
142	daṇḍiyaṉ	A-13 a man with a staff => eminent person (elder ?)
146	villaṉ	A-16a (a) a man with a bow => merchant ? variant of Q-15 ?
150	kāvāḷ	A-6 a man with carrying pole or yoke => guard, guardian
151	kā	A-7 a man with a carrying pole with looped cords => watchman
154	kāvaḍiyāṉ	A-8 a combination of A-7 + J-5 => an honorific title like "Great Guardian" or "High 
156	kāvaḍiyār	A-9 a combination of A-7 + H-5 => an honorific title like A-8 (?) related to a diffe
161	takkaḍi	K-9 weighing scales => to weigh, or as substantive
165	suraaḷi	K-17 spiral curl, (also) *assemble => assemble; curl; brave
171	takkaḍi	K-10 weighing scales => worthy (also see K-9)
175	parC	Q-7 E-5 combined with P-4 => cotton, as a crop; possibly ara-cloth
176	partalār	Q-8 E-5 combined with P-4 and pluralizer P-6 => cotton, crops, cotton in general
204	ī	C-2 an insect => (?) used as demonstrative when initial in text
215	malaku	L-10 beads => chief, important, great
216	māle	L-11 beads on string, necklace (drawing from summary chart p. 151: stacked beads) => 
220	pir	Q-1 the twist L-3 affixed by P-11 (the drawing is the ICIT 'fish' shape) => great ma
231	piri	L-4 twist or loop with infilling; sew (?) stitching across the loop => increase, abu
233	pirambu	Q-3 Q-1 with H-4 or P-12 (slanted stroke) => nominative case for chief? (an epigraph
235	talpir	Q-6 Q-1 with P-4 (caret over the "fish") => head or high chief
240	maru-pir	Q-5 Q-1 with horn affix (see A-4), the cattle horns => (a) shaman, priest, shamanist
244	pira	C-4a bee (?) => meaning in combination honey (note shape of body, see L-3)
260	kōr	B-1 a chicken (hen) => (hen); rooster? variant MD 1931-207
263	irā	C-1 a prawn (shrimp) => food; master
268	cuc	B-4 peacock (spreading wings) => see B-2, B-3
278	cuc	B-3 peacock (with plume) (male) => see 7 peacock headdresses of MD 1937-430, etc. (s
279	cuc	B-2 peacock => pīli tail; pilli sorcery, magic; piḷḷe child
285	ī	C-3 an insect (ant ?) => (insect, ant)
297	kūc	B-6 the head of a shrieking or calling bird => (calling bird)
315	aṅkaṇa	G-6 space between two poles => bazaar (?) courtyard (as different from G-7); see Mah
321	pal	I-17 harrow => many, the number 10 (see Zvelebil 1977 p. 36)
335	guḍḍe	L-2 cloth (in general) => heap, pile, large quantity
337	javaḷi	L-1 cloth sewn, or prepared => (cloth)
346	moṟa-kāl	A-28 a kneeling figure holding a container and a marked stick => cubit (one?); amount
347	nāy	B-7 a dog; jackal => (dog, jackal)
