# Parpola 1994 (Deciphering the Indus Script, CUP), Fig. 15.2 and pp. 94-96, 179-280: Proto-Dravidian
# morpheme values proposed for single signs, on ICIT glyph ids (the sign sets of rebus_checks.py READINGS).
# language: dra. kind: rebus (sound value of a Dravidian word; the gloss is what the sign depicts / means).
# Ligatured fish carry the whole compound (roof + fish = mai-m-min). The pot 700 has no value in the table.
# sign	value	gloss
220	min	fish = star
3	mu	three
33	mu	three
16	aru	six
17	elu	seven
4	nal	four
14	nal	four
235	maimmin	black star, Saturn
233	pacumin	green star, Mercury
231	pottumin	dot star
809	kan	eye
832	kan	eye
840	muruku	rings, youth (Murukan)
13	cul	hearth
263	pillai	squirrel, child
32	vel	intermediate space, Venus
772	vata	banyan fig
773	vata	banyan fig
776	vata	banyan fig
783	vata	banyan fig
784	vata	banyan fig
785	vata	banyan fig
786	vata	banyan fig
777	koli	fig + crab, the fig tree Ficus
778	koli	fig + crab
782	koli	fig + crab
798	kol	crab, planet
794	kol	crab, planet
90	al	man, servant
740	a	cow's head, possessive -a
