# Mohenjo-daro copper tablets: Parpola 1994, Fig. 7.14 (pp. 111-112), 46 prototype groups, matched to the
# ICIT-derived corpus (data/corpus.tsv, object type TAB:C). Texts in reading order as ICIT glyph ids; '/' separates
# two lines. image = the reverse as Parpola draws it (an iconographic motif, or a sign / short text).
# link = the group with an identical inscription (bold in Parpola's figure). ex = Parpola's count of copies.
# src: icit = the text is an ICIT transcription matched to the drawing; drawing = read from Parpola's drawing
# into ICIT numbers (approximate); none = not transcribed (drawing unclear). icit_objects = matching ICIT objects.
group	ex	text	text_src	reverse	reverse_kind	link	icit_objects
A1a	6	806 233 176 740	icit	markhor goat	image		M-503 M-1449 (variants 806 231 176 740 M-1452; 831 233 176 740 M-1448)
A1b	1	806 233 176 740	icit	markhor goat, with a line of script above it	image
A2	6	806 233 384 740	icit	markhor goat	image	C4	M-504
A3a	3	415 220 845 407	icit	endless knot	image		M-507 M-508 M-1456
A3b	1	590 405 100 740 790 / 415 220 845 407	icit	endless knot	image		M-1457
A4	2	95 615 615 4 405	drawing	165 900 790	text		reverse: M-509 M-510 M-1458 (A4 or A5)
A5	3		none	165 900 790	text
A6	1	233 798 740	drawing	165 900 + hatching	text
A7	3	32 220 176 740	icit	3 700 900 165	text	B10	M-511 M-512
A8	1	740	drawing	indistinct motif	image
A9	4	220 585 407	drawing	5 706	text		reverse: M-513 M-514 M-515
A10	1		none	5 slanting strokes	text
A11	2	503 615 740	icit	341	sign	B5	reverse: M-516 M-517
B1	8	744 760 95 595 1 142 615 615	icit	bull, long horns, manger	image	C1	M-519 M-520 (variant 747 717 ... M-1470)
B2	1	615 343 595	icit	short-horned bull, manger	image		M-522
B3	2	32 71 407	icit	short-horned bull, manger	image		M-523 M-524
B4	9	255 435 690 740 900 3 422	icit	short-horned bull, manger	image		M-1476 M-1479 M-1480 (variants ... 900 1 3 423 M-525; 900 1 3 424 M-1475)
B5	2	503 615 740	icit	rhinoceros	image	A11	(sealid, motif Rhin)
B6	16	706 33 923 740	icit	elephant	image	B12	M-1482 M-1483 M-1484 M-1485 M-1486 M-1488 M-2042; with a final stroke M-527 M-528 M-529 M-530
B7	14	235 705 33 845 407 321 407	icit	hare	image	C2	M-534 ... M-542 M-1491 ... M-1494
B8	8	3 421 176 100 740 790	icit	markhor goat with heart-shaped spots	image		M-543 M-544 M-545 (variant 3 422 176 100 740 M-1497 M-1499)
B9	5	231 17 585 95 520 32 407	icit	markhor goat	image	C5	M-547 M-548 M-549
B10	1	32 220 176 740	icit	bull with heart-shaped spots	image	A7
B11	28	503 615 752 740	icit	short-horned bull, manger	image		M-551 ... (29 objects)
B12	1	33 416 416 416 / 1 706 33 923 740	drawing	horned tiger (the B6 text is written above it)	image	B6
B13	8	798 240 845 61 407	icit	horned animal, tiger-striped legs	image		M-567 M-568 M-569 M-1515 M-1516 M-1517 (variant 845 63 407)
B14	2	32 220 773 740	icit	composite animal (horns, trunk, spots)	image		M-571
B15a	4	235 233 222 740	icit	rhinoceros	image		M-572 M-574 M-1521 M-1522 (variant 235 220 222 740 M-1520)
B15b	2	861 368 1 142 615 615 / 235 233 222 740	icit	rhinoceros	image		M-573
B16	5	806 235 233 705 33 585 407	icit	rhinoceros	image		M-1523 M-1524
B17a	6	905 32 597 142 615 615	icit	composite animal (trunk, spots)	image		M-575 M-576 M-1528 M-1530 M-1531 M-1532 (variant 904 ... M-1529)
B17b	3	495 460 365 2 4 407 / 905 32 597 142 615 615	icit	composite animal (trunk, spots)	image		M-577
B18	5	17 585 388 740	icit	composite animal (trunk, spots)	image		M-578 M-580 M-581 M-1534
B19	14	806 845 61 407 850 900 740	icit	horned archer	image	C6	M-582 M-583 M-585 ... M-588 M-1535 M-1536 M-1540 M-2050
C1	3	744 760 95 595 1 142 615 615	drawing	lens-shaped sign with two triangles	sign	B1
C2	2	235 705 33 845 407 321 407	drawing	753	sign	B7	reverse: M-1547
C3	3	220 255 435 690 740	drawing	480 480 749	text		reverse: M-1548 (x2)
C4a	6	806 233 384 740	drawing	749	sign	A2	reverse: M-597 M-1550
C4b	1	806 233 384 740	drawing	749	sign	A2	written left to right
C5a	9	231 17 585 95 520 32 407	drawing	777	sign	B9	reverse: 777 on M-603 M-604 M-1555 ... M-1558 (C5 and C6 together)
C5b	2	231 17 585 95 520 32 407	drawing	778	sign	B9	written left to right
C6	7	806 845 61 407 850 900 740	drawing	777	sign	B19
C7	1	3 233 590 405 740	drawing	rings sign with a forked stem	sign
C8	3	798 220 706 33 904 142 740	drawing	boot-shaped sign	sign
C9	1		none	777 (faint)	sign
C10	1	904 32 904	icit	indistinct	image		M-1569
