# Compounds ending in min 'fish / star' in the Tamil Lexicon, as listed in Parpola 1994, Appendix (pp. 279-83).
# Transcribed by hand from the archive.org OCR (digitallibraryindia copy) and checked against the page images.
# class: S = star, F = fish, SF = both, F(S) = fish, first member also a star name. key = first member,
# simplified the way the Dravidian Database simplifies forms (no diacritics; geminates reduced; c kept as c).
class	compound	key	first_member_gloss
F	arakkula-min	arakkula	(seer-fish)
S	aru-min	aru	six
S	ara-min	ara	six (aru + a 'become')
F	arru-min	aru	river
F	anai-min	anai	elephant
F	iti-min	iti	(a fish)
S	uttara-min	uttara	northern (Skt)
F	etir-min	etir	opposite, against the current
S	elu-min	elu	seven
S	ai-m-min	ai	five
F	ottu-min	otu	shell
F	katal-nakku-min	katal	sea
F	katiccai-min	katiccai	(sharp?)
F	katu-min	katu	severe, harsh
S	katai-min	katai	end, last
F	kallu-k-koli-min	kallu	stone
F	kali-min	kali	backwater
F	kan-min	kan	stone (kal)
F	kakkay-min	kakkay	crow
F	kili-min	kili	parrot
F	kirai-min	kirai	greens
F	kuttuva-min	kuttuva	herring
F	kutirai-min	kutirai	horse
S	kula-min	kula	family (Skt kula)
F	kuli-min	kuli	hole
S	kula-min	kula	tank, pond
F	kuru-min	kuru	short, small
S	kai-m-min	kai	hand
F(S)	kokku-min	koku	crane, stork
F	koy-min	koy	(a fish)
F	kolu-min	kolu	fat
F	kottu-min	kotu	horn, tusk
S	kon-min	kon	seizure (kol)
F	koli-min	koli	cock, fowl
F	cippi-min	cipi	shell
F	ciraki-min	ciraki	teal; wing
SF	ciru-min	ciru	small
F	curumpu-min	curumpu	bee
SF	cem-min	cem	red
F	talapattu-min	talapatu	palm leaf (Skt)
F	tul-min	tul	dust, small things
F	turu-min	turu	(a fish)
F	nakara-min	nakara	nail, claw (Skt)
F	nal-nir-min	nal	good
F	nakku-min	naku	tongue
S	nal-min	nal	day
F	nay-min	nay	dog
F	ney-m-min	ney	oil, ghee
S	ney-van-min	ney	oil
F	noy-m-min	noy	minuteness
F	pacu-v-a-min	pacu	green
F	paravai-min	paravai	bird
F	panri-min	panri	pig
F(S)	panai-min	panai	palmyra palm
F	pal-min	pal	milk
F	pittalai-k-kacu-min	pitalai	brass (Skt)
F	punar-min	punar	join, couple
F	puli-min	puli	sour, tamarind
F	pu-min-kentai	pu	flower
F	peru-min	peru	big
F	poti-min	poti	dust
F(S)	pon-min	pon	gold
F	makara-min	makara	crocodile (Skt)
F	mancal-koli-min	mancal	yellow
F	matti-min	mati	oyster
F	matava-min	matava	(grey mullet)
F	manalai-min	manal	sand
F	mayil-min	mayil	peacock
S	mu-m-min	mu	three
S	mai-m-min	mai	black
S	mottu-min	motu	height, top
F	yanai-min	yanai	elephant
F(S)	rokita-min	rokita	red (Skt)
S	vata-min	vata	northern
S	vaya-min	vaya	subjugation (Skt)
F	vavval-min	vaval	bat
F	van-min	van	strong (val)
S	val-min	val	tail (comet)
F	val-min	val	sword
S	van-min	van	sky
S	viti-min	viti	dawn
S	vin-min	vin	sky
S	vilu-min	vilu	fall (meteor)
F	vilu-min	vilu	(hilsa)
S	vil-min	vil	fall (meteor)
S	ven-min	ven	white (vel)
S	velli-min	veli	silver; Venus
F	vellai-min	velai	white
S	vaikuru-min	vaikuru	daybreak
