# Star and asterism names ending in -min 'star' in the Tamil Lexicon (Univ. of Madras 1924-36; public domain),
# from the DSAL search (dsal.uchicago.edu/dictionaries/tamil-lex), 23 Sept 2026: headwords ending in -min (111),
# and full-text searches Pleiades, constellation, asterism, Ursa. Only entries glossed as a star, asterism or planet.
# headword	page	meaning	numeral value (- if none)	earliest source cited
mum-min	3272	the 5th naksatra, Mrgasiras	3	Tivakaram
ai-m-min	579	the 13th naksatra, Hasta (five principal stars); also the 4th, Rohini	5	Pinkalam
aru-min	181	Pleiades, 'as containing six stars'	6	Pinkalam
ara-min	-	Pleiades, 'as containing six stars'	6	-
elu-min	544	the seven principal stars of Ursa Major	7	Narrinai 231 (Sangam)
kai-m-min	1112	the 13th naksatra, Hasta	-	Tivakaram
kadai-min	680	the 27th naksatra, Revati ('last')	-	Tivakaram
ati-min	229	Asvini ('first')	-	Setupuranam
uttara-min	408	Arundhati in Ursa Major	-	Setupuranam
ciru-min	1463	Arundhati ('small star')	-	Perumpanarruppadai 303 (Sangam)
cem-min	1598	Arundhati; Mars; the 6th naksatra	-	Purananuru 60 (Sangam)
mai-m-min	3369	Saturn ('black')	-	Purananuru 117 (Sangam)
ney-van-min	2343	the 14th naksatra, Citra	-	Tivakaram
vaya-min	3496	the 4th naksatra, Rohini	-	-
vaikuru-min	3850	morning star	-	Akananuru 17 (Sangam)
nan-min	-	lunar asterism (general)	-	Kalittokai 104 (Sangam)
van-min	3626	star (general)	-	-
vin-min	3665	star (general)	-	Cudamani
mottu-min	3383	star (general)	-	Civakacintamani
