label	S_bits	S_explained_pct	R_roles_pct	M_meanings_pct	P_values	L_open	Mplus_pct	G_pct	G_B_pct	Gmargin_A	Gmargin_B	Lworld_WALS	Lworld_GB	V_checked_pct	C_gate	U_vault_pct	WORD_top10_pct	SIGN_top1_pct	SIGN_top5_pct	V_referent_pct
baseline	4.712	24.9	56.2	16.6	0	4														
loop 1 (set 176)	4.712	24.9	72.9	16.6	0	4														
loop 2 (set 177)	4.712	24.9	81.1	16.6	0	4														
loop 3 (set 178)	4.712	24.9	81.1	16.6	0	4	41.4													
loop 9 (set 184)	4.712	24.9	81.3	16.6	0	4	41.4													
loop 16 (set 191)	4.712	24.9	81.3	16.6	0	4	41.4	80.2	72.3											
loop 18 (set 193)	4.712	24.9	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7									
loop 19 (set 194)	4.697	25.2	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7									
loop 21 (set 196)	4.697	25.2	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7	81.3	68.3							
loop 24 (set 199)	4.685	25.3	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7	81.3	68.3							
prize tiers (after loop 24)	4.685	25.3	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7	81.3	68.3	0.008	1	0.0	3.0	36.2	58.4	
loop 29 (set 204)	4.685	25.3	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7	81.3	68.3	0.008	1	0.0	3.0	37.9	60.0	
loop 35 (set 210)	4.675	25.5	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7	81.3	68.3	0.008	2	0.0	3.0	38.3	60.6	
loop 36 (set 211)	4.635	26.1	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7	81.3	68.3	0.008	2	0.0	3.4	39.7	61.8	
loop 38 (set 213)	4.610	26.5	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7	81.3	68.3	0.008	2	0.0	3.9	39.8	62.1	
loop 39 (set 214)	4.594	26.8	81.3	16.6	0	4	41.4	80.2	72.3	46.2	34.7	81.3	68.3	0.008	2	0.0	3.4	39.7	61.7	
loop 40 (set 215)	4.610	26.5	84.2	16.6	0	4	41.4	80.2	72.3	46.2	34.7	81.3	68.3	0.008	2	0.0	3.9	39.8	62.1	
loop 41 (set 216)	4.610	26.5	84.2	16.6	0	4	41.4	80.2	72.3	46.6	35.1	81.3	68.3	0.008	2	0.0	3.9	39.8	62.1	
loop 45 (set 220)	4.610	26.5	84.2	16.6	0	4	41.4	80.2	72.3	46.6	35.1	85.1	77.0	0.008	2	0.0	3.9	39.8	62.1	
loop 46 (set 221)	4.610	26.5	84.2	16.6	0	4	41.4	80.2	72.3	47.2	35.9	85.1	77.0	0.008	2	0.0	3.9	39.8	62.1	
loop 47 (set 222)	4.610	26.5	84.2	16.6	0	4	41.4	80.2	72.3	47.3	36.0	85.1	77.0	0.008	2	0.0	3.9	39.8	62.1	
correction: first withdrawn (after set 223)	4.635	26.1	84.2	16.6	0	4	41.4	80.2	72.3	47.3	36.0	85.1	77.0	0.008	2	0.0	3.4	39.7	61.8	
loop 58 (set 233)	4.635	26.1	84.2	16.6	0	4	41.4	80.2	72.3	47.3	36.0	85.1	77.0	0.008	2	0.0	3.4	39.7	61.8	0.38
loop 60 (set 235)	4.635	26.1	84.2	16.6	0	4	41.4	80.2	72.3	47.3	36.0	85.1	77.0	0.008	3	0.0	3.4	39.7	61.8	0.38
loop 62 (set 237)	4.635	26.1	84.2	16.6	0	4	41.4	80.2	72.3	47.3	36.0	85.1	77.0	0.008	3	0.0	3.4	39.7	61.8	0.61
loop 68 (set 243)	4.635	26.1	84.2	16.6	0	4	41.4	80.2	72.3	47.3	36.0	85.1	77.0	0.008	3	0.0	3.4	39.7	61.8	0.84
audit: part-texts merged (after set 247)	4.635	26.1	84.2	16.6	0	4	41.4	80.2	72.3	47.3	36.0	85.1	77.0	0.008	3	0.0	3.4	39.7	61.8	0.76
