id	line	pos	cisi	text_with_gap	m77_ids	m77_values	reading
53.1	0	3	Ch-1	705 550 740 ??? 220	9101.0	?	illegible
115.1	1	1	C-33	740 ??? 220			no match
121.2	0	6	C-40	66 900 31 235 240 835 ??? 740			no match
126.1	1	2	-	13 742 ??? 760 740			no match
147.1	0	1	-	90 ??? 817 317			no match
183.1	0	1	-	160 ??? 415			no match
208.1	0	1	-	892 ??? 740	4592.10 5453.10	803	803
213.1	0	1	H-1369	33 ??? 34			no match
223.1	0	3	H-1042	817 2 220 ??? 923 740	4101.0	231	231
228.2	0	1	-	32 ??? 31 700			no match
289.1	0	1	-	828 ??? 740			no match
290.2	0	1	H-1112	255 ??? 520	6304.0	70	70
497.2	0	2	H-1836	809 809 ??? 740 400			no match
512.1	0	3	H-1816	413 575 335 ??? 33 740	4344.20 4351.20 4672.20 5254.20	717	717
588.1	0	1	-	470 ??? 158			no match
595.1	0	1	H-1892	700 ??? 220			no match
600.1	0	1	H-2005	861 ??? 175 752 740			no match
697.1	0	1	H-2000	91 ??? 32 700			no match
708.1	0	1	H-2268	34 ??? 495 740			no match
744.2	0	5	H-1993	95 390 2 4 220 ??? 740			no match
755.2	0	1	H-1947	31 ??? 740	1187.0 2629.0 4574.10	176 388 ?	conflict
824.2	0	2	H-1775	33 700 ??? 220			no match
1088.1	0	2	H-28	634 705 ??? 595			no match
1271.1	0	2	H-246	240 233 ??? 804 400	4373.10 4702.10 5283.10	740	740
1313.1	0	1	H-291	235 ??? 927 740 400	4440.10 4646.10 5276.10	32 590	conflict
1316.1	0	1	-	820 ??? 175 235 320 920 520			no match
1433.1	0	1	H-443	223 ??? 368			no match
1767.2	0	1	H-884	32 ??? 585	4437.20	510	510
1806.1	0	1	H-926	220 ??? 840 740 400	1529.0 1530.0 5487.0	13 32	conflict
1851.1	0	1	H-974	892 ??? 740	4592.10 5453.10	803	803
1905.1	0	1	K-31	350 ??? 740	8007.0	717	717
1943.1	0	3	K-88	861 2 460 ??? 740	1022.0 1078.0 1098.0 1162.0 1181.0 1328.0 1334.0 1351.0 1466.0 2011.0 2051.0 2057.0 2288.0 2403.0 2450.0 2476.0 2478.0 2533.0 2618.0 2631.0 2680.0 3121.0 4057.0 4088.0 4090.0 4268.0 4314.10 4343.10 4375.10 5237.10 5238.10 5239.10 5240.10 5264.10 6124.1 6204.1 6224.0 7088.0 9001.0	100 136 142 176 222 255 335 384 455 460 482 585 615 632 7 760 770 773 776 803 904 923 ?	conflict
1972.1	0	5	Kd-7	3 111 1 850 741 ??? 220 31			no match
2033.1	0	1	L-78 	503 ??? 740 90	7077.0	615	615
2049.1	0	3	L-95	880 2 175 ??? 740	1416.0 7042.0	460 760	conflict
2050.1	0	1	L-96	692 ??? 400			no match
2157.1	0	2	M-2064	31 142 ??? 1 390			no match
2171.1	0	1	-	2 ??? 511 130 920			no match
2198.1	0	2	M-1895	285 2 ??? 923 740	1330.0 1351.0 3044.0	220 240 ?	conflict
2202.1	0	1	M-2005	31 ??? 2 33 808			no match
2315.1	0	1	M-1783	215 ??? 2 3 425	2601.1	872	872
2376.1	0	3	M-1842	861 2 235 ??? 520	1019.0 1057.0 1098.0 1158.0 1551.0 2251.0 2438.0 2485.0 2504.0 2523.0 2545.0 2674.0 4057.0 4088.0 4112.0 4232.0 6124.1 6204.1 6206.0 6217.0 7090.0	220 222 233 235 33 400 482 555 740 760 770	conflict
2400.1	0	2	M-1713	31 220 ??? 817			no match
2497.1	0	4	M-1679	353 460 741 705 ??? 585 176 740	1020.0	000	illegible
2589.1	0	5	M-61	689 615 455 220 231 ??? 740	3119.0	000	illegible
2590.1	0	1	M-62	551 ??? 550 741 32 226			no match
2692.1	0	2	M-167	780 368 ??? 156			no match
2693.1	0	2	M-168	920 60 ??? 705 277 31	2442.0	741	741
2961.1	0	1	M-477	706 ??? 400			no match
3085.1	0	1	M-636	216 ??? 2 32 220 235 555 527	2019.0	861	861
3090.1	0	2	M-646	817 2 ??? 440 760 740	2653.0	176	176
3175.1	0	1	M-752	404 ??? 550 527			no match
3247.1	0	2	M-835	817 2 ??? 171 35 740 90			no match
3307.1	0	1	M-902	90 ??? 2 798 740			no match
3391.1	0	1	M-999	32 ??? 232	2452.0	220	220
3464.1	0	2	M-1090	741 130 ??? 235 220 520			no match
3563.1	0	1	M-1231	240 ??? 740	1550.1 2321.0 2414.0 2502.0 2564.2 4485.10 4497.10 4670.10 6112.2	100 632 760 773 877 904	conflict
3637.1	0	1	M-1332	140 ??? 32 400			no match
3689.2	0	1	M-1397	360 ??? 705 167	2807.20	904	904
3691.1	0	3	M-1400	2 368 740 ??? 871			no match
3802.1	0	1	M-1578	104 ??? 740	3251.0	615	615
3840.1	0	1	M-1650	550 ??? 33 32 760 740 400	3505.0	861	861
3888.1	0	2	-	32 132 ??? 55 90			no match
3920.1	0	1	H-1035	632 ??? 435 400	5124.0	255	255
4006.1	0	2	M-1959	820 2 ??? 100 740	1178.0 1318.0 1344.0 1405.0 1407.0 2164.0 2168.0 2476.0 2533.0 2689.1 2691.0 2867.0 3044.0 4102.0 4134.0 5085.0 7068.0 7277.10 8104.10	156 17 220 231 240 350 390 415 456 5 590 705 717 ?	conflict
4024.1	0	1	M-2045	503 ??? 752 740	1708.10 1712.10 1804.10 1806.10 2909.10 2915.10 3306.10 3314.10 3339.10 3341.10 3342.10 3353.10 3359.10 3361.10 3371.10 3379.10 3386.10 3403.10 3404.10	615	615
4034.1	0	5	M-2087	861 2 904 740 32 ??? 820			no match
4042.1	0	2	M-2109	415 220 ??? 400	1531.0	740	740
4044.1	0	2	M-2111	415 220 ??? 400	1531.0	740	740
4078.1	0	1	H-1305	705 ??? 400	2844.10	167	167
4148.1	0	1	-	33 ??? 267 2 255 435 690 740			no match
4156.1	0	2	-	820 2 ??? 520	1327.0 7257.0	231 70	conflict
4205.1	0	1	-	742 ??? 740 740			no match
4216.1	0	1	-	235 ??? 520	1380.0 4285.0	231 240	conflict
4219.1	0	1	-	900 ??? 820 32			no match
4314.1	0	2	-	820 2 ??? 520	1327.0 7257.0	231 70	conflict
5191.1	0	2	M-654	31 91 ??? 368			no match
5222.1	0	3	-	255 13 744 ??? 740	9852.0	892	892
5468.1	0	2	-	688 317 ??? 2 361			no match
