id	cisi	line	pos	text_with_gap	m77	copies_removed	predicted_top5
42.1	B-24	0	5	900 484 380 900 158 ??? 90 906	400	1	740 400 2 220 741
95.1	C-7	0	0	??? 2 798 240 705 33 520	861	1	861 820 817 692 877
376.2	H-1800	0	0	??? 390 740 400	590	48	590 32 125 861 140
388.2	H-1874	0	0	??? 455 220 2	710	6	920 125 861 31 371
411.2	H-1865	0	0	??? 2 61 702 740	861	2	817 861 820 877 368
498.2	H-1921	0	3	240 233 740 ???	679	15	90 400 740 845 520
1398.1	H-383	0	0	??? 2 705 33 17 585 740	861	1	861 817 820 32 585
1450.1	H-461	0	0	??? 452 2 384 740 90	904	1	60 861 820 817 32
1522.1	H-569	0	0	??? 32 220 240 840 32 740	741	1	2 806 240 798 803
1556.1	H-641	0	0	??? 705 503 100 740 61 405	220	1	235 233 240 140 31
1660.1	H-768	0	0	??? 235 233 705 33 740 400	803	1	803 806 2 55 861
1731.1	H-845	0	0	??? 840 740 400	13	48	13 416 2 32 861
1936.1	K-80	0	0	??? 206 368 60 31 156	820	1	861 820 817 32 235
1985.1	L-2	0	0	??? 390 60 233 550 527 1 353	347	1	803 590 32 4 125
2247.1	-	0	0	??? 405 798 740	590	6	590 4 61 140 3
2311.1	M-1832	0	0	??? 2 31 554 527	861	1	861 820 817 31 32
2360.1	M-1971	0	6	798 415 220 706 33 550 ???	527	1	527 740 520 400 615
2395.1	M-1663	0	0	??? 742 175 416 840 760 740	81	1	60 861 820 705 615
2510.1	M-1884	0	0	??? 416 2 16 220 520	550	1	315 2 861 820 817
2555.1	M-27	0	0	??? 900 702 741 803 235 565	3	1	3 5 2 4 140
2583.1	M-55	0	5	692 1 510 463 760 ???	740	1	740 400 520 390 90
2744.1	M-220	0	4	545 741 165 590 ???	740	1	740 390 405 400 892
2939.1	M-454	0	0	??? 2 240 840 32 740	861	5	861 817 820 615 31
2982.1	M-505	0	0	??? 233 384 740	806	8	240 235 803 2 861
3083.1	M-633	0	5	615 615 745 235 71 ???	405	0	740 405 407 400 520
3144.1	M-720	0	6	817 2 32 220 923 740 ???	32	1	400 740 1 90 520
3257.1	M-845	0	4	632 460 2 61 ???	740	1	740 405 151 400 407
3395.1	M-1003	0	0	??? 1 3 900 740	503	1	820 900 861 692 817
3422.1	M-1045	0	0	??? 820 2 32 70 415 100 740	741	1	741 820 861 32 705
3478.1	M-1107	0	0	??? 2 103 240 740 565	877	1	861 817 820 877 880
3605.1	M-1300	0	0	??? 747 1 142 615 615	861	3	861 820 32 920 60
3740.1	M-1474	0	4	255 435 690 740 ???	400	8	740 400 90 520 405
3981.1	H-1151	0	0	??? 840 740 400	13	48	13 416 2 32 861
5334.1	K-419	0	0	??? 2 912 740	861	22	861 817 820 877 740
