cisi	pdf_page	reading	note
C-33	371	illegible	worn button seal, impression shows only the outer signs
C-40	374	illegible	corroded copper object; line visible, gap sign not resolvable
H-28		not examined	page not located in the scan
H-246	253	illegible	small bas-relief tablet; gap sign merged with its neighbours
H-291	260	illegible	small incised tablet, photo too small to identify the sign
K-31	340	illegible	worn seal and impression
K-88	353	illegible	sealing with several overlapping impressions
L-78	293	illegible	worn seal; gap sign faint in both photos
L-95	296	illegible	damaged surface at the gap
L-96	296	illegible	broken edge at the gap
M-61	64	illegible	400-dpi crop; strokes blurred at the scan resolution
M-62	64	illegible	400-dpi crop; gap sign not separable from the break
M-167	85	illegible	seal broken across the text
M-168	86	illegible	seal broken across the text
M-477	150	illegible	worn copper tablet
