id	cisi	site	type	line	pos	text_with_gap
53.1	Ch-1	Chandigarh	POT:T:g	0	3	705 550 740 ??? 220
115.1	C-33	Chanhu-daro	MISC	1	1	740 ??? 220
121.2	C-40	Chanhu-daro	IMPL	0	6	66 900 31 235 240 835 ??? 740
126.1	-	Dholavira	SEAL:S	1	2	13 742 ??? 760 740
147.1	-	Failaka	SEAL:C	0	1	90 ??? 817 317
183.1	-	Harappa	POT:T:g	0	1	160 ??? 415
208.1	-	Harappa	TAB:I	0	1	892 ??? 740
213.1	H-1369	Harappa	POT:T:g	0	1	33 ??? 34
223.1	H-1042	Harappa	SEAL:S	0	3	817 2 220 ??? 923 740
228.2	-	Harappa	TAB:I	0	1	32 ??? 31 700
289.1	-	Harappa	POT:T:g	0	1	828 ??? 740
290.2	H-1112	Harappa	TAB:B	0	1	255 ??? 520
497.2	H-1836	Harappa	TAB:B	0	2	809 809 ??? 740 400
512.1	H-1816	Harappa	TAB:B	0	3	413 575 335 ??? 33 740
588.1	-	Harappa	SEAL:R	0	1	470 ??? 158
595.1	H-1892	Harappa	TAB:B	0	1	700 ??? 220
600.1	H-2005	Harappa	TAB:B	0	1	861 ??? 175 752 740
697.1	H-2000	Harappa	TAB:B	0	1	91 ??? 32 700
708.1	H-2268	Harappa	POT:T:g	0	1	34 ??? 495 740
744.2	H-1993	Harappa	TAB:B	0	5	95 390 2 4 220 ??? 740
755.2	H-1947	Harappa	TAB:B	0	1	31 ??? 740
824.2	H-1775	Harappa	TAB:B	0	2	33 700 ??? 220
1088.1	H-28	Harappa	SEAL:S	0	2	634 705 ??? 595
1271.1	H-246	Harappa	TAB:B	0	2	240 233 ??? 804 400
1313.1	H-291	Harappa	TAB:I	0	1	235 ??? 927 740 400
1316.1	-	Dholavira	SEAL:S	0	1	820 ??? 175 235 320 920 520
1433.1	H-443	Harappa	SEAL:S	0	1	223 ??? 368
1767.2	H-884	Harappa	TAB:I	0	1	32 ??? 585
