sign	tokens	icit	m77_added	initial	medial	final	left	right	as_name_end_740	as_name_end_520	numeral	fish_series	fairservis	anchor	role
740	1959	1267	692	3%	29%	68%	176:173 760:143 100:117	$:1358 400:297 90:112	1	0			J-5 pot with handles		ending
2	878	583	295	4%	88%	8%	861:266 817:118 820:102	240:88 $:74 32:51	14	0	2 short		P-2 locative case (two short strokes)		numeral
400	575	338	237	3%	9%	89%	740:297 156:30 520:17	$:524 740:13 520:11	11	11			L-9 comb		ending
32	504	261	243	41%	52%	6%	^:209 2:51 840:48	700:82 740:77 220:76	76	0	2 long				numeral
220	492	296	196	19%	71%	10%	^:95 415:93 32:76	$:74 520:70 740:53	41	65		yes	Q-1 the twist L-3 affixed by P-11 (the drawing is the ICIT 'fish' shape)		520-name
33	423	209	214	43%	52%	5%	^:180 705:129 706:39	700:150 520:57 $:29	7	56	3 long				numeral
700	382	81	301	22%	9%	69%	33:150 ^:84 32:82	$:320 700:12 97:8	1	0			J-1 container (pot, basket ?) used to measure quantity		other
240	377	256	121	30%	66%	4%	^:113 2:88 235:47	520:46 233:34 632:27	21	44		yes	Q-5 Q-1 with horn affix (see A-4), the cattle horns		520-name
861	359	169	190	75%	19%	6%	^:270 416:6 495:5	2:266 $:29 368:26	14	0			N-5 settlement (village or town)		opener
520	316	233	83	1%	16%	83%	220:70 33:57 240:46	$:264 400:17 32:13	0	0			H-5 a point or spear		ending
390	294	204	90	6%	45%	49%	590:71 4:30 3:28	$:148 740:52 2:17	51	0			E-3 stalk of grain (abbreviated form)		740-name
235	285	186	99	45%	52%	4%	^:127 2:51 806:17	240:47 705:30 233:29	6	8		yes	"Q-6 Q-1 with P-4 (caret over the ""fish"")"		520-name
615	273	173	100	14%	61%	25%	615:95 503:40 ^:38	615:95 $:70 752:29	19	0			G-16 enclosure divided into compartments		740-name
705	263	122	141	35%	60%	5%	^:91 235:30 233:23	33:129 500:17 $:15	4	0					other
820	251	177	74	69%	22%	9%	^:173 820:14 595:7	2:102 $:30 60:26	3	0			F-2 full moon		opener
60	250	175	75	4%	90%	6%	920:67 692:56 550:34	741:39 240:21 $:16	3	0					other
741	244	155	89	14%	80%	6%	60:39 ^:34 500:22	$:17 240:14 176:13	3	1			J-6 pot J-5 with affix (see P-1)		other
405	243	89	154	5%	47%	48%	590:50 501:29 4:22	$:122 740:49 2:32	44	0			E-2 stalk of grain		740-name
176	243	146	97	49%	49%	2%	^:120 220:19 2:18	740:173 100:19 156:8	148	0					740-name
590	236	152	84	23%	67%	9%	^:55 235:24 690:21	390:71 405:50 $:22	4	0			G-9 enclosure with pillar or pole		other
3	229	160	69	57%	41%	3%	^:130 2:28 60:9	156:39 390:28 220:21	0	0	3 short				numeral
31	221	145	76	42%	46%	12%	^:92 2:21 60:9	$:32 2:14 156:13	8	5	1 long		H-8 (possibly ?) staff, rod, spear		numeral
233	219	140	79	25%	70%	5%	^:55 240:34 235:29	520:28 705:23 740:14	4	28		yes			520-name
1	201	153	48	6%	86%	8%	740:21 820:19 595:16	$:18 142:16 55:10	0	3	1 short		P-1 genitive possessive affix (short stroke)		numeral
90	178	109	69	15%	19%	66%	740:112 ^:27 90:14	$:120 90:14 400:13	0	1			A-1 a man		ending
806	177	102	75	46%	51%	2%	^:82 467:31 2:21	156:25 845:21 235:17	2	0			F-5 sun affixed by fire affix (see F-13)		other
415	175	112	63	32%	62%	6%	^:56 798:23 2:16	220:93 100:49 $:11	0	0			Q-11 L-9 turned to horizontal with affix P-1 (comb on post)		other
920	171	114	57	54%	43%	4%	^:92 320:28 140:13	60:67 255:22 740:17	16	2			F-6 sun on the horizon		other
156	161	80	81	8%	18%	74%	3:39 806:25 ^:13	$:126 400:30 2:1	0	0					other
798	158	101	57	30%	65%	5%	^:48 2:18 460:17	740:49 240:23 415:23	44	0			Q-10 F-1 combined with I-11		740-name
760	157	87	70	6%	90%	3%	605:17 840:11 ^:10	740:143 $:5 400:2	141	0					740-name
817	145	145	0	88%	9%	3%	^:128 491:5 390:2	2:118 740:8 368:7	8	0					opener
255	145	84	61	35%	60%	5%	^:51 920:22 705:9	435:74 740:19 436:13	18	0					740-name
