line	position	sign	key_value	reading	grade	coherent	emendation
1	1	F	s	s	I	1	
1	2	x	a	a	I	1	
1	3	7d	p	p	I	1	
1	4	4	e	e	I	1	
1	5	P	r	r	I	1	
1	6	S	a	a	I	1	
1	7	1	u	u	I	1	
1	8	7	o	o	I	1	
1	9	F	s	s	I	1	
1	10	9d	t	t	I	1	
1	11	P	r	r	I	1	
1	12	x	a	a	I	1	
1	13	n	m	m	I	1	
1	14	S	a	a	I	1	
1	15	Sd	g	g	I	1	
1	16	4	e	e	I	1	
1	17	F	s	s	I	1	
1	18	9	o	t	I	1	9 without secure dot in magesta; restore 9d by context.
1	19	S	a	a	I	1	
1	20	2d	c	c	I	1	
1	21	0	h	h	I	1	
1	22	4	e	e	I	1	
1	23	8d	q	q	I	1	
1	24	1	u	u	I	1	
1	25	4	e	e	I	1	
1	26	F	s	s	I	1	
1	27	9d	t	t	I	1	
1	28	7	o	o	I	1	
1	29	S2	?	[S2]	M	0	
1	30	3d	d	d	I	1	
1	31	4	e	e	I	1	
1	32	Sd	g	g	I	1	
1	33	r	l	l	I	1	
1	34	3	i	i	I	1	
1	35	1d	b	b	I	1	
1	36	4	e	e	I	1	
1	37	m	n	n	I	1	
1	38	3	i	i	I	1	
1	39	3d	d	d	I	1	
1	40	4	e	e	I	1	
1	41	r	l	l	I	1	
2	1	D	?	[D]	M	0	
2	2	7d	p	p	I	1	
2	3	4	e	e	I	1	
2	4	L	r	r	I	1	
2	5	8d	q	q	I	1	
2	6	1	u	u	I	1	
2	7	S	a	a	I	1	
2	8	m	n	n	I	1	
2	9	9	o	t	I	1	Missing or displaced dot in quanto.
2	10	7	o	o	I	1	
2	11	L	r	s	I	1	Open-loop form transcribed L; si dice requires s, probably copied/misclassified F.
2	12	3	i	i	I	1	
2	13	3d	d	d	I	1	
2	14	8	i	i	I	1	
2	15	2d	c	c	I	1	
2	16	4	e	e	I	1	
2	17	F	s	s	I	1	
2	18	2	o	o	I	1	
2	19	m	n	n	I	1	
2	20	7d	p	p	I	1	
2	21	4	e	e	I	1	
2	22	P	r	r	I	1	
2	23	1	u	u	I	1	
2	24	4	e	e	I	1	
2	25	m	n	n	I	1	
2	26	1d	b	u	I	1	Dot near straight stroke in pervenuti; b produces pervenbti.
2	27	9d	t	t	I	1	
2	28	8	i	i	I	1	
2	29	2d	c	c	I	1	
2	30	3	i	i	I	1	
2	31	L	r	r	I	1	
2	32	2d	c	c	I	1	
2	33	x	a	a	I	1	
3	1	3	i	i	I	1	
3	2	m	n	n	I	1	
3	3	r	l	l	I	1	
3	4	3	i	i	I	1	
3	5	m	n	n	I	1	
3	6	4d	f	f	I	1	
3	7	P	r	r	I	1	
3	8	S	a	a	I	1	
3	9	F	s	s	I	1	
3	10	2d	c	c	I	1	
3	11	P	r	r	I	1	
3	12	3	i	i	I	1	
3	13	9d	t	t	I	1	
3	14	4	e	e	I	1	
3	15	7d	p	p	I	1	
3	16	S	a	a	I	1	
3	17	L	r	r	I	1	
3	18	1	u	u	M	0	
3	19	9d	t	t	I	1	
3	20	8	i	i	I	1	
3	21	9d	t	t	I	1	
3	22	4	e	e	I	1	
3	23	2d	c	c	I	1	
3	24	3	i	i	I	1	
3	25	7	o	o	I	1	
3	26	4	e	e	I	1	
4	1	8	i	i	I	1	
4	2	m	n	n	I	1	
4	3	3d	d	d	I	1	
4	4	4	e	e	I	1	
4	5	m	n	n	I	1	
4	6	x	a	a	I	1	
4	7	L	r	r	I	1	
4	8	3	i	i	I	1	
4	9	2d	c	c	I	1	
4	10	7	o	o	I	1	
4	11	m	n	n	I	1	
4	12	9d	t	t	I	1	
4	13	x	a	a	I	1	
4	14	m	n	n	I	1	
4	15	9d	t	t	I	1	
4	16	3	i	i	I	1	
5	1	3	i	i	I	1	
5	2	m	n	n	I	1	
5	3	2d	c	c	I	1	
5	4	P	r	r	I	1	
5	5	4	e	e	I	1	
5	6	3d	d	d	I	1	
5	7	8	i	i	I	1	
5	8	9d	t	t	I	1	
5	9	3	i	i	I	1	
5	10	3d	d	d	I	1	
5	11	4	e	e	I	1	
5	12	T	s	s	M	0	
5	13	7	o	o	M	0	
5	14	D	?	[D]	M	0	
5	15	7d	p	p	I	1	
5	16	4	e	e	I	1	
5	17	L	r	r	I	1	
5	18	Q	?	[Q]	M	0	
5	19	8	i	i	I	1	
5	20	m	n	n	I	1	
5	21	9d	t	t	I	1	
5	22	4	e	e	I	1	
5	23	P	r	r	I	1	
5	24	3d	d	d	I	1	
5	25	8	i	i	I	1	
5	26	9d	t	t	I	1	
5	27	3	i	i	I	1	
5	28	4	e	e	I	1	
5	29	9d	t	t	I	1	
5	30	7d	p	p	I	1	
6	1	2	o	o	I	1	
6	2	3	i	i	I	1	
6	3	r	l	l	I	1	
6	4	4	e	e	I	1	
6	5	1	u	u	I	1	
6	6	S	a	a	I	1	
6	7	9d	t	t	I	1	
6	8	3	i	i	I	1	
7	1	7d	p	p	I	1	
7	2	4	e	e	I	1	
7	3	P	r	r	I	1	
7	4	Sd	g	g	I	1	
7	5	r	l	l	I	1	
7	6	3	i	i	I	1	
7	7	4d	f	f	I	1	
7	8	P	r	r	I	1	
7	9	1	u	u	I	1	
7	10	9d	t	t	I	1	
7	11	3	i	i	I	1	
7	12	3d	d	d	I	1	
7	13	4	e	e	I	1	
7	14	1	u	u	I	1	
7	15	m	n	n	I	1	
7	16	S	a	a	I	1	
7	17	m	n	n	I	1	
7	18	m	n	n	I	1	
