# JQA St Petersburg code (the = 1385), one value per number, built by consolidate.py
# number	value	grade (H clerk decode, C Ford-aligned, M uncertain, I slot inference)	support
4	however	H	4x
5	London	C	1x
9	character	H	1x
13	observation(s)	M	2x; also according
16	Emperor	H	17x; also em/emperors
17	promised	C	1x; also promises
20	ministers	M	1x
21	Minister	H	3x; also min
23	agreeable	C	1x
24	struc	H	4x
26	fication	C	1x
29	United States	C	1x
31	such	H	10x
37	together	C	4x
39	Sweden	H	3x
40	circumstances	H	1x
41	commu	M	4x; also communica
44	negotiation	H	4x; also confide
45	principal	M	1x; also principals
46	circumstance	C	3x; also circum
49	unitedstates	M	6x; also us/usus
58	that	M	1x; also ration
62	yesterday	C	1x
63	quir	H	2x; also quired
64	know	H	8x
65	amer	C	5x; also america
68	foreign	H	3x
70	commerce	H	2x; also necessary
71	commerce	H	13x; also com
72	measure	H	3x; also were/commerce
74	question	C	2x
76	February	M	1x
78	President	C	1x
81	objection	C	1x
83	opposition	C	2x
87	South	H	1x
90	should	H	10x
91	should	M	1x; also merchants
92	measures	M	2x; also measure
93	according	M	1x
94	therefore	M	3x; also negotiation
96	Denmark	C	1x
97	(re)solution	M	1x
98	lutions	M	1x
100	correspond	C	2x
103	change	H	3x
105	commence	C	2x; also hence
106	we	M	1x; also mu
107	common	H	1x
108	comply	I	1x
109	concern	M	4x; also con/concerned
110	concili	C	2x
111	conclude	C	1x
112	condi	M	1x
113	confer	H	2x
114	confided	H	1x
118	consider	H	14x; also regard/considered
120	consul	C	3x
122	contest	C	1x
123	con	H	1x
129	man	H	13x; also eng
131	ministry	C	1x
134	mis	H	override: clerk 0182L8 pre-mis-ing; 0206 clerk read mem in mem-bers (homophone or clerk's syllable split)
135	motion	M	1x
136	mission	H	1x
137	mit	H	4x
141	mo	H	5x
142	mod	C	1x
143	mod	I	1x
144	mol	C	1x
145	moment	H	4x
146	mon	H	5x
148	iff	M	1x; also money
149	months	M	1x; also month
150	mor	H	2x
151	more	H	5x
153	most	H	5x
156	motive	C	1x; also mo
157	pos	M	1x; also motive/more
158	moved	C	1x
159	mour	H	1x
161	mu	H	8x; also more
162	much	H	5x
163	mul	M	1x
164	state	C	1x
166	mu	M	1x
167	my	H	13x; also he
168	ey	I	1x
169	he	H	54x; also my
170	heard(part)	M	1x; also he
171	hea	C	1x; also head
172	hear	M	1x
174	held	H	1x
175	hither	C	1x
177	her	H	6x; also hi
178	here	C	3x; also hos
179	hibit	C	1x
180	high	C	3x
181	mu	H	1x
182	him	H	25x
183	hin	H	2x
184	his	H	35x
185	hither	C	1x
186	hop	M	1x
188	hold	H	2x
191	hon	H	1x
193	hon	C	3x; also honor
194	(false)hood?	M	1x
195	hope	H	4x
198	hos	C	3x; also he
199	how	H	2x
200	hum	H	1x
201	particular	C	2x
202	peculiar	C	1x
204	Portugal	H	3x
205	power	H	4x
206	ap	M	1x
207	practi(sed)	M	1x
208	pre	H	9x
209	pres	H	3x
210	present	H	2x
212	prevent	M	1x
213	pri	C	2x
215	Prince	H	5x
216	principle	M	1x
217	print	M	1x
219	pro	H	21x; also so/pr
220	probab	H	override: clerk 0047R19 'probab-le that' (over 220 586), 0190L6 'pro-bable' (220 586), 0190R26 'pro-bably' (220 897): probab; the lone 0184R11 'proper' (underlined) is the outlier (22 Sept 2026)
221	produc	C	1x
222	produce	M	1x; also pro/produced
225	pro	M	1x
226	proper	C	2x
228	pre	C	1x
229	pu	C	4x; also pur
230	pub	H	2x; also publi
231	put	M	1x
232	pies	H	1x
234	sin	C	4x; also sp
235	since	H	5x; also ago
236	sion	H	9x; also sions/s
237	sis	H	5x
238	sit	M	2x; also si
239	sive	I	1x
245	sm	M	1x
247	small	H	2x
249	so	H	22x; also our
250	some	H	9x; also son
251	u (universally)	M	1x
252	str	M	override: dem-on-str-ation (No. 88 rem l.10), clerk str 0206L9; sp readings are other splits
253	sort	H	2x
254	sp	C	override: sp-ea-king (0066b2, Ford 4:74); clerk spea/spok by the next group
256	Spain	H	5x
257	soon	C	2x; also speci
262	st	H	23x; also ste
263	stat	M	1x; also sta
264	state	H	7x
268	ern	C	1x
270	es	M	1x
271	es	C	6x; also ess/nies/res
272	ests	M	2x; also es/est/st
273	establishe	C	1x; also establish
275	et	C	1x; also ted
276	ette	C	1x
280	pub	M	1x
281	put	M	1x; also eva
282	even	H	5x
283	event	H	5x; also events/ex
284	ever	C	3x
286	evi	M	1x
287	Europe	H	1x
288	ew	C	5x
289	ex	H	13x
290	ex	M	1x
291	es	C	1x
293	execu	C	1x
295	ex	H	6x
297	ex	M	2x; also expressed
300	extreme	C	1x
302	fa	M	1x
305	fact	H	2x; also facts
306	tisfaction	M	1x
308	fail	M	2x; also bas/sup
310	fall	C	2x; also false/fals
313	far	H	4x
317	fav	C	1x; also fa
318	favor	H	5x
319	fe	C	3x
321	feat	C	1x
322	fect	H	6x
325	feel	H	1x
327	fer	H	2x; also ferr
329	few	H	4x
330	fi	H	9x
331	ficient	M	1x
332	fi	M	3x; also ficial
333	fic	C	2x
335	fied	M	1x
338	thus	M	1x
339	sug	M	1x
340	fil	C	1x
341	Fin	H	2x
342	fin	M	1x
345	first	H	6x
347	fit	C	2x
349	fix	C	1x
350	fl	I	override: in-fl-ex-ib-ly (No. 88 rem88 l.4, 350 with a hook under the 0); slot 347 fit < 350 < 352; the single Ford alignments disagree (1811 few, 1812 fi in con-fi-dence) (22 Sept 2026)
352	no	H	13x
356	none	H	1x
357	nor	H	3x
358	none	C	1x
360	not	H	23x; also no
361	no	H	2x; also noth
364	november	C	1x
366	now	H	3x
367	(trans)-	M	1x
369	nt	C	4x; also want/tiers/ts/t/nts
371	nu	M	1x
374	number	H	1x
377	nu	C	1x; also ny
380	sti	M	1x
381	st	C	2x; also str
382	str	H	9x; also s
383	tive	M	1x
384	sub	H	11x; also faci
385	suc	C	3x
386	sud	C	2x
387	sue	C	2x
388	suf	M	1x
389	sug	H	4x
391	sum	C	3x; also su
393	sup	C	1x; also low/left
394	su	C	2x
395	sur	H	5x
396	sure	H	4x
397	sus	M	1x
398	sw	C	2x; also ny
399	sy	C	5x
401	sian	H	override: clerk 0206R Rus-sian; also -ican/-en in Ameri-can, tak-en (0010, 0036 against Ford)
402	na	H	10x; also peror
403	nal	M	2x; also change
404	very	H	3x
407	nant	C	1x; also vi
411	nation	C	5x; also tral/nations
412	native	C	1x
413	natur	H	3x; also na
