# corrections to transcription/152r.txt, checked against pages/f152r.jpg with the known key (22 Sept 2026)
# x = crossed x-sign (e); r = the compact bold r-like sign (n); y = NEW code, x/r-headed sign with a large loop hanging below the line (read i/y, o, e by context)
line	old	new	reason
1	hxsxDxsm	hxsrDxsm	x->r: 4th sign is the compact r; derniers
1	+hioxsQDmmxppffxm	+hioxsQDmmxppffrm	x->r: sign after ff is the compact r; advertissemens (ff = e)
2	xxio:tm	xrio:.tm	x->r: 2nd sign compact r; ':' has a third dot (':.'); envois
2	S+xhxzos	S+rhxzos	x->r: sign after + compact r; grandeur
2	Wxn	Wxnn	two minim pairs (N-shaped join) after x, not one; les
3	3xrQ	yrQ	one sign, not two: x-head whose tail descends into a loop below the line (new code y), then r, circled n; value unclear (vont/sont?)
4	ffx	ffr	x->r: third sign compact r; en (ff = e)
4	Hrm	Hym	middle sign has a long descender curling into a loop below the line (new code y), not the compact r; pis
4	f:xQDxio+xQ	f:.rQDrio+rQ	x->r x3: all three are the compact r; ':' has a third dot; continuant
5	HWxzom	HWzom	no x between W and zo on the image; plus
6	3	y	sign is r-headed with a large loop below (new code y), not z-with-tail; y (a)
8	3	y	first word: r-headed sign with a large loop below (y), not z-with-tail
8	x:.Q+dWxm	r:.Q+dWxm	x->r: first sign compact r; notables
8	3	y	word before DnnmDnnQxrQ: r-headed sign with large loop below (y); que y assistent
9	3shDx+is3xppxrQ	yshDr+is3xppxrQ	first sign is the x-headed loop-below sign (y, reads o here); x->r after D (compact r); ordinairement
9	S+xh	S+rh	x->r: sign after + compact r; grand
10	nn:.xQ	nn:.rQ	x->r: compact r; sont
12	pp:.xQmxzoDdx+f	pp:.rQmxzoDdr+f	x->r x2: sign after ':.' and after d are the compact r; Mont...gnac
13	zos+3	zos+y	last sign r-headed with large loop below (y); vray
13	D3+xQ	Dy+rQ	2nd sign loop-below sign (y); 4th sign compact r; ayant
14	ffxio:3:.Q	ffrio:y:.Q	x->r after ff (compact r); sign after ':' is the loop-below sign (y); envoyoit
16	3xrQ	yrQ	one sign, not two: x-head with tail descending into a loop (y), then r, circled n; ont?
16	mxidxxzosm	mxidrxzosm	x->r: sign after d compact r; seigneurs
17	Wzo3	Wzoy	last sign r-headed with large loop below (y), not z-with-tail; luy
18	fg+fzox	fg+fzor	x->r: last sign compact r; chacun
19	W:dxDnnm+xf3x	W:dxDnnm+rf3x	x->r: sign after + compact r; obeissance
20	Dzo:3s	Dzo:ys	sign after ':' is the r-headed loop-below sign (y); avoir
21	H:.zoss:.3xrQ	H:.zoss:.yxrQ	sign after ':.' is y-shaped with a descender curling below (y), not z-with-tail; pourroyent
22	3mQs3x	ymQs3x	first sign x-headed with a large lead-in loop below the line (y); estre (word-initial: may be a flourished x)
24	[Tzo3]	[Tzoy]	struck word: last sign has the loop below (y)
24	Tzo:3	Tzo:y	last sign r-headed with large loop below (y); quoy
25	+zoWfzoxrppxrQ	+zoWfzorxppxrQ	order on the image is zo r x pp (compact r before x); aulcunement
25	7:.xQ	7:.rQ	x->r: compact r; font
28	xmQs+xdhxsm	xmQs4rdyxsm	sign after s is a looped 4, not +; x->r (compact r); sign after d is y-shaped with a descender (y), not h; estrangiers (4 for a: slip?)
28	Q3xxis	Q3xris	x->r: 4th sign compact r; tenir
