# corrections to transcription/152v.txt, checked against pages/f152v.jpg with the known key (23 Sept 2026)
# x = crossed/tailed x-sign (e); r = the compact bold r-like sign without a tail (n); y = x/r-headed sign with a loop below the line (i/y)
line	old	new	reason
3	dSs+xhxm	dSs+rhxm	x->r: sign after + is the compact r; grandes (d = g)
3	7+fQD:xm	7+fQD:rm	x->r: sign after : is the compact r; factions
6	m:3Q	m:yQ	sign after : is the x/r-headed sign with a loop below the line (y), not z-with-tail; soit
7	zoxx+	zorx	2nd sign after zo is the compact r; no + before the separator on the image (the + opens the next word); une
7	+mmxffd	+mmxppd	the two descenders under the heavy stroke are pp (as noted in the header comment), not ff; assemb-
7	ffx	ffr	x->r: compact r; en (ff = e)
10	f:xfWzoQ	f:.rfWzoQ	x->r: compact r after the dots; the dot pair has a third dot (:.); conclud
11	s:i3xrQ	s:iyxrQ	sign after i has the loop below the line (y), not z-with-tail; (mect)royent
14	zoxd	zord	x->r: compact r; ung
17	ds+xhxzos	ds+rhxzos	x->r: sign after + is the compact r; grandeur
17	xx	rx	x->r: first sign is the compact r; ne
18	x:ppd	r:ppd	x->r: first sign is the compact r; nomb(re)
18	ds+xh3	ds+rh3	x->r: sign after + is the compact r; grands
18	nnxidxxzosm	nnxidrxzosm	x->r: sign after d is the compact r; seigneurs
18	x:dWxmmx	r:dWxmmx	x->r: first sign is the compact r; noblesse
19	DxQxWWDdxrfx	DrQxWWDdxrfx	x->r: sign after D is the compact r; intelligence
20	xx	rx	x->r: first sign is the compact r; ne
20	hxfW+is3xxQ	hxfW+is3xrQ	x->r: sign before Q is the compact r; declairent
20	H:DxfQ	H:DrfQ	x->r: sign after D is the compact r; poinct
21	h:xrxrQ	h:rrxrQ	x->r: sign after : is the compact r; donnent
22	f:xnnxiW	f:rnnxiW	x->r: sign after : is the compact r; conseil
23	nnxidxxzos	nnxidrxzos	x->r: sign after d is the compact r; seigneur
23	f+zoWpp:xQ	f+zoWpp:.rQ	x->r: compact r; dot pair has a third dot; Caulmont
25	nnxidxzosDx	nnxidrzosDx	x->r: sign after d is the compact r; seigneurie
26	xr	rx	order on the image is compact r then x; ne (qu'il ne s'y face)
28	frhxio+xQ	fyhxio+rQ	sign after f has the loop below (y, not the compact r); x->r before Q; cydevant
29	ds+xhxzos	ds+rhxzos	x->r: sign after + is the compact r; grandeur
30	nnxidxxios	nnxidrxios	x->r: sign after d is the compact r; seigneur
31	f+zoWpp:xQ	f+zoWpp:.rQ	x->r: compact r (zoomed); dot pair has a third dot; Caulmont
31	x:ppppx	r:.ppppx	x->r: first sign is the compact r (zoomed); dot pair has a third dot; nomme
