# corrections to transcription/153r.txt, checked against pages/f153r.jpg with the known key (23 Sept 2026)
# x = crossed/tailed x-sign (e); r = the compact bold r-like sign without a tail (n); y = x/r-headed sign with a loop below the line (i/y)
line	old	new	reason
1	ffx	ffr	x->r: compact r; en (ff = e)
2	f+zoWpp:.xQ	f+zoWpp:.rQ	x->r: compact r; Caulmont
3	s+xm:.xm	s+ym:.rm	sign after + has the loop below the line (y), not x; x->r after :.; raisons
4	fxhxio+xQ	fyhxio+rQ	sign after f has the loop below (y); x->r before Q; cydevant
5	ds+xhxios	ds+rhxios	x->r: sign after + is the compact r; grandeur
5	sxpp:.zomQs+xfxm	sxpp:.zomQs+rfxm	x->r: sign after + is the compact r; remonstrances
7	zoxd	zord	x->r: compact r (zoomed); ung
15	Tzo:W	TzoiW	a single minim, not a dot pair, after zo; quil
15	dxm:.ixd	dxm:.ird	x->r: sign after i is the compact r (zoomed); besoing
21	ds+xhxzos	ds+rhxzos	x->r: sign after + is the compact r; grandeur
21	d.r	d:.r	dot pair plus third dot (:.), not a single dot; bon
23	ds+xhx3	ds+rhx3	x->r: sign after + is the compact r; grandes
29	ds+xhxios	ds+rhxios	x->r: sign after + is the compact r; grandeur
29	Dhio+mmxs+	DhioDmmxs+	4th sign descends with two bars (D), not +; advisera
