# corrections to transcription/153v.txt, checked against pages/f153v.jpg with the known key (22 Sept 2026)
# x = crossed x-sign (e); r = compact bold r-like sign (n); y = NEW code (as on 152r): x/r-headed sign with a large loop hanging below the line (reads i/y, once o). Formerly coded "e" on this page.
line	old	new	reason
1	S+rhxzoss+	S+rhxzos +	a word separator stands before the final +; grandeur a
1	ppxpp:.s3xm	ppxpp:..s3xm	a fourth dot follows ':.' (read as '.' = i); memoires
1	Wzoe	Wzoy	last sign has the large loop below the line (y); luy
2	[Wxr]	[Wxr] Wxm	interlinear replacement written above the struck word, now transcribed after it; contenant les abus
6	r	Z	first sign of the line is the large underlined Z-sign (pour), not the compact r; pour lesdicts seigneurs
7	hxQg:.rxrz	hxQg:.rxr3	last sign has a tail below the line (3 = s), not a plain z; de Thonens (Tonneins)
8	Wirxzo3	Wyxzo3	2nd sign is one loop-below sign (y), not minim + r; lieux
9	e	y	lone sign has the large loop below (y); y a
9	3shirisxppxrQ	yshir+isxppxrQ	first sign is the loop-below sign (y, reads o as on 152r), not z-with-tail; a + stands between r and i; ordinairement
11	Dmm4mQ3x	Dmm4mQx	no z-with-tail between Q and x on the image; assiste
11	Wzoe	Wzoy	loop-below sign (y); luy
11	e	y	lone loop-below sign (y); se y est
13	:.zox	:.zoy	last sign has the loop below (y); ouy
13	mif+e	mif+y	loop-below sign (y); sçay
15	hxdzo:.id	hxdzo:.is	last sign is a long s descending below the line, not d; devoir
15	e	y	loop-below sign (y); qu'il y a
16	Hzoem	Hzoym	loop-below sign (y); puis
18	+s3f+d:.m4xssnn	+s3f+d:.m4xs3m	ending is hooked s3 + three minims (m), not two long s + nn; arcabosiers (arquebusiers)
19	f:.rhioes3x	f:.rhioys3x	loop-below sign (y); conduire
19	mzoeio+rQ	mzoyio+rQ	loop-below sign (y); suivant
20	H+ ffx	4 ffr	the lone sign is the crossed 4 (roy), not H + +; x->r after ff (compact r); du roy en la ville
21	?sxSxes+f	dsxdxys+f	first sign is d with a heavy bar (not illegible), 4th is d not S, 6th is the loop-below sign; Bergerac (order/values uncertain)
21	r	Z	lone sign is the underlined Z-sign (pour), not the compact r; pour gaigner
24	+e+rQ	+y+rQ	loop-below sign (y); ayant
27	Zr	ffr	first word is the crossed double f (ff = e) + compact r, not the Z-sign; en renvoya
27	sxriore+	sxrio:y+	after io a ':' then the loop-below sign (y), not r + e; renvoya
28	mn+	nn+	two minim pairs (nn = s), not m + n; sa maison
28	pp+enn:.r	pp+ynn:.r	sign after + has the large loop below (y); maison
