# corrections to transcription/154r.txt, checked against pages/f154r.jpg with the known key (22 Sept 2026)
# x = crossed x-sign (e); r = compact bold r-like sign (n); y = NEW code (as on 152r): x/r-headed sign with a large loop hanging below the line (reads i/y). Formerly coded "e" on this page.
line	old	new	reason
1	nnxe	nnxy	last sign has the large loop below (y); s'y peuvent
4	nnzoennHxfQxm	nnzonnHxfQxm	only z + one round sign (the o drawn e-like) before nn; no separate e; suspectes
5	mf+e	mf+y	loop-below sign (y); sçay
6	pp+rhxppfxrQ	pp+rhxppxrQ	no f: the stroke is the crossbar of the second p; mandement
6	r+e	r+y	loop-below sign (y); n'ay
8	hxnnHzoenn	hxnnHzoynn	loop-below sign (y); despuis
10	Henn	Hynn	loop-below sign (y); pis
11	7+ppednn	7+pp?dnn	the 'e' is an ink blot, illegible (?); fam?us
12	mf+e	mf+y	loop-below sign (y); sçay
13	S4+xhxzos	S+rhxzos	the "4" is the hooked head of the S (δſ); x->r: sign after + is the compact r; grandeur (as S+rhxzos elsewhere)
14	DWWex	DWWyx	sign after WW has the loop below (y); alliée
21	fehxio+rQ	fyhxio+rQ	loop-below sign (y); cydevant
21	+e	+y	loop-below sign (y); ay (j'ay?)
21	xrio:.ex	xrio:.yx	loop-below sign (y); envoyé
23	s3xnndh+xnn	s3xnndh+rnn	x->r: sign after + is the compact r; residans
25	e	y	lone loop-below sign (y); y est
26	f:.xhioes3x	f:.rhioys3x	x->r: sign after ':.' is the compact r; loop-below sign (y) after io; conduire
27	WxfQrxs3x	WxfQixs3x	sign after Q is a single minim (i) followed by x, not r+x; lictiere
27	Hzoem	Hzoym	loop-below sign (y); puis
28	S4xhxzos	S+rhxzos	the "4" is the hooked S head + a cross (+); x->r: compact r after it; grandeur
29	fgrx7	fgix7	sign after g is a single minim (i), not r (as fgix7 on 153v.04); chief
