# corrections to transcription/156r.txt, checked against pages/f156r.jpg with the known key (22 Sept 2026)
# x = looped/tailed x-sign (e); r = the compact bold x/r-like sign without the tail (n)
line	old	new	reason
1	HW+dmmQ	HW+dmQ	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
1	73xhxppxxQ	73xrhxppxrQ	a compact r stands after the first x (omitted) and before Q (x->r)
1	HSxhSx	HSxrhSx	a compact r stands between x and h (omitted); prendre
2	QS:zoioxSxmm	QS:zoioxSxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
2	HxDxx	HxDrx	x->r: sign after D compact r; peine
3	+hioxSQDmmmmxppxxmm	+hioxSQDmmxppxrm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups; x->r: last-but-one sign compact r; advertissemens
3	f:xQixxQ	f:rQixrQ	x->r x2: after : and before last Q; contient
3	S+xh	dS+rh	the word begins with the delta (d) and the sign after + is compact r; grand
4	f3xxnnxTzo+xfx	f3xrnnxTzo+rfx	x->r x2: 3rd sign and sign before f compact r; consequence
5	f:ppppxfQxxQ	f:ppppxfQxrQ	x->r: sign before Q compact r; commectent
5	f:xQDxzoxxQ	f:rQDrzoxrQ	x->r x3: after :, after D, before last Q; continuent
6	SxdxWWxmm	SxdxWWxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
6	D:SxxWxppxxQ	D:SrxWxppxrQ	x->r x2: after S and before Q; journellement
7	xmmQ	xmQ	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
7	dxmm:Dxd	dxm:Drd	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups; x->r: sign after D compact r; besoing
8	zo::mmQSx	zo:nnQSx	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
8	H::iosio:ex	H:iosio:ex	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
