# corrections to transcription/156v.txt, checked against pages/f156v.jpg with the known key (22 Sept 2026)
# x = looped/tailed x-sign (e); r = the compact bold x/r-like sign without the tail (n)
line	old	new	reason
1	f::xQSx	f:rQSx	one dot pair (:), not two; sign after it is compact r; contre
1	dS+xh3	dS+rh3	x->r: sign after + compact r; grands
1	ppxx+mmxnn	ppxr+mmxnn	x->r: 3rd sign compact r; menasses
1	x+e	r+e	x->r: first sign compact r; (j')en ai
2	xff+miD:xm	xff+miD:rm	x->r: sign after : compact r; occasions
3	zoxd	zord	x->r: middle sign compact r; ung
4	xx	xr	x->r: second sign compact r; en
4	nnxx	nnxr	x->r: last sign compact r; s'en
4	DWW+xQ	DWW+rQ	x->r: sign before Q compact r; allant
4	f::zoSQ	f:zoSQ	one dot pair (:), not two; court
5	QxxdS	QxrdS	x->r: 3rd sign compact r
5	zo::mmQSx	zo:mQSx	one dot pair and one 3-minim group (the transcriber doubled both); vostre
5	dS+xhxzoS	dS+rhxzoS	x->r: sign after + compact r; grandeur
6	x	e	the lone sign is the epsilon e with a loop below the line, not x; y (il y avoit)
6	+hioxSQDmmmxppxxm	+hioxSQDmmxppxrm	two 3-minim groups (mm), not three; last-but-one sign compact r; advertissemens
6	dS+xh	dS+rh	x->r: sign after + compact r; grand
7	f:xmxTzo+xfx	f:rmxTzo+rfx	x->r x2: after : and after +; consequence
7	ffxmxppdWx	ffrmxppdWx	x->r: sign after ff compact r; ensemble
7	zoxx	zorx	x->r: middle sign compact r; une
9	mmzoHHWix	nnzoHHWix	the first group is four minims (nn), not two 3-minim groups; supplie
9	zo:mmQSx	zo:nnQSx	the minim group is four minims (nn); vostre
9	dS+xhxzoS	dS+rhxzoS	x->r: sign after + compact r; grandeur
11	+hioxSQDmmmxppxxm	+hioxSQDmmxppxrm	two 3-minim groups, not three; last-but-one sign compact r; advertissemens
11	x+	i+	the first sign is a small tick (i), not x: i+ = et
13	HSxmxxQxppxxQ	HSxmxrQxppxrQ	x->r x2: before each Q; presentement
13	zoxx	zorx	x->r: middle sign compact r; une
15	HSxmmDhieW	HSxnnDhieW	the minim group is four minims (nn), not two 3-minim groups; presidial
16	xxio::xx	xrio:ex	2nd sign compact r; one dot pair; after it the looped epsilon e, then x; envoie
16	ffxWWx	DfxWWx	the first sign is the double-barred ‡ (D) followed by one f, not ff; icelle
16	zo::mQSx	zo:nnQSx	one dot pair; minim group of four (nn); vostre
17	dS+xhxzoS	dS+rhxzoS	x->r: sign after + compact r; grandeur
17	H::zoSS+	H:zoSS+	one dot pair (:), not two; pourra
17	xxQxxhSx	xrQxrhSx	x->r x2: 2nd and 5th signs; entendre
18	hxm::ShSxm	hxm:ShSxm	one dot pair (:), not two; desordres
18	f::ppppxfQxxQ	f:ppppxfQxrQ	one dot pair; sign before Q compact r; commectent
19	DxzoSxxWWxppxxQ	DxzoSrxWWxppxrQ	x->r x2: after S and before Q; journellement
20	Hs::zoDxfxm	Hs:zoDrfxm	one dot pair; sign after D compact r; provinces
