record	folio	item	sign	value	class
R4285	f28r	code	94	le marquis	code
R4285	f28r	code	6	M. d'Entragues	code
R4285	f28r	code	23	la reine de Navarre	code
R4285	f28v	dateline	C	de	word
R4285	f28v	dateline	∞		null
R4285	f28v	dateline	6	r	letter
R4285	f28v	dateline	ƥ	a	letter
R4285	f28v	dateline	z	n	letter
R4285	f28v	dateline	ι	d	letter
R4285	f28v	dateline	◊	a	letter
R4285	f28v	dateline	é	n	letter
R4285	f28v	dateline	ι	d	letter
R4285	f28v	dateline	⊕	e	letter
R4286	f30r	code	45	le duc d'Espernon	code
R4286	f30r	run	π	l	letter
R4286	f30r	run	^	y	letter
R4286	f30r	run	ꭓ	o	letter
R4286	f30r	run	é	n	letter
R4286	f30r	run	∞		null
R4286	f30r	run	ƥ		null
R4286	f30r	run	F	et	word
R4286	f30r	run	ƨ	c	letter
R4286	f30r	run	h	e	letter
R4286	f30r	run	Ŧ	p	letter
R4286	f30r	run	◊	a	letter
R4286	f30r	run	7	i	letter
R4286	f30r	run	o	s	letter
