record	page	context	cipher	reading_note
7525	2	pour ... qui l'a oblige	22 35 37 15 44 70 74 20 21	Horyhorki
7525	2	mais le [94] veut ... dans le	25 36 19 37 25 36 25 18 31	estre seul
7525	2	dans le ... du [100]	29 37 25 30 21 19	credit
7525	2	et celuy qui commence	29 25 36 33 26 29 22 21 34 25	ces machine
7525	2	cete ... me fait beaucoup du tort	33 26 15 36 35 34	mayson
7525	2	il faut rendre	31 26 21 18 36 19 21 29 25	la iustice
7525	2	et tous nos	21 34 33 21 36	inmis (ennemis)
7527	2	ce que le	39 26 31 52 19 21 34	palatin
7527	2	de	17 21 31 34 26	Wilna
7527	2	luy a done un	35 28 31 21 23 26 19 42 35 34	obligation
7527	2	pour	36 26 34 19 33 21 31 24 37 26 34	sant mil fran (cent mille francs)
7527	2	sur le	28 15 29 22 35 17	Bychow
7527	2	en cas sy il ne	39 26 15 25	paye
7527	2	pas dans un	26 34 36	ans
7527	2	il sest promit de prendre le	28 15 29 22 35 17	Bychow
7527	2	prendre	34 35 36 33 25 36 35 18 37	nos mesour (nos mesures)
7527	2	jay peur que [94] ne	34 35 18 36 26 15 30 25 37 25 36 39 26 36	nous ayderes pas
7527	2	car son ... bien proche	26 31 21 52 34 29 25	aliance
7527	2	luy conseille de sen	21 18 36 19 21 24 21 25	iustifie
7527	2	et bien	26 31 62 25 37 31 18 15 33 25 33 50	aller luy meme
7527	2	pour seure on la bien	34 35 18 37 21 19	nourit; crossed/overwritten 24 excluded, see crop
7528	1	la poste passee sur	37 26 20 21 36 16 40 21	Rakiszki
7528	1	Mr le	39 26 31 52 19 21 34 25	palatine
7528	1	de	33 36 29 21 72 32 26 17 21	Mscislawi; verify
7528	1	sur le	19 25 37 50	tere (terre)
7528	1	de reformation de sa premiere mary	20 37 35 36 16 15 34 36 20 21	Kroszynski
7528	3-left	je les voy parler a	20 37 35 30 15 16 34 36 40 21	Krodyznski: irregular surname spelling, cf Kroszynski in the same letter
7529	2	depuis [10] may que cete ... est rompue	29 31 25 24	clef
7529	2	na plus moyen de	31 35 18 28 37 21 74 50	loubrire (l ouvrir); overwritten sign excluded
7529	5-right	il me dit quil a la ... en	29 31 25 24	clef
7529	5-right	en	29 25 18 37	ceur (coeur)
7529	6-right	la	37 26 15 34 25	rayne (reine)
7529	6-right	et point de	33 26 21 19 37 25 36 72 25	maitresse
7530	1	avec	23 37 26 34 30 25	grande
7530	1	title continued	19 37 25 36 37 35 74 21 25 37	tresrorier; overwritten sign needs note
7530	2	de son	26 37 33 25	arme
7530	2	au	29 35 34 34 25 30 25 37 25	connedere: intended confedere; substitution errors n/f and d/f
7530	2	beaucoup de chose	29 35 34 19 37 25 31 18 25	contre lue
7530	2	celuy qui a fait	18 25 34 21 37	u venir
7530	2	le	33 35 37 29 70 17 21 30 25	morcowide: likely Moscovite, original irregular spelling
7530	2	et on a le	30 35 29 18 33 25 34 19	document
7534	1	plusieurs	30 25 39 18 19 25	depute
7534	1	avoir par luy	31 21 28 25 37 19 26 19 21 35 34	libertation
7534	2	pour	16 26 21 52 73 30	zaia[73]d; probably zajazd, but 73 unvalued
7534	2	place	28 15 29 22 35 17 26	Bychowa
7534	2	tout droit a	28 21 26 32 36 19 35 20	Bialstok (Bialystok)
7534	3-left	destre	19 15 20 35 29 29 21 34	Tykoccin (Tykocin); preceding a is cleartext
7534	3-left	avec	37 15 28 21 34 36 20 21	Rybinski
7535	2	jusque a leur	24 21 31 36	fils
7535	2	destre	36 26 14 35 34	saxon
7535	2	particulierement son propre	24 37 25 74 25	frere
7535	2	sur vostre	33 26 21 36 72 35 34	maisson
7535	2-margin	le	35 36 16 33 21 26 34 52	Oszmiana
7535	2-bottom	la cest	29 22 35 33 21 34 36 20 21	Chominski
7535	2-bottom	et vostre	25 34 36 50 23 34 25	ensegne
7535	3-right	escrive a	31 26 29 35 18 37	la cour
7535	3-right	que	33 26 37 36 16 52 32 25 20	marszalek
7535	3-right	et son	39 25 37	per (pere)
7535	3-right	il se	33 25 31	mel (mele)
7535	3-right	cete afaire a	29 22 35 33 21 34 36 20 21	Chominski
7535	3-right	vendu ... a	33 25 34 16 15 20 17	Menzykw (Menshikov): possible omitted o
7535	3-right	puisque la	37 25 21 34 50	reine
7535	3-right	prince de	29 35 18 37 31 26 34 30 50	Courlande
7536	3-left	de mon	36 25 18 37 19 50	seurte (surete)
7536	3-left	ou	21 25 33 35 30 35 21 19 31 35 23 25	ie mo doit loge (je me dois loger)
7536	3-left	en cas de la	23 18 25 37 50	guere
7536	3-left	tenir la	29 35 33 39 26 34 21 25	companie
7536	3-left	a vostre	24 26 33 66 25	famme
7536	3-left	et pour le	36 26 18 17 25 23 26 37 30 50	sauwegarde
7536	1	que vous	26 30 37 25 72 36 21 50 18 35 36 31 25 74 21 19 37 50	adressie vos leritre: address your letters; some surplus letters or digit misreadings
