record	segment	position	cipher	plain	grade	coherent
7524	unread	1	110	?		False
7524	unread	2	36	?		False
7524	unread	3	31	?		False
7524	unread	4	157	?		False
7524	unread	5	31	?		False
7524	unread	6	33	?		False
7524	unread	7	81	?		False
7524	unread	8	15	?		False
7524	unread	9	20	?		False
7524	unread	10	125	?		False
7524	unread	11	38	?		False
7524	unread	12	97	?		False
7524	unread	13	79	?		False
7524	unread	14	15	?		False
7524	unread	15	20	?		False
7524	unread	16	128	?		False
7524	unread	17	42	?		False
7524	unread	18	17	?		False
7524	unread	19	15	?		False
7524	unread	20	130	?		False
7524	unread	21	107	?		False
7524	unread	22	101	?		False
7524	unread	23	22	?		False
7524	unread	24	118	?		False
7524	unread	25	82	?		False
7524	unread	26	36	?		False
7524	unread	27	31	?		False
7524	unread	28	81	?		False
7524	unread	29	17	?		False
7524	unread	30	68	?		False
7524	unread	31	87	?		False
7524	unread	32	97	?		False
7524	unread	33	135	?		False
7524	unread	34	38	?		False
7524	unread	35	35	?		False
7524	unread	36	15	?		False
7524	unread	37	20	?		False
7524	unread	38	141	?		False
7524	unread	39	94	?		False
7524	unread	40	130	?		False
7524	unread	41	25	?		False
7524	unread	42	153	?		False
7524	unread	43	110	?		False
7524	unread	44	109	?		False
7524	unread	45	127	?		False
7524	unread	46	30	?		False
7524	unread	47	31	?		False
7524	unread	48	39	?		False
7524	unread	49	85	?		False
7524	unread	50	15	?		False
7524	unread	51	20	?		False
7524	unread	52	135	?		False
7524	unread	53	27	?		False
7524	unread	54	16	?		False
7524	unread	55	124	?		False
7524	unread	56	31	?		False
7524	unread	57	81	?		False
7524	unread	58	15	?		False
7524	unread	59	20	?		False
7524	unread	60	12	?		False
7524	unread	61	19	?		False
7524	unread	62	19	?		False
7524	unread	63	118	?		False
7524	unread	64	141	?		False
7524	unread	65	52	?		False
7524	unread	66	21	?		False
7524	unread	67	12	?		False
7524	unread	68	133	?		False
7524	unread	69	153	?		False
7524	unread	70	46	?		False
7524	unread	71	39	?		False
7524	unread	72	135	?		False
7524	unread	73	15	?		False
7524	unread	74	20	?		False
7524	unread	75	28	?		False
7524	unread	76	30	?		False
7524	unread	77	157	?		False
7524	unread	78	31	?		False
7524	unread	79	39	?		False
7524	unread	80	94	?		False
7524	unread	81	15	?		False
7524	unread	82	20	?		False
7524	unread	83	36	?		False
7524	unread	84	31	?		False
7524	unread	85	157	?		False
7524	unread	86	31	?		False
7524	unread	87	33	?		False
7524	unread	88	81	?		False
7524	unread	89	15	?		False
7524	unread	90	20	?		False
7524	unread	91	144	?		False
7524	unread	92	76	?		False
7524	unread	93	144	?		False
7524	unread	94	16	?		False
7524	unread	95	39	?		False
7524	unread	96	33	?		False
7524	unread	97	36	?		False
7524	unread	98	146	?		False
7524	unread	99	31	?		False
7524	unread	100	24	?		False
7524	unread	101	104	?		False
7524	unread	102	110	?		False
7524	unread	103	31	?		False
7524	unread	104	92	?		False
7524	unread	105	36	?		False
7524	unread	106	56	?		False
7524	unread	107	107	?		False
7524	unread	108	101	?		False
7524	unread	109	22	?		False
7524	unread	110	118	?		False
7524	unread	111	82	?		False
7524	unread	112	36	?		False
7524	unread	113	31	?		False
7524	unread	114	81	?		False
7524	unread	115	17	?		False
7524	unread	116	68	?		False
7524	unread	117	35	?		False
7524	unread	118	33	?		False
7524	unread	119	128	?		False
7524	unread	120	15	?		False
7524	unread	121	51	?		False
7524	unread	122	30	?		False
7524	unread	123	118	?		False
7524	unread	124	33	?		False
7524	unread	125	27	?		False
7524	unread	126	28	?		False
7524	unread	127	28	?		False
7524	unread	128	119	?		False
7524	unread	129	31	?		False
7524	unread	130	125	?		False
7524	unread	131	107	?		False
7524	unread	132	33	?		False
7524	unread	133	120	?		False
7524	unread	134	17	?		False
7524	unread	135	54	?		False
7524	unread	136	60	?		False
7524	unread	137	26	?		False
7524	unread	138	53	?		False
7524	unread	139	33	?		False
7524	unread	140	12	?		False
7524	unread	141	30	?		False
7524	unread	142	95	?		False
7524	unread	143	131	?		False
7524	unread	144	102	?		False
7524	unread	145	26	?		False
7524	unread	146	31	?		False
7524	unread	147	29	?		False
7524	unread	148	139	?		False
7524	unread	149	61	?		False
7524	unread	150	102	?		False
7524	unread	151	107	?		False
7524	unread	152	26	?		False
7524	unread	153	22	?		False
7524	unread	154	118	?		False
7524	unread	155	82	?		False
7524	unread	156	36	?		False
7524	unread	157	31	?		False
7524	unread	158	81	?		False
7524	unread	159	39	?		False
7524	unread	160	65	?		False
7524	unread	161	16	?		False
7524	unread	162	104	?		False
7524	unread	163	15	?		False
7524	unread	164	12	?		False
7524	unread	165	86	?		False
7524	unread	166	133	?		False
7524	unread	167	39	?		False
7524	unread	168	65	?		False
7524	unread	169	42	?		False
7524	unread	170	102	?		False
7524	unread	171	134	?		False
7524	unread	172	76	?		False
7524	unread	173	68	?		False
7524	unread	174	28	?		False
7524	unread	175	120	?		False
7524	unread	176	136	?		False
7524	unread	177	132	?		False
7524	unread	178	146	?		False
7524	unread	179	31	?		False
7524	unread	180	39	?		False
7524	unread	181	92	?		False
