# BnF fr. 3976 ff. 133-134 (DECODE R3708), Paris informant to Nevers, 6 June 1588
# Gallica btv1b9060548h canvases 223 (f.133r), 224 (f.133v), 225 (f.134r).
# One run per line: id <TAB> signs separated by spaces. A sign is one character or "1"+character.
# Glyph names: d = curly 8 / delta-like d, [ = the bracket-like n-sign, J = the long j/f-like sign,
# Q = y with a cross below, Z = 4 with a cross below, E = epsilon-like t, + = plus-like sign.
# Underlined code numbers inside runs are written <9>, <106>, <33>.
R01	14 17 Q
R02	1d s 11 t 14 13
R03	n 9 7 2 13 f p 1d t
R04	[ s d t 9 f s 1d x 17 d 14 12
R05	n p r 11 t d 14 13
R06	16 9 14 6 17 1d l s
R07	1d s 11 t 14 13
R08	7 d g 5 Z S^t 9 1d 6 14 + 2 t S^t 8 s 1d 17 p 13 E
R09	19 11 E p 1d s 14 n s 16 t 11 d o s
R10	16 p 7 9 s 1d z Z
R11	16 9 14 9 d 13 5 f 5 12 J z d n c d g o p 7 E Z
R12	o s J g s d 17 13 E x q 2 1b t n o s
R13	7 k [ 13 s p n 6 s <9> t E <106>
R14	<33> t 12 6 s 8 14 9 Q n s d t f 1s t 6 s n p k 1d J d 1o n Q
R15	9 14 12 p n o s 9 Q t 6 s o z 14 13 s 1d z 7
R16	x k 14 y s p n
R17	[ k 19 m t x 17 12 E t 8 o 9 [ 7 9 s v p 13 12
R18	19 k 1d 12 m 17 g 5 [ 7 Q
