# label	value	shape	source (T = Tomokiyo's reconstruction, cryptiana henryiii1.png; H = found here)
w	a	omega	T
dfl	a	delta with flag	T
x	a	x	T
pi	b	pi	T
2	b	2 underlined	T
8	c	8 / gamma	T
alpha	c	alpha	T
r	d	r-rotunda	T
u	d	u	T
3	e	z with bar	T
v	e	small v	T
6e	e	б	T
D	f	delta	T
p	f	rho	T
omg	g	pi-omega	T
H	i	triple-barred H	T
xi	i	xi over s	T
Fi	i	F with dot below	H
e	l	epsilon	T
o	l	open o	T
dd	l	rotated d	T
rho	l	rho with tail	H
phi	m	circle crossed by vertical	T
PHI	n	f-like with bar	T
psin	n	forked psi	H
S	o	long s	T
th	o	theta	T
A6	p	a-6 ligature	T
B	p	script B	H
oo	r	loop x	T
n	r	n with hook	T
vv	r	v with loop	H
db	s	d with loop	T
+	s	dagger	T
oms	s	u with loop	T
q	t	q with foot	T
psit	t	curled gamma	T
pt	t	p with curl	H
f	u	script f	T
6u	u	h with loop	T
PHIo	u	phi with loop	H
d	x	small d	H
F	y	F	T
Az	z	filled A	H
amp	z	ampersand-like	H
yo	ss	gamma with bar	T
SS	mm	bold double s	T
z	[de]	small z	T
Z	[de]	large Z	T
T	[le]	T with bar	T
Bb	[la]	bold beta with overbar	H
DD	[prince]	double d with overbar	T
J	[pour]	hooked f	T
tt	[que]	cross	T
cv	[qui]	c with vertical	T
4b	[nous]	4 over b	T (Tomokiyo: vous)
C9	[faire]	C with loop	T
Cs	[mais]	C with sigma, overbar	H
18	[dict]	18	H (Tomokiyo: ?)
V	[tout]	large V	T
3b	[avec]	bold short z	T
ob	[Angleterre]	o with overbar	H (context: decipherer's "d'Ang[leterre]")
e2	e	latin e	H (in "Condé")
N3+	-	z with dagger	H null (pads start and end)
Nff	-	double f	H null
Nsm	-	small raised hook	H null
PIb	-	pi with overbar	H null
Dst	-	triangle on stem	T null
4+	-	barred 4	T null
Z7	-	Z with 7	T null
xe	-	r with e	H null (tail only)
aq	-	a with overbar, tail	H null (tail only)
Nz	-	N-z ligature	H null (tail only)
