line	position	token	plaintext	grade
1	1	Hd	[null]	M
1	2	r	a	I
1	3	R	p	I
1	4	z	o	I
1	5	L	n	I
2	1	Y	t	I
2	2	n	e	I
2	3	o	c	I
2	4	rd	[null]	M
2	5	a	r	I
2	6	l	e	I
2	7	z	o	I
2	8	o	c	I
2	9	D	i	I
2	10	l	e	I
2	11	a	r	I
2	12	openC	t	M
2	13	k	o	I
3	1	o	c	I
3	2	z	o	I
3	3	L	n	I
3	4	E	f	I
3	5	z	o	I
3	6	a	r	I
3	7	T	m	I
3	8	r	a	I
3	9	Q	n	M
3	10	l	e	I
3	11	b	l	I
3	12	u	y	I
3	13	l	e	I
3	14	three	s	I
4	1	o	c	I
4	2	inf	u	I
4	3	e	d	I
4	4	n	e	I
4	5	a	r	I
4	6	k	o	I
5	1	e	d	I
5	2	D	i	I
5	3	bar8	z	I
5	4	n	e	I
5	5	L	n	I
5	6	qshape	q	I
5	7	d	u	I
5	8	l	e	I
5	9	l	e	I
5	10	b	l	I
5	11	T	m	I
5	12	inf	u	I
5	13	L	n	I
5	14	e	d	I
5	15	z	o	I
5	16	three	s	I
5	17	l	e	I
5	18	r	a	I
5	19	o	c	I
5	20	s	a	I
5	21	g	b	I
5	22	H	a	I
5	23	a	r	I
5	24	s	a	I
6	1	k	o	I
6	2	T	m	I
6	3	z	o	I
6	4	a	r	I
6	5	D	i	I
6	6	hash	r	I
6	7	r	a	I
6	8	l	e	I
6	9	b	l	I
6	10	ad	r	I
6	11	l	e	I
6	12	u	y	I
6	13	R	p	I
6	14	z	o	I
6	15	a	r	I
6	16	three	s	I
6	17	l	e	I
6	18	Y	t	I
6	19	D	i	I
6	20	l	e	I
6	21	X	m	M
7	1	g	b	I
7	2	a	r	I
7	3	n	e	I
7	4	l	e	I
7	5	b	l	I
7	6	g	b	I
7	7	D	i	I
7	8	l	e	I
7	9	L	n	I
7	10	o	c	I
7	11	l	e	I
7	12	hash	r	I
7	13	c	c	I
7	14	s	a	I
7	15	e	d	I
7	16	l	e	I
7	17	ud	ll	M
7	18	z	o	I
7	19	R	p	I
7	20	r	a	I
8	1	a	r	I
8	2	l	e	I
8	3	three	s	I
8	4	o	c	I
8	5	l	e	I
8	6	qshape	q	I
8	7	d	u	I
8	8	l	e	I
8	9	r	a	I
8	10	L	n	I
8	11	e	d	I
8	12	r	a	I
8	13	o	c	I
8	14	a	r	I
8	15	l	e	I
8	16	k	o	I
8	17	l	e	I
8	18	L	n	I
8	19	e	d	I
8	20	Yd	i	I
8	21	J	o	I
8	22	three	s	I
