# BnF fr. 3975 ff. 101r-102v (DECODE R4289): cipher items seen on the Gallica microfilm (canvases 185-188), 22 Sept 2026 pm.
# Code numbers are read against key no. 16 (key16.txt): "plain" = the list without a bar, "bar" = the overbarred list.
# Where a bar is not visible on the microfilm both values are given. Grades: H certain, C probable, M possible, I guess.
# Large amounts (1200, 100, 5000) are clear numbers of men/money, not code, and are not listed.
# page	context (clear words as far as legible)	item	key-16 value	grade
101v	"... G 15 et 64 ..."	15	garnison (plain)	M
101v		64	Reims (plain)	M
101v	"... a 50 et ..."	50	Rethel (plain)	M
101v	"... G 36 aura fait"	36	paix (plain) / Duc de Nevers (bar; no bar seen)	I
101v	"... 28 ... 29 ..."	28	levee (plain) / Royne de Navarre (bar)	I
101v		29	deniers (plain) / Roy de Navarre (bar)	I
101v	"sur 2(bar) ..."	2 (bar)	Rethelois	C
101v	"... 33 et 35 et 34 ..."	33	Prince de Conty (bar) / menees (plain)	M
101v		35	Mons. de Montpensier (bar) / menaces (plain)	M
101v		34	Conte de Soissons (bar) / surprise (plain)	M
101v	"... 63(bar) ..."	63 (bar)	La Vieuville	H
101v	"... le 48 ..."	48	chasteau ("Chau")	C
101v	"... 48 ... 42 et ..."	48	chasteau	C
101v	"42 et | 5 i 7 f Z r | d 6 5 i 8 t h 6 | D 7 2 5(bar) | pour ..."	42	eschevins	C
101v		run A: 5i7fZr d65i8th6 D725	not read (LM best "si et rou essance de si", no sense)	-
101v	"... a 42 et 43 de ..."	42	eschevins	H
101v		43	maire de ville	H
101v	"de pouvoir G | 5 i 7 D 6 2 9 v | vous entretenir"	run B: 5i7D629v	not read (LM best "sie de lan", no sense)	-
101v	"... 30 a ..."	30	artillerie	C
101v	"... 30 ... 48 ..."	30	artillerie	C
101v		48	chasteau	C
101v	"... 30 ..."	30	artillerie	M
101v	"... 63(bar) ... 48 ..."	63 (bar)	La Vieuville	H
101v		48	chasteau	M
102v	"2(bar) ..."	2 (bar)	Rethelois	M
102v	"G 5i a ..."	5i (51?)	Mezieres if 51; may be the run "5i" = s s	I
102v	"63(bar) en ..."	63 (bar)	La Vieuville	H
102v	"... G 42 et 40 ..."	42	eschevins	C
102v		40	huguenotz (plain)	M
102v	"... avec les | k 7 n 6 2 9 7 | faudra ..."	run C: k7n6297	strict key-16 reading "requelae", no sense; "requeste" only if the 2 is an s and the 9 a t	I
102v	"... 40 et 50 ..."	40	huguenotz (plain)	M
102v		50	Rethel (plain)	M
102v	last line "8(bar)0 ... a 30 adieu"	80 (bar)	Rune? (bar) / Guise (plain)	I
102v		30	artillerie	M
