# Mellon MS 29 cipher, working transcription v1 (from Yale IIIF images, 22 Sept 2026)
# Conventions: 3 = ʒ-like sign (dram / z), 7 = 7-like sign, 9 = 9-like sign (con-?), B = ß-like sign
# q = q with straight descender, g = looped g; ^x = superscript x; ~ = tilde over word; . = point in MS
#
# f.1v ll.17-19 (sun recipe: "Primo nel nome de dio piglierai:")
o∫or Rerpij leor sglgr3. hshr hyor larohgt gsg yh3y solir t3s. noyp.
# f.2r ll.8-10 (moon recipe: "piglia i nomi del signor.")
ylior. lay. gnotrh. ghplr. agksro. in 3shukss. cioe gpr. sgrghs. hr. hqih3. y3. set. V3 Vs. sn. qrpt.
# f.2v zodiac table ("X se chiama ...")
Ariete      srcon pggy
Taurus      lrqrlrpnqsr7g~
Gemini      qrqrsipqsop 3g
Cancer      irqpshkscel
Leo         rqlpsonspyh B
Virgo       pqyqpqs. q. st
Libra       9 qsgqxqkb3
Scorpio     prk syqs7qp
Sagitarius  xi^n ak 7 sqol
Capricorno  7^n qqpypt7r
Aquario     qk sqrongya
Pissis      7^t by hqph yv
# front pastedown copy (later hand, garbled), moon recipe:
# ylior lay. girrt. h. g. kyli. gixkso. vshu. Rs. si aptrugr. sgaghs. hr. hy. yh3. y3sot. a3. vssugint
